"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
1;"Москва, Архангельский пер, д.3, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 3с1";8;8;8;577;37,637434;55,760503
2;"Москва, Архангельский пер, д.3, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 3с1";8;271;8;1125;37,637434;55,760503
3;"Москва, Архангельский пер, д.3, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 3с1";8;534;8;727;37,637434;55,760503
4;"Москва, Архангельский пер, д.5";" ";" ";" ";"Россия, Москва, Архангельский переулок, 5";9;9;9;577;37,637289;55,761045
5;"Москва, Архангельский пер, д.5";" ";" ";" ";"Россия, Москва, Архангельский переулок, 5";9;272;9;1125;37,637289;55,761045
6;"Москва, Архангельский пер, д.5";" ";" ";" ";"Россия, Москва, Архангельский переулок, 5";9;535;9;727;37,637289;55,761045
7;"Москва, Архангельский пер, д.7, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 7с1";10;10;10;577;37,637640;55,761187
8;"Москва, Архангельский пер, д.7, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 7с1";10;273;10;1125;37,637640;55,761187
9;"Москва, Архангельский пер, д.7, стр.1";" ";" ";" ";"Россия, Москва, Архангельский переулок, 7с1";10;536;10;727;37,637640;55,761187
10;"Москва, Архангельский пер, д.9";" ";" ";" ";"Россия, Москва, Архангельский переулок, 9";11;11;11;577;37,637928;55,761577
11;"Москва, Архангельский пер, д.9";" ";" ";" ";"Россия, Москва, Архангельский переулок, 9";11;274;11;1125;37,637928;55,761577
12;"Москва, Архангельский пер, д.9";" ";" ";" ";"Россия, Москва, Архангельский переулок, 9";11;537;11;727;37,637928;55,761577
49;"Москва, Покровка ул, д.11";" ";" ";" ";"Россия, Москва, улица Покровка, 11";112;112;112;577;37,643408;55,759208
50;"Москва, Покровка ул, д.11";" ";" ";" ";"Россия, Москва, улица Покровка, 11";112;375;112;1125;37,643408;55,759208
51;"Москва, Покровка ул, д.11";" ";" ";" ";"Россия, Москва, улица Покровка, 11";112;638;112;727;37,643408;55,759208
52;"Москва, Покровка ул, д.12, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 12";113;113;113;577;37,644665;55,758999
53;"Москва, Покровка ул, д.12, стр.1";" ";" ";" ";"Россия, Москва, улица Покровка, 12";113;376;113;1125;37,644665;55,758999
