OBJECTID;ID;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail;ID
1;149;Государственное бюджетное образовательное учреждение города Москвы лицей № 1581;105120 г.Москва, Б.Полуярославский пер., д.7/4, стр. 1-1А;Центральный административный округ;Таганский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Лицей;"(495) 916-18-86; (495) 916-38-73";lycc1581.mskobr.ru;L1581@yandex.ru;149
2;184;Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500;101000 г.Москва, Милютинский пер., д.18, стр.2;Центральный административный округ;Красносельский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Лицей;(495) 607-20-70;lycc1500.mskobr.ru;1500lyc@mail.ru;184
3;185;Государственное бюджетное образовательное учреждение города Москвы средняя  общеобразовательная  школа с этнокультурным (национальным) компонентом образования №1650;109240, г. Москва, ул. Солянка, дом 14А;Центральный административный округ;Таганский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с этнокультурным (национальным) компонентом образования;"(495) 623-74-93; (495) 625-12-02; (495) 623-13-95";schec1650.mskobr.ru;sch-arakelyan@narod.ru;185
4;246;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" №661";101000 г. Москва, ул. Покровка, д.10, стр.5;Центральный административный округ;Таганский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";624-77-66;schc661.mskobr.ru;en661@list.ru;246
5;577;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 310 ""У Чистых прудов""";101100 г.Москва, Б.Харитоньевский пер., д.4, стр.1;Центральный административный округ;Басманный район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;621-95-74;schc310.mskobr.ru;M-shool310@yandex.ru;577
6;586;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 330;105064 г. Москва, Б. Казенный пер., д.9;Центральный административный округ;Басманный район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;917-78-21;schc330.mskobr.ru;330sch@couo.ru;586
7;680;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 518;115035 г. Москва, Садовническая набережная, дом 37;Центральный административный округ;район Замоскворечье;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;951-49-82;schc518.mskobr.ru/;518sch@mail.ru;680
8;727;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 613;105062 г.Москва,ул.Чаплыгина, д.9, стр.3;Центральный административный округ;Басманный район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;624-28-69;schc613.mskobr.ru;sch0613@rambler.ru;727
9;975;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1227;109028 г. Москва, Б.Трёхсвятительский пер., д.4;Центральный административный округ;Басманный район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 917-72-81; (495) 917-48-42";schuc1227.mskobr.ru;school1227@list.ru;975
10;1020;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1397 имени В.П.Чкалова;105064 г.Москва, Земляной вал, д.44 А,стр.1;Центральный административный округ;Таганский район;Государственное;Центральное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;"(495) 917-02-60; (495) 917-91-02";schuc1397.mskobr.ru;school1397@yandex.ru;1020
