"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"POINT_X";"POINT_Y"
1;"Москва, Харьковский проезд, д.11, корп.1";" ";" ";" ";"Россия, Москва, Харьковский проезд, 11к2";2;37,639454;55,588781
2;"Москва, Харьковский проезд, д.5А, корп.2";" ";" ";" ";"Россия, Москва, Харьковский проезд, 5ак2";3;37,643721;55,594508
3;"Москва, Булатниковский проезд, д.10, корп.1";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 10к1";10;37,653307;55,590250
4;"Москва, Булатниковский проезд, д.10, корп.2";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 10к2";11;37,654206;55,589559
5;"Москва, Булатниковский проезд, д.10, корп.3";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 10к3";12;37,654762;55,588734
6;"Москва, Булатниковский проезд, д.10, корп.4";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 10к4";13;37,654933;55,587874
7;"Москва, Булатниковский проезд, д.2В, корп.1";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк1";20;37,648241;55,594438
8;"Москва, Булатниковский проезд, д.2В, корп.2";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк2";21;37,647045;55,595644
9;"Москва, Булатниковский проезд, д.2В, корп.3";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк3";22;37,649435;55,595052
10;"Москва, Булатниковский проезд, д.2В, корп.4";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк4";23;37,649004;55,595770
11;"Москва, Булатниковский проезд, д.2В, корп.5";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк5";24;37,648482;55,596477
12;"Москва, Булатниковский проезд, д.2В, корп.6";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 2вк6";25;37,647746;55,595918
13;"Москва, Булатниковский проезд, д.6, корп.1";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 6к1";26;37,651312;55,593720
14;"Москва, Булатниковский проезд, д.6, корп.2";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 6к2";27;37,649103;55,593502
15;"Москва, Булатниковский проезд, д.6, корп.3";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 6к3";28;37,649911;55,594413
16;"Москва, Булатниковский проезд, д.6, корп.4";" ";" ";" ";"Россия, Москва, Булатниковский проезд, 6к4";29;37,650162;55,593380
17;"Москва, Востряковский проезд, д.1, корп.1";" ";" ";" ";"Россия, Москва, Востряковский проезд, 1к1";30;37,640282;55,586807
18;"Москва, Востряковский проезд, д.1, корп.2";" ";" ";" ";"Россия, Москва, Востряковский проезд, 1к2";31;37,643031;55,586476
19;"Москва, Медынская ул, д.1, корп.1";" ";" ";" ";"Россия, Москва, Медынская улица, 1к1";39;37,652633;55,591370
20;"Москва, Медынская ул, д.1, корп.2";" ";" ";" ";"Россия, Москва, Медынская улица, 1к2";40;37,651079;55,591350
21;"Москва, Медынская ул, д.1, корп.3";" ";" ";" ";"Россия, Москва, Медынская улица, 1к3";41;37,649642;55,591110
22;"Москва, Медынская ул, д.10";" ";" ";" ";"Россия, Москва, Медынская улица, 10";42;37,644736;55,588220
23;"Москва, Медынская ул, д.12, корп.1";" ";" ";" ";"Россия, Москва, Медынская улица, 12к1";44;37,645796;55,585610
