ID,ADDRESS
1,"Москва, Грина ул, д.1"
2,"Москва, Грина ул, д.1, корп.1"
3,"Москва, Грина ул, д.1, корп.2"
4,"Москва, Грина ул, д.1, корп.3"
5,"Москва, Грина ул, д.1, корп.4"
6,"Москва, Грина ул, д.1, корп.5"
7,"Москва, Грина ул, д.1, корп.6"
8,"Москва, Грина ул, д.1, корп.7"
9,"Москва, Грина ул, д.1, корп.8"
10,"Москва, Грина ул, д.10"
11,"Москва, Грина ул, д.2"
12,"Москва, Грина ул, д.3, корп.1"
13,"Москва, Грина ул, д.3, корп.2"
14,"Москва, Грина ул, д.3, корп.3"
15,"Москва, Грина ул, д.4"
16,"Москва, Грина ул, д.6"
17,"Москва, Грина ул, д.8"
18,"Москва, Феодосийская ул, д.1, корп.3"
19,"Москва, Феодосийская ул, д.11"
20,"Москва, Феодосийская ул, д.2"
21,"Москва, Феодосийская ул, д.3"
22,"Москва, Феодосийская ул, д.4"
23,"Москва, Феодосийская ул, д.5"
24,"Москва, Феодосийская ул, д.7"
25,"Москва, Феодосийская ул, д.9"
26,"Москва, бульв. Дмитрия Донского, д.13"
27,"Москва, бульв. Дмитрия Донского, д.15"
28,"Москва, бульв. Дмитрия Донского, д.17"
29,"Москва, Знаменские Садки ул, д.5, корп.3"
30,"Москва, Грина ул, д.28"
31,"Москва, Грина ул, д.28, корп.1"
32,"Москва, Грина ул, д.30"
33,"Москва, Грина ул, д.34"
34,"Москва, Грина ул, д.34, корп.1"
35,"Москва, Грина ул, д.36"
36,"Москва, Грина ул, д.40"
37,"Москва, Грина ул, д.40, корп.1"
38,"Москва, Грина ул, д.42"
39,"Москва, Знаменские Садки ул, д.1, корп.1"
40,"Москва, Знаменские Садки ул, д.1, корп.2"
41,"Москва, Знаменские Садки ул, д.11"
42,"Москва, Знаменские Садки ул, д.3, корп.1"
43,"Москва, Знаменские Садки ул, д.3, корп.2"
44,"Москва, Знаменские Садки ул, д.3, корп.3"
45,"Москва, Знаменские Садки ул, д.3, корп.4"
46,"Москва, Знаменские Садки ул, д.3, корп.5"
47,"Москва, Знаменские Садки ул, д.5, корп.1"
48,"Москва, Знаменские Садки ул, д.5, корп.2"
49,"Москва, Знаменские Садки ул, д.7, корп.1"
50,"Москва, Знаменские Садки ул, д.7, корп.2"
51,"Москва, Знаменские Садки ул, д.7, корп.3"
52,"Москва, Знаменские Садки ул, д.9, корп.1"
53,"Москва, Знаменские Садки ул, д.9, корп.2"
54,"Москва, Куликовская ул, д.1"
55,"Москва, Куликовская ул, д.3"
56,"Москва, бульв. Дмитрия Донского, д.10"
57,"Москва, бульв. Дмитрия Донского, д.2, корп.1"
58,"Москва, бульв. Дмитрия Донского, д.2, корп.2"
59,"Москва, бульв. Дмитрия Донского, д.4"
60,"Москва, бульв. Дмитрия Донского, д.6"
61,"Москва, бульв. Дмитрия Донского, д.8"
62,"Москва, Старокачаловская ул, д.10"
63,"Москва, Старокачаловская ул, д.12"
64,"Москва, Старокачаловская ул, д.14"
65,"Москва, Старокачаловская ул, д.16"
66,"Москва, Старокачаловская ул, д.18"
67,"Москва, Старокачаловская ул, д.4"
68,"Москва, Старокачаловская ул, д.6"
69,"Москва, Старокачаловская ул, д.8"
70,"Москва, Грина ул, д.12"
71,"Москва, Грина ул, д.12, корп.1"
72,"Москва, Грина ул, д.14"
73,"Москва, Грина ул, д.18"
74,"Москва, Грина ул, д.18, корп.1"
75,"Москва, Грина ул, д.18, корп.2"
76,"Москва, Грина ул, д.20"
77,"Москва, Грина ул, д.24"
78,"Москва, Коктебельская ул, д.11"
79,"Москва, Коктебельская ул, д.2, корп.1"
80,"Москва, Коктебельская ул, д.2, корп.1, стр.1"
81,"Москва, Коктебельская ул, д.2, корп.2"
82,"Москва, Коктебельская ул, д.4, корп.1"
83,"Москва, Коктебельская ул, д.4, корп.2"
84,"Москва, Коктебельская ул, д.4, корп.3"
85,"Москва, Коктебельская ул, д.4, корп.4"
86,"Москва, Коктебельская ул, д.8"
87,"Москва, Старокачаловская ул, д.1, корп.1"
88,"Москва, Старокачаловская ул, д.1, корп.2"
89,"Москва, Старокачаловская ул, д.3, корп.1"
90,"Москва, Старокачаловская ул, д.3, корп.2"
91,"Москва, Старокачаловская ул, д.3, корп.3"
92,"Москва, Старокачаловская ул, д.3, корп.4"
93,"Москва, бульв. Дмитрия Донского, д.11"
94,"Москва, бульв. Дмитрия Донского, д.11, корп.1"
95,"Москва, бульв. Дмитрия Донского, д.11, корп.2"
96,"Москва, бульв. Дмитрия Донского, д.9, корп.1"
97,"Москва, бульв. Дмитрия Донского, д.9, корп.2"
98,"Москва, бульв. Дмитрия Донского, д.9, корп.3"
99,"Москва, бульв. Дмитрия Донского, д.9, корп.4"
100,"Москва, Ратная ул, д.16"
101,"Москва, Ратная ул, д.10, корп.1"
102,"Москва, Ратная ул, д.10, корп.2"
103,"Москва, Ратная ул, д.12, корп.1"
