"OBJECTID";"ADDRESS";"settlement";"street";"building_n";"geocoded";"ID";"OBJECTID_1";"HOUSE_ID";"SCHOOL_ID";"POINT_X";"POINT_Y"
1;"Москва, Адмирала Лазарева ул, д.79";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 79к1";155;218;155;109;37,494728;55,535916
2;"Москва, Адмирала Лазарева ул, д.81, корп.14";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 81к13";156;219;156;109;37,490766;55,534719
3;"Москва, Адмирала Лазарева ул, д.83";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 83к2";157;220;157;109;37,491628;55,535788
4;"Москва, Адмирала Лазарева ул, д.83, корп.1";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 83к2";158;221;158;109;37,491628;55,535788
5;"Москва, Адмирала Лазарева ул, д.88";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к1";159;222;159;109;37,486355;55,535269
6;"Москва, Адмирала Лазарева ул, д.89";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к1";160;223;160;109;37,486355;55,535269
7;"Москва, Адмирала Лазарева ул, д.89, корп.10";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к9";161;224;161;109;37,485708;55,534082
8;"Москва, Адмирала Лазарева ул, д.89, корп.11";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к12";162;225;162;109;37,486112;55,533541
9;"Москва, Адмирала Лазарева ул, д.89, корп.2";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к1";163;226;163;109;37,486355;55,535269
10;"Москва, Адмирала Лазарева ул, д.89, корп.25";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к24";164;227;164;109;37,487056;55,533169
11;"Москва, Адмирала Лазарева ул, д.89, корп.29";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к28";165;228;165;109;37,486175;55,534214
12;"Москва, Адмирала Лазарева ул, д.89, корп.3";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к4";166;229;166;109;37,486068;55,535111
13;"Москва, Адмирала Лазарева ул, д.89, корп.31";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к30";167;230;167;109;37,486239;55,534622
14;"Москва, Адмирала Лазарева ул, д.89, корп.37";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к36";168;231;168;109;37,487010;55,534657
15;"Москва, Адмирала Лазарева ул, д.89, корп.38";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к39";169;232;169;109;37,487182;55,533908
16;"Москва, Адмирала Лазарева ул, д.89, корп.48";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к47";170;233;170;109;37,487784;55,534652
17;"Москва, Адмирала Лазарева ул, д.89, корп.49";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к47";171;234;171;109;37,487784;55,534652
18;"Москва, Адмирала Лазарева ул, д.89, корп.50";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к47";172;235;172;109;37,487784;55,534652
19;"Москва, Адмирала Лазарева ул, д.89, корп.8";" ";" ";" ";"Россия, Москва, улица Адмирала Лазарева, 89к7";173;236;173;109;37,485627;55,534417
20;"Москва, Академика Семёнова ул, д.28";" ";" ";" ";"Россия, Москва, улица Академика Семенова, 21";174;237;174;109;37,501967;55,540388
21;"Москва, Остафьевская ул, д.33";" ";" ";" ";"Россия, Москва, Остафьевская улица, 33к1";195;258;195;109;37,497360;55,530842
22;"Москва, Остафьевская ул, д.35";" ";" ";" ";"Россия, Москва, Остафьевская улица, 35к1";196;259;196;109;37,492212;55,530979
23;"Москва, Остафьевская ул, д.35, корп.4";" ";" ";" ";"Россия, Москва, Остафьевская улица, 35к3";197;260;197;109;37,489482;55,530892
