OBJECTID;ID;name;adress;okrug;rayon;form_of_incorporation;submission;tip_uchrezhdeniya;vid_uchrezhdeniya;telephone;web_site;e_mail
7;334;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1174;117216, г. Москва, улица Феодосийская, дом 11А;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;712-40-36;http://schuz1174.mskobr.ru/;info@school1174.ru
10;399;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1825;117628, г. Москва, ул. Куликовская, д. 3Б;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;712-29-36;http://schuz1825.mskobr.ru;sch1825@yandex.ru
14;429;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1945;117628, г.Москва, ул. Старокачаловская, вл.22;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;713-68-72;;s1945@mail.ru
32;1006;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1356;117216, г.Москва, ул.Грина, д.18 б;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;711-50-81;;lingvoschool1356@yandex.ru
35;1099;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением предметов области знаний ""Искусство"" № 1332";117628, г.Москва, бульвар Дмитрия Донского, дом 6, корпус 1;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа с углубленным изучением отдельных предметов;714-97-81;http://schuuz1332.mskobr.ru/;Shkola1332@bk.ru
39;1216;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 1613;117628, г. Москва, ул. Ратная, дом 6 Б;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Центр образования;711-16-45;http://couz1613.mskobr.ru/;sch1069@mosuzedu.ru
40;1222;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1681 ""Бутово-3""";117216, г. Москва, бульвар Дмитрия Донского, д. 14А;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Центр образования;711-51-63;http://couz1681.mskobr.ru/;center1681@mosuzedu.ru
42;1244;Государственное бюджетное образовательное учреждение города Москвы Центр образования № 2006;117216, г.Москва, ул. Грина, дом 18, корпус 3, строение 1;Юго-Западный административный округ;район Северное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Центр образования;714-86-63;http://couz2006.mskobr.ru/;info@school2006.ru
1;109;Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1786;117041, г.Москва, ул. Адмирала Лазарева, д. 77;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Гимназия;(499) 793-77-09;http://gymuz1786.mskobr.ru/;potapovo1786@mail.ru
3;200;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1065";117624, г.Москва, ул. Скобелевская, дом 28;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";716-78-45;;1065@mail.ru
4;211;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1979";117041, г.Москва, улица Адмирала Лазарева, дом 40, корпус 2;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;"Средняя общеобразовательная школа ""Школа Здоровья""";715-59-81;;
5;329;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1161;117624, г. Москва, улица Изюмская, дом 35А;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;(499) 793-93-09;http://schuz1161.mskobr.ru;shkola1161@gmail.com
6;330;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1163;117623, г. Москва, ул. Большая Бутовская, дом 9;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;712-76-33;http://schuz1163.mskobr.ru/;sch1163@mosuzedu.ru
8;335;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1176;117148, г. Москва, улица Брусилова, дом 29, корпус 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;659-23-81;;sch1176@mosuzedu.ru
9;368;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1492;117041, г. Москва, ул. Адмирала Лазарева, д. 62, корп.2;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;714-03-36;couz1492.mskobr.ru;school1992@yandex.ru
11;406;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1883 ""Бутово""";117042, г. Москва, улица Поляны, дом 53;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;716-47-45;http://couz1883.mskobr.ru/;co1883@inbox.ru
12;417;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1916;117042, г. Москва, Чечёрский проезд, дом 6;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;716-51-63;schuz1916.mskobr.ru;info@school1916.mosuzedu.ru
13;423;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1931;117042, г. Москва, Чечёрский проезд, дом 42;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;715-62-27;http://schuz1931.mskobr.ru;sch1931@mosuzedu.ru
15;430;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1946;117042, г.Москва, ул. Южнобутовская, д. 135 А;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;715-26-37;http://schuz1946.mskobr.ru;school_1946@mail.ru
16;433;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1961;117042, г. Москва, ул. Южнобутовская, д. 76, корп. 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;715-80-54;http://schuz1961.mskobr.ru;sch1961@yandex.ru
17;437;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1970;117042, г.Москва, Чечёрский проезд, дом 22, корпус 1;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;716-03-00;http://schuz1970.mskobr.ru;sch19702002@mail.ru
18;438;Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1971;117042, город Москва, ул. Южнобутовская, д. 52, корпуса 1, 2;Юго-Западный административный округ;район Южное Бутово;Государственное;Юго-Западное окружное управление образования;Общеобразовательное учреждение;Средняя общеобразовательная школа;716-27-90;http://schuz1971.mskobr.ru;sch1971@mosuzedu.ru
