ID,ADDRESS
7456,"Москва, Пятницкая ул, д.47, стр.4"
7457,"Москва, Садовническая ул, д.53"
7458,"Москва, Старомонетный пер, д.11"
7459,"Москва, 1-й Монетчиковский пер, д.8"
7460,"Москва, 1-й Новокузнецкий пер, д.10, стр.1"
7461,"Москва, 1-й Новокузнецкий пер, д.11"
7462,"Москва, 1-й Новокузнецкий пер, д.13"
7463,"Москва, 1-й Новокузнецкий пер, д.5-7"
7464,"Москва, 2-й Кадашёвский пер, д.16, стр.1"
7465,"Москва, 2-й Монетчиковский пер, д.2/12"
7466,"Москва, 2-й Раушский пер, д.3"
7467,"Москва, 3-й Кадашёвский пер, д.4"
7468,"Москва, 3-й Кадашёвский пер, д.5, стр.1"
7469,"Москва, 3-й Кадашёвский пер, д.5, стр.5"
7470,"Москва, 3-й Кадашёвский пер, д.6/13, стр.1"
7471,"Москва, 3-й Монетчиковский пер, д.10/1"
7472,"Москва, 3-й Монетчиковский пер, д.15"
7473,"Москва, 3-й Монетчиковский пер, д.17"
7474,"Москва, 4-й Монетчиковский пер, д.1/6, стр.1"
7475,"Москва, 4-й Монетчиковский пер, д.1/6, стр.3"
7476,"Москва, 4-й Монетчиковский пер, д.9, стр.1"
7477,"Москва, 5-й Монетчиковский пер, д.13"
7478,"Москва, 5-й Монетчиковский пер, д.14"
7479,"Москва, 5-й Монетчиковский пер, д.16"
7480,"Москва, 5-й Монетчиковский пер, д.18"
7481,"Москва, 5-й Монетчиковский пер, д.20, стр.1"
7482,"Москва, 5-й Монетчиковский пер, д.20, стр.3"
7483,"Москва, 5-й Монетчиковский пер, д.6, стр.1"
7484,"Москва, 5-й Монетчиковский пер, д.8/10"
7485,"Москва, 6-й Монетчиковский пер, д.15/17"
7486,"Москва, 6-й Монетчиковский пер, д.19"
7487,"Москва, 6-й Монетчиковский пер, д.5"
7488,"Москва, Большая Ордынка ул, д.11/6, стр.1"
7489,"Москва, Большая Ордынка ул, д.11/6, стр.2"
7490,"Москва, Большая Ордынка ул, д.13/9, стр.1"
7491,"Москва, Большая Ордынка ул, д.17, стр.1"
7492,"Москва, Большая Ордынка ул, д.31/12, стр.1"
7493,"Москва, Большая Ордынка ул, д.31/12, стр.2"
7494,"Москва, Большая Ордынка ул, д.51"
7495,"Москва, Большая Ордынка ул, д.67"
7496,"Москва, Большая Ордынка ул, д.7"
7497,"Москва, Большая Ордынка ул, д.9/4, стр.1"
7498,"Москва, Большая Полянка ул, д.1/3"
7499,"Москва, Большая Полянка ул, д.28, корп.1"
7500,"Москва, Большая Полянка ул, д.28, корп.2"
7501,"Москва, Большая Полянка ул, д.28, стр.16"
7502,"Москва, Большая Полянка ул, д.28, стр.17"
7503,"Москва, Большая Полянка ул, д.28, стр.3"
7504,"Москва, Большая Полянка ул, д.28, стр.4"
7505,"Москва, Большая Полянка ул, д.3/9"
7506,"Москва, Большая Полянка ул, д.35, стр.1"
7507,"Москва, Большая Якиманка ул, д.26"
7508,"Москва, Большой Овчинниковский пер, д.10"
7509,"Москва, Большой Овчинниковский пер, д.12, стр.1"
7510,"Москва, Большой Овчинниковский пер, д.12, стр.2"
7511,"Москва, Большой Овчинниковский пер, д.17"
7512,"Москва, Большой Овчинниковский пер, д.17, стр.3"
7513,"Москва, Большой Овчинниковский пер, д.20"
7514,"Москва, Большой Овчинниковский пер, д.22, стр.1"
7515,"Москва, Большой Овчинниковский пер, д.22, стр.3"
7516,"Москва, Большой Овчинниковский пер, д.24, стр.1"
7517,"Москва, Большой Овчинниковский пер, д.24, стр.15"
7518,"Москва, Большой Овчинниковский пер, д.24, стр.2"
7519,"Москва, Большой Овчинниковский пер, д.24, стр.4"
7520,"Москва, Большой Овчинниковский пер, д.24, стр.5"
7521,"Москва, Большой Овчинниковский пер, д.24, стр.6"
7522,"Москва, Большой Овчинниковский пер, д.26, стр.2"
7523,"Москва, Большой Овчинниковский пер, д.26, стр.3"
7524,"Москва, Большой Овчинниковский пер, д.26, стр.4"
7525,"Москва, Большой Овчинниковский пер, д.26, стр.5"
7526,"Москва, Большой Овчинниковский пер, д.26, стр.6"
7527,"Москва, Большой Толмачёвский пер, д.4"
7528,"Москва, Валовая ул, д.10"
7529,"Москва, Валовая ул, д.11/19"
7530,"Москва, Валовая ул, д.2-4/44, стр.1"
7531,"Москва, Валовая ул, д.20"
7532,"Москва, Валовая ул, д.21, корп.125"
7533,"Москва, Валовая ул, д.6"
7534,"Москва, Валовая ул, д.8/18"
7535,"Москва, Валовая ул, д.8/18, стр.2"
7536,"Москва, Вишняковский пер, д.10, стр.1"
7537,"Москва, Вишняковский пер, д.10, стр.2"
7538,"Москва, Вишняковский пер, д.23"
7539,"Москва, Вишняковский пер, д.23-25"
7540,"Москва, Вишняковский пер, д.27"
7541,"Москва, Вишняковский пер, д.4"
7542,"Москва, Вишняковский пер, д.6"
7543,"Москва, Голиковский пер, д.10, стр.1"
7544,"Москва, Голиковский пер, д.10, стр.2"
7545,"Москва, Голиковский пер, д.13"
7546,"Москва, Голиковский пер, д.15"
7547,"Москва, Голиковский пер, д.5"
7548,"Москва, Голиковский пер, д.7"
7549,"Москва, Голиковский пер, д.7А"
7550,"Москва, Голиковский пер, д.8"
7551,"Москва, Кадашёвская наб, д.36, стр.1"
7552,"Москва, Кадашёвская наб, д.36, стр.4"
7553,"Москва, Климентовский пер, д.2"
7554,"Москва, Климентовский пер, д.6"
7555,"Москва, Космодамианская наб, д.28, стр.8"
7556,"Москва, Космодамианская наб, д.32-34"
7557,"Москва, Космодамианская наб, д.36"
7558,"Москва, Космодамианская наб, д.38, стр.2"
7559,"Москва, Космодамианская наб, д.4/22, корп.А"
7560,"Москва, Космодамианская наб, д.4/22, корп.Б"
7561,"Москва, Космодамианская наб, д.4/22, корп.В"
7562,"Москва, Космодамианская наб, д.40-42, стр.3"
7563,"Москва, Космодамианская наб, д.46-50, стр.1"
7564,"Москва, Лаврушинский пер, д.11, корп.1"
7565,"Москва, Лаврушинский пер, д.11, корп.2"
7566,"Москва, Лаврушинский пер, д.17, стр.1"
7567,"Москва, Малая Ордынка ул, д.11"
7568,"Москва, Малая Ордынка ул, д.13, стр.1"
7569,"Москва, Малая Ордынка ул, д.13, стр.1А"
7570,"Москва, Малая Ордынка ул, д.13, стр.3"
7571,"Москва, Малая Ордынка ул, д.18, стр.1"
7572,"Москва, Малая Ордынка ул, д.18, стр.2"
7573,"Москва, Малая Ордынка ул, д.27/5-3, стр.1"
