OBJECTID;ADDRESS;settlement;street;building_n;geocoded;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
5001;Москва, Волгоградский пр-кт, д.13; ; ; ;Россия, Москва, Волгоградский проспект, 13;12456;37.676753;55.73003;2029;0.003683;37.677748;55.733577
5002;Москва, Волгоградский пр-кт, д.15; ; ; ;Россия, Москва, Волгоградский проспект, 15;12457;37.677454;55.729244;2029;0.004341;37.677748;55.733577
5003;Москва, Волгоградский пр-кт, д.17; ; ; ;Россия, Москва, Волгоградский проспект, 17;12458;37.679116;55.728559;2029;0.0052;37.677748;55.733577
5004;Москва, Волгоградский пр-кт, д.3; ; ; ;Россия, Москва, Волгоградский проспект, 3;12459;37.672154;55.732285;1722;0.002841;37.67257;55.735097
5005;Москва, Волгоградский пр-кт, д.3-5, стр.2; ; ; ;Россия, Москва, Волгоградский проспект, 3/5с2;12460;37.672297;55.731886;982;0.003024;37.671396;55.728999
5006;Москва, Волгоградский пр-кт, д.5; ; ; ;Россия, Москва, Волгоградский проспект, 5;12461;37.672728;55.731941;1722;0.00316;37.67257;55.735097
5007;Москва, Волгоградский пр-кт, д.7; ; ; ;Россия, Москва, Волгоградский проспект, 7;12462;37.67395;55.731475;982;0.003557;37.671396;55.728999
5008;Москва, Волгоградский пр-кт, д.9, стр.1; ; ; ;Россия, Москва, Волгоградский проспект, 9с1;12463;37.67457;55.730688;982;0.003595;37.671396;55.728999
5009;Москва, Воловья ул, д.3; ; ; ;Россия, Москва, Воловья улица, 3;12464;37.683256;55.735301;989;0.001383;37.68464;55.735309
5010;Москва, Иерусалимская ул, д.2; ; ; ;Россия, Москва, Иерусалимская улица, 2;12465;37.676169;55.733938;375;0.001452;37.677591;55.734235
5011;Москва, Иерусалимская ул, д.3; ; ; ;Россия, Москва, Иерусалимская улица, 3;12466;37.677867;55.732594;2029;0.000989;37.677748;55.733577
5012;Москва, Иерусалимская ул, д.6; ; ; ;Россия, Москва, Иерусалимская улица, 6;12467;37.677049;55.732376;2029;0.001388;37.677748;55.733577
5013;Москва, Иерусалимская ул, д.8; ; ; ;Россия, Москва, Иерусалимская улица, 8;12468;37.676231;55.731789;2029;0.002344;37.677748;55.733577
5014;Москва, Иерусалимская ул, д.9; ; ; ;Россия, Москва, Иерусалимская улица, 9;12469;37.676528;55.730957;2029;0.002888;37.677748;55.733577
5015;Москва, Иерусалимский проезд, д.4; ; ; ;Россия, Москва, Иерусалимский проезд, 4;12470;37.675154;55.732513;2029;0.002803;37.677748;55.733577
5016;Москва, Качалинская ул, д.7; ; ; ;Россия, Москва, Качалинская улица, 7;12471;37.67387;55.73218;1722;0.003193;37.67257;55.735097
5017;Москва, Качалинская ул, д.9; ; ; ;Россия, Москва, Качалинская улица, 9;12472;37.675108;55.731717;2029;0.003228;37.677748;55.733577
5018;Москва, Малая Калитниковская ул, д.1; ; ; ;Россия, Москва, Малая Калитниковская улица, 1;12473;37.675899;55.737557;375;0.003727;37.677591;55.734235
5019;Москва, Малая Калитниковская ул, д.11; ; ; ;Россия, Москва, Малая Калитниковская улица, 11;12474;37.682601;55.735641;989;0.002066;37.68464;55.735309
5020;Москва, Малая Калитниковская ул, д.16; ; ; ;Россия, Москва, Малая Калитниковская улица, 16;12475;37.682439;55.734557;989;0.002324;37.68464;55.735309
5021;Москва, Малая Калитниковская ул, д.18; ; ; ;Россия, Москва, Малая Калитниковская улица, 18;12476;37.68322;55.734141;989;0.001837;37.68464;55.735309
5022;Москва, Малая Калитниковская ул, д.2, корп.1; ; ; ;Россия, Москва, Малая Калитниковская улица, 2к1;12477;37.68031;55.735032;375;0.002834;37.677591;55.734235
5023;Москва, Малая Калитниковская ул, д.2, корп.2; ; ; ;Россия, Москва, Малая Калитниковская улица, 2к2;12478;37.679277;55.734846;375;0.001794;37.677591;55.734235
5024;Москва, Малая Калитниковская ул, д.20, корп.1; ; ; ;Россия, Москва, Малая Калитниковская улица, 20к1;12479;37.683607;55.73364;989;0.001962;37.68464;55.735309
5025;Москва, Малая Калитниковская ул, д.20, корп.2; ; ; ;Россия, Москва, Малая Калитниковская улица, 20к2;12480;37.682061;55.733471;989;0.003165;37.68464;55.735309
5026;Москва, Малая Калитниковская ул, д.22; ; ; ;Россия, Москва, Малая Калитниковская улица, 22;12481;37.684253;55.733238;989;0.002105;37.68464;55.735309
5027;Москва, Малая Калитниковская ул, д.3; ; ; ;Россия, Москва, Малая Калитниковская улица, 3;12482;37.676914;55.737354;375;0.003192;37.677591;55.734235
5028;Москва, Малая Калитниковская ул, д.45; ; ; ;Россия, Москва, Малая Калитниковская улица, 45;12483;37.683967;55.734674;989;0.000925;37.68464;55.735309
5029;Москва, Малая Калитниковская ул, д.47А, корп.1; ; ; ;Россия, Москва, Малая Калитниковская улица, 47ак1;12484;37.684946;55.734461;989;0.000901;37.68464;55.735309
5030;Москва, Малая Калитниковская ул, д.47А, корп.2; ; ; ;Россия, Москва, Малая Калитниковская улица, 47ак2;12485;37.685322;55.734805;989;0.000848;37.68464;55.735309
5031;Москва, Малая Калитниковская ул, д.5; ; ; ;Россия, Москва, Малая Калитниковская улица, 5;12486;37.677607;55.737095;375;0.002861;37.677591;55.734235
5032;Москва, Малая Калитниковская ул, д.7; ; ; ;Россия, Москва, Малая Калитниковская улица, 7;12487;37.678693;55.737365;1682;0.003047;37.678544;55.740409
5033;Москва, Малая Калитниковская ул, д.9; ; ; ;Россия, Москва, Малая Калитниковская улица, 9;12488;37.681703;55.735712;989;0.002964;37.68464;55.735309
5034;Москва, Малый Калитниковский проезд, д.1/47, стр.1; ; ; ;Россия, Москва, Малый Калитниковский проезд, 1/47с1;12489;37.684541;55.734141;989;0.001172;37.68464;55.735309
5035;Москва, Сибирский проезд, д.1, стр.1; ; ; ;Россия, Москва, Сибирский проезд, 1с1;12490;37.680535;55.733538;2029;0.002787;37.677748;55.733577
5036;Москва, Сибирский проезд, д.2, стр.1; ; ; ;Россия, Москва, Сибирский проезд, 2с1;12491;37.68216;55.732513;989;0.003735;37.68464;55.735309
5037;Москва, Сибирский проезд, д.2/26; ; ; ;Россия, Москва, Сибирский проезд, 2/26;12492;37.68332;55.731379;989;0.004145;37.68464;55.735309
5038;Москва, Средняя Калитниковская ул, д.10; ; ; ;Россия, Москва, Средняя Калитниковская улица, 10;12493;37.682503;55.736051;989;0.002262;37.68464;55.735309
5039;Москва, Средняя Калитниковская ул, д.15; ; ; ;Россия, Москва, Средняя Калитниковская улица, 15;12494;37.68499;55.736142;989;0.000904;37.68464;55.735309
5040;Москва, Средняя Калитниковская ул, д.24; ; ; ;Россия, Москва, Средняя Калитниковская улица, 24;12495;37.68587;55.735216;989;0.001234;37.68464;55.735309
5041;Москва, Средняя Калитниковская ул, д.31; ; ; ;Россия, Москва, Средняя Калитниковская улица, 31;12496;37.691664;55.735281;989;0.007025;37.68464;55.735309
5042;Москва, Стройковская ул, д.10; ; ; ;Россия, Москва, Стройковская улица, 10;12497;37.673348;55.734079;1722;0.001281;37.67257;55.735097
5043;Москва, Стройковская ул, д.12, корп.1; ; ; ;Россия, Москва, Стройковская улица, 12к1;12498;37.672693;55.733593;1722;0.001508;37.67257;55.735097
5044;Москва, Стройковская ул, д.12, корп.2; ; ; ;Россия, Москва, Стройковская улица, 12к2;12499;37.671705;55.734126;1722;0.0013;37.67257;55.735097
5045;Москва, Стройковская ул, д.17/1; ; ; ;Россия, Москва, Стройковская улица, 17/1;12500;37.674022;55.732909;1722;0.002625;37.67257;55.735097
