"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Автономная некоммерческая организация общеобразовательная средняя школа ""Город солнца""";"Москва, 3-я Тверская-Ямская ул, д.52, стр.1";"Центральный административный округ";"Тверской район";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 728-30-30,(495) 978-02-46";"";"casadelsol@mail.ru";9
2;"Автономная некоммерческая организация Средняя общеобразовательная школа ""Виктория-2000""";"";"Центральный административный округ";"район Хамовники";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 242-30-59,(985) 244-43-87";"nouviktorija2000.mskobr.ru";"vktr-2000@mail.ru";11
3;"Автономная некоммерческая организация Школа ""Президент""";"Мокава, Большая Ордынка улица, д. 17, стр. 8";"Центральный административный округ";"район Замоскворечье";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"";"";"info@school-president.ru";17
4;"Государственное бюджетное образовательное учреждение  города Москвы средняя общеобразовательная школа № 315";"107140 г. Москва, Русаковская ул., д.10, строение 1 и 3";"Центральный административный округ";"Красносельский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 264-64-45";"schc315.mskobr.ru";"Natali_C2000@mail.ru";27
5;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1513 ""Московская городская лингвистическая гимназия""";"121099 г. Москва, Новинский б-р, д.3, стр.2";"Центральный административный округ";"район Арбат";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 254-08-29";"gymc1513.mskobr.ru";"bubman13@yandex.ru";59
6;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1520 имени Капцовых";"125009 г.Москва, Леонтьевский пер., д.19/2, стр.1";"Центральный административный округ";"Пресненский район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 629-60-71; (495) 629-08-78; (495) 629-01-18; (495) 629-06-98; (495) 629-42-31; (495) 629-50-22; (495) 629-38-77";"gymc1520.mskobr.ru";"1520gym@bk.ru";64
7;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521";"119034, г. Москва, ул. Пречистенка, д. 12/2, стр. 8";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-93-31";"gymc1521.mskobr.ru";"direktor1768@mail.ru";65
8;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1529 имени А.С.Грибоедова";"119034 г.Москва, 2-ой Обыденский пер, д.9";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 766-98-42";"gymc1529.mskobr.ru";"info@sch1529.ru";70
9;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1540";"103055 г. Москва, Новослободская ул., д.57, стр.1";"Центральный административный округ";"Тверской район";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 978-35-84";"gymc1540.mskobr.ru";"school@msk.ort.ru";77
10;"Государственное бюджетное образовательное учреждение города Москвы Лингвистический лицей № 1555";"119034 г. Москва, Хилков пер., д. 3А";"Центральный административный округ";"район Хамовники";"Государственное";"Центральное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 766-93-12";"lycc1555.mskobr.ru";"Lyceum1555@rambler.ru";126
