OBJECTID;ADDRESS;ID;POINT_X;POINT_Y
1;Москва, 11-я Парковая ул, д.24;1;37,806874;55,794695
2;Москва, 11-я Парковая ул, д.26А;2;37,80585;55,795626
3;Москва, 13-я Парковая ул, д.11;3;37,812138;55,795808
4;Москва, 13-я Парковая ул, д.4;4;37,812893;55,794239
5;Москва, 13-я Парковая ул, д.8/25;5;37,8131;55,795322
6;Москва, 15-я Парковая ул, д.16, корп.1;6;37,819487;55,79474
7;Москва, 15-я Парковая ул, д.16, корп.2;7;37,820232;55,794796
8;Москва, 15-я Парковая ул, д.16, корп.3;8;37,821068;55,794806
9;Москва, 15-я Парковая ул, д.18, корп.1;9;37,819478;55,796056
10;Москва, 15-я Парковая ул, д.18, корп.2;10;37,821077;55,795666
11;Москва, 15-я Парковая ул, д.19;11;37,818606;55,794431
12;Москва, 15-я Парковая ул, д.20;12;37,819755;55,797144
13;Москва, 15-я Парковая ул, д.23;13;37,818714;55,796051
14;Москва, Измайловский бульв., д.46;14;37,806021;55,796309
15;Москва, Измайловский бульв., д.48;15;37,806936;55,796334
16;Москва, Измайловский бульв., д.50;16;37,807773;55,796268
17;Москва, Измайловский бульв., д.54;17;37,809947;55,796359
18;Москва, Измайловский бульв., д.56;18;37,810881;55,79644
19;Москва, Измайловский бульв., д.58;19;37,811878;55,796405
20;Москва, Измайловский бульв., д.58/13;20;37,811878;55,796405
21;Москва, Измайловский бульв., д.60/10;21;37,81363;55,796597
22;Москва, Измайловский бульв., д.64;22;37,816971;55,79641
23;Москва, Измайловский бульв., д.66;23;37,817852;55,796613
24;Москва, Измайловский бульв., д.67, корп.1;24;37,815669;55,797387
25;Москва, Измайловский бульв., д.72;25;37,820942;55,796628
26;Москва, Измайловский бульв., д.77;26;37,822954;55,797184
27;Москва, Первомайская ул, д.105;27;37,80974;55,793596
28;Москва, Первомайская ул, д.107;28;37,810737;55,793606
29;Москва, Первомайская ул, д.107А;29;37,811582;55,793627
30;Москва, Первомайская ул, д.109/2;30;37,813342;55,793662
31;Москва, Первомайская ул, д.113;31;37,816145;55,793703
32;Москва, Первомайская ул, д.113, корп.1;32;37,815696;55,79434
33;Москва, Первомайская ул, д.115;33;37,817277;55,793854
34;Москва, Первомайская ул, д.117;34;37,818426;55,793738
35;Москва, Первомайская ул, д.119;35;37,819873;55,793768
36;Москва, Первомайская ул, д.121;36;37,821319;55,793789
37;Москва, Первомайская ул, д.97;37;37,807548;55,793865
38;Москва, Первомайская ул, д.99;38;37,808491;55,793586
39;Москва, Средняя Первомайская ул, д.13;39;37,807925;55,79553
40;Москва, Средняя Первомайская ул, д.15;40;37,808869;55,795246
41;Москва, Средняя Первомайская ул, д.17;41;37,809794;55,795585
42;Москва, Средняя Первомайская ул, д.21;42;37,81089;55,795742
43;Москва, Средняя Первомайская ул, д.23;43;37,811339;55,795408
44;Москва, Средняя Первомайская ул, д.26;44;37,808095;55,794355
45;Москва, Средняя Первомайская ул, д.27;45;37,81416;55,795332
46;Москва, Средняя Первомайская ул, д.29;46;37,8146;55,795631
47;Москва, Средняя Первомайская ул, д.31;47;37,816989;55,795697
48;Москва, Средняя Первомайская ул, д.33;48;37,817933;55,795469
49;Москва, Средняя Первомайская ул, д.34;49;37,809802;55,794239
50;Москва, Средняя Первомайская ул, д.36;50;37,810108;55,794831
51;Москва, Средняя Первомайская ул, д.36, корп.1;51;37,81089;55,794335
52;Москва, Средняя Первомайская ул, д.38/7;52;37,81204;55,794695
53;Москва, Средняя Первомайская ул, д.42/6;53;37,813118;55,794963
54;Москва, Средняя Первомайская ул, д.44;54;37,814132;55,794978
55;Москва, Средняя Первомайская ул, д.46;55;37,8153;55,794993
56;Москва, Средняя Первомайская ул, д.48, корп.1;56;37,816495;55,795023
57;Москва, Средняя Первомайская ул, д.48, корп.2;57;37,816837;55,794644
58;Москва, Средняя Первомайская ул, д.50, корп.1;58;37,817951;55,795044
59;Москва, Средняя Первомайская ул, д.50, корп.2;59;37,817645;55,794659
60;Москва, Средняя Первомайская ул, д.52;60;37,818786;55,794963
61;Москва, Средняя Первомайская ул, д.9/26;61;37,806165;55,795185
