"ID","DRIVE_DURATION","DRIVE_DISTANCE"
"1","445","3204"
"2","430","3088"
"3","465","3384"
"4","483","3632"
"5","458","3530"
"6","486","3970"
"7","517","4000"
"8","554","4102"
"9","502","3861"
"10","527","3989"
"11","519","4108"
"12","501","3878"
"13","474","3782"
"14","402","2939"
"15","413","2997"
"16","429","3143"
"17","419","3183"
"18","426","3234"
"19","440","3304"
"20","440","3304"
"21","450","3487"
"22","460","3668"
"23","468","3691"
"24","492","3997"
"25","500","3883"
"26","504","3979"
"27","449","3511"
"28","454","3573"
"29","492","3694"
"30","490","3694"
"31","483","3910"
"32","519","3958"
"33","531","4042"
"34","495","4054"
"35","520","4100"
"36","509","4235"
"37","483","3347"
"38","443","3433"
"39","451","3215"
"40","445","3268"
"41","470","3364"
"42","478","3365"
"43","477","3448"
"44","466","3286"
"45","466","3597"
"46","471","3565"
"47","477","3747"
"48","490","3867"
"49","492","3587"
"50","489","3679"
"51","481","3641"
"52","477","3655"
"53","485","3639"
"54","482","3633"
"55","499","3754"
"56","503","3774"
"57","512","3866"
"58","511","3938"
"59","511","3864"
"60","502","3900"
"61","417","3099"
"62","496","4022"
"63","343","2136"
"64","359","2206"
"65","335","1975"
"66","337","2041"
"67","366","2176"
"68","349","2103"
"69","298","1839"
"70","322","1971"
"71","309","1908"
"72","327","1848"
"73","327","1848"
"74","327","1848"
"75","281","1647"
"76","259","1514"
"77","296","1699"
"78","302","1746"
"79","279","1634"
"80","284","1654"
"81","299","1728"
"82","304","1749"
"83","404","2688"
"84","382","2597"
"85","391","2662"
"86","396","2674"
"87","392","2656"
"88","350","2436"
"89","364","2501"
"90","380","2223"
"91","384","2260"
"92","376","2524"
"93","376","2524"
"94","397","2608"
"95","370","2489"
"96","331","2307"
"97","343","2087"
"98","338","2089"
"99","332","2328"
"100","363","2413"
"101","348","2335"
"102","332","2017"
"103","332","2017"
"104","332","2017"
"105","332","2017"
"106","332","2017"
"107","344","2259"
"108","296","1972"
"109","299","1836"
"110","283","1762"
"111","338","2289"
"112","323","2147"
"113","294","1960"
"114","457","3161"
"115","396","2951"
"116","395","2931"
"117","414","3048"
"118","424","3105"
"119","427","3028"
"120","369","2819"
"121","378","2809"
"122","410","2981"
"123","419","3012"
"124","458","3164"
"125","392","2953"
"126","396","2905"
"127","400","2988"
"128","388","2834"
"129","481","3280"
"130","398","2886"
"131","402","2935"
"132","419","3057"
"133","476","3327"
"134","459","3192"
"135","459","3193"
"136","470","3246"
"137","348","2607"
"138","384","2746"
"139","401","2614"
"140","464","3141"
"141","413","2664"
"142","426","2694"
"143","434","2815"
"144","432","3024"
"145","442","3053"
"146","457","3230"
"147","465","3273"
"148","473","3163"
"149","377","2667"
"150","372","2455"
"151","368","2425"
"152","363","2388"
"153","377","2502"
"154","397","2579"
"155","452","3171"
"156","378","2482"
"157","327","2387"
"158","366","2445"
"159","383","2525"
"160","381","2452"
"161","346","2346"
"162","335","2293"
"163","337","2301"
"164","554","4501"
"165","572","4492"
"166","633","4866"
"167","639","4892"
"168","636","4881"
"169","520","4173"
"170","558","4494"
"171","542","4355"
"172","555","4395"
"173","496","4022"
"174","511","3539"
"175","513","3954"
"176","460","3710"
"177","458","3723"
"178","489","3359"
"179","433","3489"
"180","447","3394"
"181","443","3139"
"182","420","3253"
"183","424","3096"
"184","419","3072"
"185","553","4275"
"186","307","1737"
"187","266","1567"
"188","405","2548"
"189","313","1802"
"190","400","2505"
"191","404","2523"
"192","263","1667"
"193","331","2281"
"194","270","1886"
"195","334","2400"
"196","290","2028"
