OBJECTID;ID;OPL_G;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
17501;17501;4226;37.46036;55.702913;1325;0.004516;37.461447;55.707297
17502;17502;8748;37.460587;55.704681;1325;0.002752;37.461447;55.707297
17503;17503;9258;37.475418;55.705145;26;0.001744;37.474719;55.706744
17504;17504;4081;37.459967;55.703388;1325;0.004178;37.461447;55.707297
17505;17505;9241;37.474786;55.704041;26;0.002703;37.474719;55.706744
17506;17506;5088;37.459453;55.702991;1324;0.004691;37.460421;55.707582
17507;17507;16665;37.472728;55.704083;26;0.003322;37.474719;55.706744
17508;17508;16607;37.471765;55.704385;26;0.00378;37.474719;55.706744
17509;17509;16624;37.470762;55.704661;1785;0.002896;37.46787;55.70481
17510;17510;16644;37.469755;55.704936;1785;0.00189;37.46787;55.70481
17511;17511;9143;37.469702;55.70316;1785;0.002465;37.46787;55.70481
17512;17512;4251;37.465895;55.701736;1785;0.003653;37.46787;55.70481
17513;17513;8710;37.467948;55.702653;1785;0.002158;37.46787;55.70481
17514;17514;21157;37.463017;55.702324;1327;0.003568;37.464104;55.705724
17515;17515;7732;37.46465;55.703668;1327;0.002126;37.464104;55.705724
17516;17516;6863;37.46533;55.704777;1327;0.001549;37.464104;55.705724
17517;17517;7732;37.463228;55.704179;1327;0.001775;37.464104;55.705724
17518;17518;7778;37.462562;55.70448;1327;0.00198;37.464104;55.705724
17519;17519;4256;37.463018;55.705969;1327;0.001112;37.464104;55.705724
17520;17520;8521;37.463702;55.706649;1327;0.001008;37.464104;55.705724
17521;17521;13637;37.462493;55.707026;1326;6.10656209621707E-007;37.462493;55.707026
17522;17522;13621;37.461446;55.707297;1325;5.52819147456342E-007;37.461447;55.707297
17523;17523;13598;37.46042;55.707581;1324;3.70936671797531E-007;37.460421;55.707582
17524;17524;13608;37.459329;55.707767;1324;0.001106;37.460421;55.707582
17525;17525;9264;37.46015;55.705768;1324;0.001833;37.460421;55.707582
17526;17526;9170;37.461494;55.705237;1326;0.002048;37.462493;55.707026
17527;17527;7799;37.465477;55.703562;1327;0.002561;37.464104;55.705724
17528;17528;8749;37.476714;55.704644;26;0.002896;37.474719;55.706744
17529;17529;2376;37.420663;55.664149;397;0.012628;37.412584;55.654444
17530;17530;2874;37.425582;55.666236;397;0.01755;37.412584;55.654444
17531;17531;2599;37.415526;55.66316;402;0.008407;37.409162;55.657666
17532;17532;2597;37.416224;55.663351;402;0.009067;37.409162;55.657666
17533;17533;2576;37.41692;55.663532;402;0.009726;37.409162;55.657666
17534;17534;2590;37.417614;55.663709;402;0.010391;37.409162;55.657666
17535;17535;2564;37.418313;55.663896;397;0.011052;37.412584;55.654444
17536;17536;3274;37.419105;55.664059;397;0.011618;37.412584;55.654444
17537;17537;2511;37.419405;55.664625;397;0.012255;37.412584;55.654444
17538;17538;2515;37.420864;55.665003;397;0.013419;37.412584;55.654444
17539;17539;2914;37.423896;55.665794;397;0.016025;37.412584;55.654444
17540;17540;2419;37.419608;55.663452;397;0.011423;37.412584;55.654444
17541;17541;2863;37.422213;55.665347;397;0.014547;37.412584;55.654444
17542;17542;1939;37.69436;55.791287;885;0.004258;37.696627;55.794892
17543;17543;6981;37.695321;55.791836;885;0.003323;37.696627;55.794892
17544;17544;4221;37.695916;55.790337;885;0.00461;37.696627;55.794892
17545;17545;3881;37.694288;55.791948;885;0.003759;37.696627;55.794892
17546;17546;2398;37.69668;55.792019;885;0.002873;37.696627;55.794892
17547;17547;2303;37.696473;55.790284;885;0.004609;37.696627;55.794892
17548;17548;18595;37.698888;55.789259;885;0.006069;37.696627;55.794892
17549;17549;9903;37.500332;55.648047;681;0.002774;37.49828;55.64618
17550;17550;9891;37.500431;55.646907;681;0.002271;37.49828;55.64618
17551;17551;12528;37.496967;55.648729;681;0.002867;37.49828;55.64618
17552;17552;12532;37.495653;55.64787;681;0.003122;37.49828;55.64618
17553;17553;7789;37.495211;55.64706;681;0.003192;37.49828;55.64618
17554;17554;7322;37.498075;55.648013;681;0.001845;37.49828;55.64618
17555;17555;4674;37.496636;55.647413;681;0.002054;37.49828;55.64618
17556;17556;9569;37.499593;55.648416;681;0.002594;37.49828;55.64618
17557;17557;6285;37.497894;55.647608;681;0.001479;37.49828;55.64618
17558;17558;10824;37.499907;55.646389;681;0.001641;37.49828;55.64618
17559;17559;66;37.672823;55.71334;961;0.006043;37.675301;55.707828
17560;17560;42094;37.671458;55.713961;961;0.007237;37.675301;55.707828
17561;17561;11326;37.671163;55.712994;986;0.006569;37.672197;55.706506
17562;17562;12699;37.666158;55.713102;173;0.00549;37.663861;55.708116
17563;17563;3288;37.667606;55.713252;173;0.006357;37.663861;55.708116
17564;17564;7258;37.669423;55.713843;986;0.007844;37.672197;55.706506
17565;17565;20803;37.676199;55.71515;962;0.007128;37.675772;55.708035
17566;17566;7186;37.669953;55.712198;986;0.006118;37.672197;55.706506
17567;17567;2170;37.66866;55.713447;173;0.007173;37.663861;55.708116
17568;17568;2180;37.668982;55.712641;173;0.006834;37.663861;55.708116
17569;17569;6466;37.674625;55.714038;962;0.006111;37.675772;55.708035
17570;17570;5988;37.671171;55.711896;986;0.005487;37.672197;55.706506
17571;17571;8823;37.674828;55.713253;962;0.005302;37.675772;55.708035
17572;17572;2552;37.672453;55.712511;961;0.005481;37.675301;55.707828
17573;17573;2503;37.673271;55.712761;961;0.005334;37.675301;55.707828
17574;17574;3497;37.67201;55.712003;961;0.005316;37.675301;55.707828
17575;17575;1194;37.671378;55.712353;986;0.005904;37.672197;55.706506
17576;17576;204;37.371428;55.906437;1614;0.010369;37.381313;55.903304
17577;17577;154;37.367488;55.906354;1614;0.014157;37.381313;55.903304
17578;17578;258;37.370045;55.906545;1614;0.011724;37.381313;55.903304
17579;17579;255;37.370784;55.906305;1614;0.010948;37.381313;55.903304
17580;17580;261;37.369605;55.905799;1614;0.01197;37.381313;55.903304
17581;17581;253;37.369367;55.905691;1614;0.012181;37.381313;55.903304
17582;17582;261;37.369122;55.905587;1614;0.012402;37.381313;55.903304
17583;17583;156;37.368118;55.905723;1614;0.013414;37.381313;55.903304
17584;17584;155;37.367808;55.90604;1614;0.013778;37.381313;55.903304
17585;17585;155;37.367646;55.906197;1614;0.013969;37.381313;55.903304
17586;17586;197;37.371991;55.906642;1614;0.009901;37.381313;55.903304
17587;17587;176;37.368385;55.906276;1614;0.013265;37.381313;55.903304
17588;17588;176;37.368677;55.90605;1614;0.01293;37.381313;55.903304
17589;17589;179;37.371265;55.907494;1614;0.010886;37.381313;55.903304
17590;17590;181;37.371513;55.907252;1614;0.010564;37.381313;55.903304
17591;17591;197;37.371112;55.906387;1614;0.010656;37.381313;55.903304
17592;17592;368;37.370782;55.906853;1614;0.011112;37.381313;55.903304
17593;17593;154;37.367952;55.905881;1614;0.013606;37.381313;55.903304
17594;17594;661;37.371806;55.906503;1614;0.01003;37.381313;55.903304
17595;17595;875;37.370466;55.906182;1614;0.011222;37.381313;55.903304
17596;17596;388;37.371213;55.907036;1614;0.010766;37.381313;55.903304
17597;17597;227;37.370399;55.90669;1614;0.011426;37.381313;55.903304
17598;17598;228;37.36913;55.906154;1614;0.012511;37.381313;55.903304
17599;17599;156;37.368267;55.905571;1614;0.01324;37.381313;55.903304
