OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
27504;Москва, Профсоюзная ул, д.28/53;15390;37.561104;55.677747;1050;0.002978;37.562045;55.680573
27505;Москва, Профсоюзная ул, д.30, корп.1;15391;37.560871;55.677305;1050;0.003471;37.562045;55.680573
27506;Москва, Профсоюзная ул, д.30, корп.2;15392;37.560492;55.677783;1050;0.003192;37.562045;55.680573
27507;Москва, Профсоюзная ул, д.30, корп.4;15393;37.559451;55.67801;628;0.003399;37.556594;55.676168
27508;Москва, Профсоюзная ул, д.32, корп.2;15394;37.559792;55.677103;628;0.003332;37.556594;55.676168
27509;Москва, Профсоюзная ул, д.34, корп.1;15395;37.559459;55.676625;628;0.002902;37.556594;55.676168
27510;Москва, Профсоюзная ул, д.36, корп.1;15396;37.559002;55.676198;628;0.002408;37.556594;55.676168
27511;Москва, Профсоюзная ул, д.38, корп.1;15397;37.558525;55.675773;628;0.001971;37.556594;55.676168
27512;Москва, Профсоюзная ул, д.40, корп.1;15398;37.558031;55.675306;628;0.001676;37.556594;55.676168
27513;Москва, Профсоюзная ул, д.42, корп.1;15399;37.55814;55.674565;628;0.002227;37.556594;55.676168
27514;Москва, Профсоюзная ул, д.42, корп.2;15400;37.556783;55.675087;628;0.001096;37.556594;55.676168
27515;Москва, Профсоюзная ул, д.42, корп.3;15401;37.554429;55.675524;1591;0.001394;37.554385;55.676918
27516;Москва, Профсоюзная ул, д.42, корп.4;15402;37.556289;55.675367;628;0.000857;37.556594;55.676168
27517;Москва, Профсоюзная ул, д.44, корп.1;15403;37.556944;55.674285;628;0.001914;37.556594;55.676168
27518;Москва, Профсоюзная ул, д.44, корп.2;15404;37.555426;55.674935;628;0.001697;37.556594;55.676168
27519;Москва, Профсоюзная ул, д.44, корп.3;15405;37.554825;55.674803;1591;0.00216;37.554385;55.676918
27520;Москва, Профсоюзная ул, д.44, корп.4;15406;37.554187;55.67428;1591;0.002645;37.554385;55.676918
