"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"41728";"82";"117"
"41729";"249";"349"
"41730";"280";"397"
"41731";"267";"373"
"41732";"340";"478"
"41733";"474";"660"
"41734";"491";"684"
"41735";"346";"475"
"41736";"427";"592"
"41737";"466";"646"
"41738";"346";"474"
"41739";"116";"168"
"41740";"191";"268"
"41741";"402";"555"
"41742";"152";"212"
"41743";"416";"571"
"41744";"307";"415"
"41745";"220";"293"
"41746";"209";"277"
"41747";"81";"113"
"41748";"201";"280"
"41749";"212";"295"
"41750";"153";"205"
"41751";"162";"222"
"41752";"201";"273"
"41753";"232";"317"
"41754";"304";"417"
"41755";"12";"15"
"41756";"199";"275"
"41757";"217";"299"
"41758";"526";"731"
"41759";"563";"782"
"41760";"465";"650"
"41761";"382";"524"
"41762";"316";"433"
"41763";"380";"520"
"41764";"107";"149"
"41765";"133";"178"
"41766";"62";"86"
"41767";"117";"160"
"41768";"216";"294"
"41769";"386";"540"
"41770";"329";"454"
"41771";"417";"582"
"41772";"273";"362"
"41773";"387";"541"
"41774";"395";"540"
"41775";"153";"205"
"41776";"356";"489"
"41777";"308";"419"
"41778";"334";"459"
"41779";"277";"377"
"41780";"450";"620"
"41781";"419";"579"
"41782";"309";"424"
"41783";"405";"551"
"41784";"302";"417"
"41785";"441";"602"
"41786";"492";"668"
"41787";"117";"160"
"41788";"386";"540"
"41789";"395";"540"
"41790";"168";"238"
"41791";"168";"238"
"41792";"382";"526"
"41793";"373";"522"
"41794";"229";"313"
"41795";"154";"212"
"41796";"400";"550"
"41797";"382";"526"
"41798";"373";"522"
"41799";"373";"522"
"41800";"330";"466"
"41801";"133";"192"
"41802";"293";"386"
"41803";"320";"430"
"41804";"381";"516"
"41805";"402";"553"
"41806";"551";"746"
"41807";"468";"640"
"41808";"320";"438"
"41809";"320";"438"
"41810";"413";"568"
"41811";"468";"640"
"41812";"359";"470"
"41813";"359";"470"
"41814";"316";"449"
"41821";"416";"561"
"41822";"416";"561"
"41823";"416";"561"
"41824";"416";"561"
"41825";"416";"561"
"41826";"416";"561"
"41827";"416";"561"
"41828";"416";"561"
"41829";"416";"561"
"41830";"416";"561"
"41831";"416";"561"
"41832";"416";"561"
"41833";"416";"561"
"41834";"416";"561"
"41835";"416";"561"
"41836";"184";"251"
"41837";"246";"334"
"41838";"127";"171"
"41839";"149";"203"
"41840";"173";"235"
"41841";"118";"157"
"41842";"91";"122"
"41843";"163";"216"
"41844";"191";"253"
"41845";"291";"384"
"41846";"205";"275"
"41847";"190";"253"
"41848";"161";"212"
"41849";"201";"276"
"41850";"293";"386"
"41851";"303";"398"
"41852";"314";"418"
"41853";"449";"600"
"41854";"406";"540"
"41855";"485";"651"
"41856";"536";"721"
"41857";"273";"380"
"41858";"403";"548"
"41859";"320";"430"
"41860";"173";"235"
"41861";"269";"360"
"41862";"253";"337"
"41863";"178";"240"
"41864";"251";"329"
"41865";"151";"200"
"41866";"223";"293"
"41867";"410";"563"
"41868";"468";"640"
"41869";"545";"739"
"41870";"491";"677"
"41871";"627";"856"
"41872";"320";"438"
"41873";"284";"392"
"41874";"336";"459"
"41875";"389";"535"
"41876";"355";"487"
"41877";"422";"581"
"41878";"292";"400"
"41879";"284";"386"
"41880";"467";"612"
"41881";"435";"567"
"41882";"340";"440"
"41883";"153";"203"
"41884";"1";"2"
"41885";"213";"285"
"41886";"346";"471"
"41887";"163";"217"
"41888";"484";"683"
"41889";"468";"613"
"41890";"413";"568"
"41891";"407";"557"
"41892";"263";"361"
"41893";"260";"358"
"41894";"468";"640"
"41895";"499";"689"
"41896";"316";"450"
"41897";"312";"435"
"41898";"360";"497"
"41899";"360";"497"
"41900";"324";"425"
"41901";"238";"306"
"41902";"364";"477"
"41903";"344";"454"
"41904";"303";"389"
"41905";"366";"484"
"41906";"425";"563"
"41907";"347";"452"
"41908";"363";"475"
"41909";"338";"439"
"41910";"396";"524"
"41911";"343";"446"
"41912";"365";"479"
"41913";"299";"386"
"41914";"434";"566"
