OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y;NEAR_FC
2506;Москва, Ангарская ул, д.23, корп.2;42670;37.516135;55.877823;94;0.002182;37.514378;55.876529;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2507;Москва, Ангарская ул, д.23, корп.3;42671;37.5175;55.87802;94;0.00346;37.514378;55.876529;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2508;Москва, Ангарская ул, д.23, корп.4;42672;37.517858;55.877671;127;0.003496;37.519174;55.874432;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2509;Москва, Ангарская ул, д.23, корп.5;42673;37.51653;55.878142;93;0.002507;37.514062;55.878588;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2510;Москва, Ангарская ул, д.25;42674;37.518515;55.877197;127;0.002843;37.519174;55.874432;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2511;Москва, Ангарская ул, д.27;42675;37.518954;55.877829;127;0.003404;37.519174;55.874432;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2512;Москва, Ангарская ул, д.27А;42676;37.518505;55.878505;127;0.004128;37.519174;55.874432;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2513;Москва, Ангарская ул, д.29;42677;37.519754;55.878091;71;0.003699;37.520674;55.874507;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2514;Москва, Ангарская ул, д.3;42678;37.511292;55.871597;94;0.005817;37.514378;55.876529;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2515;Москва, Ангарская ул, д.31;42679;37.520581;55.878344;71;0.003838;37.520674;55.874507;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2516;Москва, Ангарская ул, д.33;42680;37.521586;55.878191;71;0.003796;37.520674;55.874507;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
2517;Москва, Ангарская ул, д.5;42681;37.512182;55.872359;94;0.004712;37.514378;55.876529;D:\GROSHKOV\Dropbox\ВШУ\hse\layers\SAO.gdb\schools_point_sao
