"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"40165";"198";"300"
"40166";"579";"796"
"40167";"579";"796"
"40168";"579";"796"
"40169";"579";"796"
"40170";"579";"796"
"40171";"1227";"1618"
"40172";"1070";"1458"
"40173";"811";"1114"
"40174";"881";"1210"
"40175";"971";"1341"
"40176";"881";"1210"
"40177";"971";"1341"
"40178";"971";"1341"
"40179";"248";"333"
"40180";"220";"294"
"40181";"157";"204"
"40182";"305";"415"
"40183";"110";"146"
"40184";"161";"216"
"40185";"67";"91"
"40186";"125";"176"
"40187";"141";"199"
"40188";"195";"273"
"40189";"476";"627"
"40190";"519";"689"
"40191";"533";"710"
"40192";"83";"125"
"40193";"111";"166"
"40194";"180";"256"
"40195";"221";"312"
"40196";"252";"346"
"40197";"252";"343"
"40198";"213";"289"
"40199";"6";"9"
"40200";"76";"105"
"40201";"137";"194"
"40202";"136";"194"
"40203";"188";"272"
"40204";"227";"329"
"40205";"216";"314"
"40206";"244";"347"
"40207";"326";"457"
"40208";"374";"526"
"40209";"268";"382"
"40210";"386";"554"
"40211";"528";"704"
"40212";"481";"672"
"40213";"534";"722"
"40214";"214";"294"
"40215";"189";"276"
"40216";"382";"550"
"40217";"433";"619"
"40218";"198";"300"
"40219";"268";"382"
"40220";"221";"336"
"40221";"269";"408"
"40222";"315";"471"
"40223";"375";"554"
"40224";"268";"382"
"40225";"214";"294"
"40226";"110";"163"
"40227";"284";"396"
"40228";"667";"959"
"40229";"772";"1075"
"40230";"818";"1138"
"40231";"350";"516"
"40232";"459";"650"
"40233";"296";"435"
"40234";"301";"449"
"40235";"292";"410"
"40236";"327";"460"
"40237";"305";"457"
"40238";"339";"506"
"40239";"397";"591"
"40240";"618";"896"
"40241";"325";"483"
"40242";"294";"411"
"40243";"414";"588"
"40244";"414";"588"
"40245";"414";"588"
"40246";"414";"588"
"40247";"414";"588"
"40248";"841";"1161"
"40249";"497";"697"
"40250";"86";"131"
"40251";"127";"190"
"40252";"223";"326"
"40253";"193";"283"
"40254";"262";"383"
"40255";"340";"459"
"40256";"413";"571"
"40257";"587";"798"
"40258";"392";"514"
"40259";"342";"445"
"40260";"266";"340"
"40261";"235";"294"
"40262";"341";"443"
"40263";"384";"491"
"40264";"487";"645"
"40265";"456";"601"
"40266";"382";"494"
"40267";"239";"338"
"40268";"289";"407"
"40269";"843";"1166"
"40270";"528";"735"
"40271";"549";"745"
"40272";"323";"455"
"40273";"400";"571"
"40274";"480";"686"
"40275";"396";"577"
"40276";"344";"500"
"40277";"330";"485"
"40278";"390";"565"
"40279";"409";"589"
"40280";"436";"622"
"40281";"361";"520"
"40282";"355";"515"
"40283";"299";"440"
"40284";"293";"433"
"40285";"399";"581"
"40286";"281";"392"
"40287";"277";"380"
"40288";"173";"235"
"40289";"390";"512"
"40290";"576";"805"
"40291";"500";"680"
"40292";"460";"628"
"40293";"430";"588"
"40294";"386";"531"
"40295";"493";"671"
"40296";"637";"876"
"40297";"569";"774"
"40298";"373";"522"
"40299";"309";"425"
"40300";"462";"636"
"40301";"441";"608"
"40302";"292";"406"
"40303";"478";"646"
"40304";"473";"634"
"40305";"557";"751"
"40306";"409";"565"
"40307";"518";"701"
"40308";"454";"613"
"40309";"470";"635"
"40310";"579";"796"
"40311";"167";"232"
"40312";"2";"3"
"40313";"445";"605"
"40314";"462";"631"
"40315";"1161";"1586"
"40316";"1088";"1486"
"40317";"736";"1001"
"40318";"556";"760"
"40319";"339";"432"
"40320";"479";"668"
"40321";"479";"668"
"40322";"647";"884"
"40323";"361";"509"
"40324";"319";"446"
"40325";"451";"626"
"40326";"435";"606"
