"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа ""Школа здоровья"" № 149";"125080 г. Москва, ул. Врубеля., д. 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"158-03-31";"schs149.mskobr.ru";"shcola149@yandex.ru";30
2;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 90";"125130, г. Москва, 4-й Новоподмосковный пер., д. 2а";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"450-95-10";"schsv90.mskobr.ru";"vschool_90@mail.ru";48
3;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1570";"125040, г. Москва, 5-я улица Ямского поля, д. 28/32";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"612-71-81";"gyms1570.mskobr.ru";"gimnasia1570@yandex.ru";89
4;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1576";"125299, г. Москва, ул. Большая Академическая, д.22-А";"Северный административный округ";"район Коптево";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"450-77-07";"http://gyms1576.mskobr.ru";"school@ultranet.ru";92
5;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1583";"125493, г. Москва, улица Смольная, дом 25";"Северный административный округ";"Головинский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"458-02-57";"gym1583s.mskobr.ru";"1583gi@gmail.com";96
6;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1590";"125581, г. Москва, ул. Фестивальная, д. 16";"Северный административный округ";"район Ховрино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 454-02-80; (495) 454-31-31";"gyms1590.mskobr.ru";"gymn1590@mail.ru";100
7;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1592";"127247, г. Москва, Бескудниковский проезд, дом 4 Б";"Северный административный округ";"Бескудниковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"489-73-25";"gyms1592.mskobr.ru";"1592@inbox.ru";102
8;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 201 ордена Трудового Красного Знамени имени Героев Советского Союза Зои и Александра Космодемьянских";"125130, г. Москва, улица Зои и Александра Космодемьянских, дом 3";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 450-95-37; (499) 159-92-65";"schsg201.mskobr.ru/";"gymnasia201@yandex.ru";112
9;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1575";"125319 г. Москва, ул. Усиевича, д. 6";"Северный административный округ";"район Аэропорт";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 151-99-82";"lyc1575s.mskobr.ru";"liceum1575@mail.ru";147
10;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1594";"127486, г.Москва,  Дегунинская улица, дом 2";"Северный административный округ";"район Западное Дегунино";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(495) 489-90-87; (495) 487-20-04";"lycs1594.mskobr.ru";"sch186@mail.ru";152
11;"Государственное бюджетное образовательное учреждение города Москвы лицей №1550";"125284 г. Москва, ул. Беговая, д. 19";"Северный административный округ";"район Беговой";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"945-86-00";"lycg1550.mskobr.ru";"infoliceum1550@gmail.com";158
12;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1611";"127591, г. Москва, ул 800-летия Москвы, дом 5, корпус 2";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 480-77-11; (499) 480-31-14";"pgym1611.mskobr.ru";"gou1611@mail.ru";164
13;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1661";"127486, г. Москва, Коровинское шоссе, дом 14 А";"Северный административный округ";"Дмитровский район";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"905-41-64";"pgym1661.mskobr.ru";"gimn1661@rambler.ru";167
14;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1672";"125252,  г. Москва, улица Алабяна, дом 15";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 198-77-15";"pgym1672.mskobr.ru/";"gou1672sao@yandex.ru";168
15;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1774";"125130, г. Москва, 3-ий Новоподмосковный переулок, дом 7, строение 1";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"159-30-66";"pgym1774.mskobr.ru";"prog@1774.ru";175
16;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1826";"127540 г. Москва, улица Дубнинская, дом 14 ""Б""";"Северный административный округ";"район Восточное Дегунино";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 219-32-22";"pgym1826.mskobr.ru";"ds1826@mail.ru";180
