"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"18687";"332";"447"
"18688";"199";"281"
"18689";"193";"282"
"18690";"127";"185"
"18691";"463";"633"
"18692";"254";"351"
"18693";"257";"353"
"18694";"441";"594"
"18695";"446";"606"
"18696";"217";"310"
"18697";"82";"115"
"18698";"195";"275"
"18699";"108";"149"
"18700";"20";"28"
"18701";"223";"313"
"18702";"423";"577"
"18703";"235";"306"
"18704";"144";"204"
"18705";"446";"598"
"18706";"234";"317"
"18707";"411";"558"
"18708";"421";"572"
"18709";"338";"456"
"18710";"473";"648"
"18711";"162";"225"
"18712";"433";"597"
"18713";"266";"359"
"18714";"386";"518"
"18715";"117";"162"
"18716";"139";"198"
"18717";"249";"354"
"18718";"185";"250"
"18719";"188";"264"
"18720";"285";"402"
"18721";"221";"312"
"18722";"322";"437"
"18723";"127";"167"
"18724";"32";"47"
"18725";"87";"125"
"18726";"204";"281"
"18727";"110";"163"
"18728";"428";"605"
"18729";"422";"597"
"18730";"2097";"2893"
"18731";"2043";"2819"
"18732";"2228";"3076"
"18733";"198";"280"
"18734";"254";"362"
"18735";"478";"668"
"18736";"1897";"2611"
"18737";"552";"756"
"18738";"1993";"2749"
"18739";"592";"814"
"18740";"411";"561"
"18741";"1922";"2646"
"18742";"2013";"2774"
"18743";"2017";"2778"
"18744";"566";"777"
"18745";"2098";"2895"
"18746";"568";"780"
"18747";"423";"590"
"18748";"492";"689"
"18749";"341";"474"
"18750";"302";"419"
"18751";"226";"303"
"18752";"188";"245"
"18753";"279";"382"
"18754";"340";"468"
"18755";"399";"549"
"18756";"470";"673"
"18757";"341";"480"
"18758";"332";"471"
"18759";"311";"432"
"18760";"166";"239"
"18761";"122";"176"
"18762";"123";"175"
"18763";"36";"51"
"18764";"78";"108"
"18765";"246";"336"
"18766";"271";"378"
"18767";"220";"294"
"18768";"198";"254"
"18769";"363";"513"
"18770";"294";"420"
"18771";"161";"238"
"18772";"159";"222"
"18773";"202";"276"
"18774";"132";"181"
"18775";"2138";"2956"
"18776";"422";"597"
"18777";"418";"591"
"18778";"2173";"2998"
"18779";"2131";"2939"
"18780";"2173";"2998"
"18781";"2115";"2915"
"18782";"2115";"2915"
"18783";"2115";"2915"
"18784";"2115";"2915"
"18785";"2115";"2915"
"18786";"2115";"2915"
"18787";"2309";"3185"
"18788";"118";"169"
"18789";"140";"200"
"18790";"";""
"18791";"";""
"18792";"275";"392"
"18793";"276";"394"
"18794";"276";"394"
"18795";"256";"365"
"18796";"260";"369"
"18797";"261";"372"
"18798";"307";"438"
"18799";"298";"426"
"18800";"319";"453"
"18801";"309";"440"
"18802";"338";"481"
"18803";"347";"492"
"18804";"375";"530"
"18805";"227";"322"
"18806";"198";"280"
"18807";"233";"330"
"18808";"232";"328"
"18809";"235";"334"
"18810";"258";"367"
"18811";"456";"636"
"18812";"478";"668"
"18813";"356";"489"
"18814";"392";"542"
"18815";"415";"576"
"18816";"1975";"2723"
"18817";"1877";"2581"
"18818";"543";"743"
"18819";"562";"771"
"18820";"578";"795"
"18821";"596";"822"
"18822";"520";"713"
"18823";"504";"690"
"18824";"575";"794"
"18825";"1913";"2633"
"18826";"607";"837"
"18827";"616";"849"
"18828";"1938";"2668"
"18829";"597";"824"
"18830";"2013";"2774"
"18831";"2004";"2759"
"18832";"2026";"2793"
"18833";"458";"623"
"18834";"458";"623"
"18835";"428";"581"
"18836";"464";"631"
"18837";"480";"653"
"18838";"669";"925"
"18839";"669";"925"
"18840";"686";"948"
"18841";"2018";"2782"
"18842";"669";"925"
"18843";"2017";"2778"
"18844";"2017";"2778"
"18845";"1993";"2745"
"18846";"2017";"2778"
"18847";"566";"777"
"18848";"2056";"2834"
"18849";"2056";"2834"
"18850";"2098";"2895"
"18851";"2122";"2925"
"18852";"2100";"2895"
"18853";"2137";"2946"
"18854";"2137";"2946"
"18855";"2137";"2946"
"18856";"527";"720"
"18857";"597";"825"
"18858";"129";"179"
"18859";"26";"36"
"18860";"242";"332"
"18861";"158";"222"
"18862";"475";"651"
"18863";"398";"555"
"18864";"13";"19"
"18865";"156";"217"
"18866";"430";"590"
"18867";"276";"378"
"18868";"566";"766"
"18869";"224";"313"
"18870";"114";"161"
"18871";"296";"407"
"18872";"199";"271"
"18873";"171";"240"
"18874";"213";"289"
"18875";"247";"337"
"18876";"192";"279"
"18877";"385";"544"
"18878";"68";"102"
"18879";"390";"538"
"18880";"207";"276"
"18881";"275";"371"
"18882";"423";"590"
"18883";"495";"693"
"18884";"391";"555"
"18885";"322";"441"
"18886";"341";"474"
"18887";"288";"398"
"18888";"302";"419"
"18889";"308";"434"
"18890";"481";"670"
"18891";"562";"787"
"18892";"573";"804"
"18893";"530";"743"
"18894";"530";"743"
"18895";"592";"831"
"18896";"494";"697"
"18897";"520";"731"
"18898";"490";"682"
"18899";"487";"678"
"18900";"238";"330"
"18901";"0";"0"
"18902";"266";"370"
"18903";"208";"297"
"18904";"279";"392"
"18905";"287";"409"
"18906";"2274";"3137"
"18907";"2323";"3205"
"18908";"194";"273"
"18909";"337";"463"
"18910";"492";"671"
"18911";"828";"1146"
"18912";"199";"276"
"18913";"122";"168"
"18914";"153";"219"
"18915";"2054";"2837"
"18916";"2054";"2837"
"18917";"2054";"2837"
"18918";"539";"749"
"18919";"530";"737"
"18920";"654";"915"
"18921";"539";"748"
"18922";"539";"748"
"18923";"577";"798"
"18924";"560";"781"
"18925";"722";"1010"
"18926";"577";"806"
"18927";"734";"1026"
"18928";"587";"821"
"18929";"2190";"3030"
"18930";"619";"862"
"18931";"632";"878"
"18932";"2253";"3117"
"18933";"2210";"3057"
"18934";"601";"832"
"18935";"630";"882"
"18936";"641";"897"
"18937";"701";"978"
"18938";"701";"978"
"18939";"701";"978"
"18940";"2144";"2965"
"18941";"2149";"2971"
"18942";"2173";"3007"
"18943";"2173";"3007"
"18944";"2196";"3038"
"18945";"596";"825"
"18946";"596";"825"
"18947";"529";"735"
"18948";"652";"904"
"18949";"652";"904"
"18950";"645";"896"
"18951";"340";"484"
"18952";"315";"449"
"18953";"2161";"2991"
"18954";"2085";"2880"
"18955";"2098";"2900"
"18956";"483";"676"
"18957";"573";"804"
"18958";"2239";"3098"
"18959";"513";"712"
"18960";"513";"712"
"18961";"153";"219"
"18962";"2050";"2829"
"18963";"652";"904"
"18964";"652";"904"
"18965";"645";"896"
"18966";"2156";"2983"
"18967";"340";"484"
"18968";"315";"449"
"18969";"2085";"2880"
"18970";"2139";"2958"
"18971";"2098";"2900"
"18972";"608";"850"
"18973";"540";"750"
"18974";"654";"915"
"18975";"722";"1010"
"18976";"2152";"2977"
"18977";"532";"739"
"18978";"604";"836"
"18979";"2070";"2857"
"18980";"2135";"2952"
"18981";"2135";"2952"
"18982";"103";"151"
"18983";"238";"336"
"18984";"336";"462"
"18985";"390";"532"
"18986";"415";"572"
"18987";"457";"613"
"18988";"292";"395"
"18989";"263";"374"
"18990";"254";"355"
"18991";"268";"364"
"18992";"387";"551"
"18993";"639";"869"
"18994";"22";"33"
"18995";"473";"651"
"18996";"501";"712"
"18997";"312";"435"
"18998";"345";"469"
"18999";"295";"408"
"19000";"570";"807"
"19001";"357";"487"
"19002";"163";"241"
"19003";"274";"360"
"19004";"345";"464"
"19005";"239";"345"
"19006";"381";"544"
"19007";"238";"342"
"19008";"146";"211"
"19009";"548";"781"
"19010";"211";"287"
"19011";"575";"807"
"19012";"514";"739"
"19013";"267";"366"
"19014";"545";"730"
"19015";"505";"719"
"19016";"227";"324"
"19017";"464";"660"
"19018";"314";"447"
"19019";"255";"369"
"19020";"215";"306"
"19021";"218";"303"
"19022";"291";"403"
"19023";"158";"208"
"19024";"289";"404"
"19025";"185";"253"
"19026";"131";"201"
"19027";"60";"91"
"19028";"678";"913"
"19029";"146";"194"
"19030";"206";"310"
"19031";"471";"638"
"19032";"488";"654"
"19033";"400";"547"
"19034";"314";"423"
"19035";"471";"642"
"19036";"1176";"1599"
"19037";"1425";"1951"
"19038";"1425";"1951"
"19039";"246";"355"
"19040";"173";"240"
"19041";"206";"289"
"19042";"778";"1068"
"19043";"231";"323"
"19044";"231";"323"
"19045";"250";"342"
"19046";"290";"399"
"19047";"229";"317"
"19048";"1435";"1982"
"19049";"1571";"2177"
"19050";"300";"418"
"19051";"213";"296"
"19052";"274";"386"
"19053";"361";"500"
"19054";"361";"500"
"19055";"353";"480"
"19056";"433";"621"
"19057";"284";"396"
"19058";"642";"884"
"19059";"1062";"1442"
"19060";"1176";"1599"
"19061";"1082";"1468"
"19062";"1135";"1539"
"19063";"1226";"1669"
"19064";"1403";"1948"
"19065";"1403";"1948"
"19066";"1635";"2268"
"19067";"1574";"2181"
"19068";"1690";"2346"
"19069";"246";"355"
"19070";"134";"190"
"19071";"236";"334"
"19072";"79";"109"
"19073";"106";"148"
"19074";"257";"358"
"19075";"1";"1"
"19076";"245";"338"
"19077";"228";"317"
"19078";"222";"309"
"19079";"269";"374"
"19080";"173";"240"
"19081";"212";"291"
"19082";"152";"207"
"19083";"112";"148"
"19084";"119";"159"
"19085";"139";"192"
"19086";"203";"278"
"19087";"177";"248"
"19088";"262";"365"
"19089";"226";"328"
"19090";"223";"323"
"19091";"210";"304"
"19092";"246";"342"
"19093";"334";"466"
"19094";"223";"317"
"19095";"113";"162"
"19096";"157";"220"
"19097";"226";"319"
"19098";"764";"1049"
"19099";"698";"956"
"19100";"778";"1068"
"19101";"799";"1094"
"19102";"765";"1050"
"19103";"323";"463"
"19104";"159";"225"
"19105";"104";"152"
"19106";"130";"183"
"19107";"15";"21"
"19108";"15";"21"
"19109";"58";"86"
"19110";"231";"323"
"19111";"124";"174"
"19112";"263";"361"
"19113";"153";"217"
"19114";"124";"174"
"19115";"124";"174"
"19116";"124";"174"
"19117";"262";"365"
"19118";"280";"389"
"19119";"207";"292"
"19120";"207";"292"
"19121";"290";"399"
"19122";"250";"342"
"19123";"280";"385"
"19124";"367";"504"
"19125";"326";"441"
"19126";"229";"317"
"19127";"253";"353"
"19128";"379";"517"
"19129";"293";"406"
"19130";"408";"552"
"19131";"321";"450"
"19132";"409";"548"
"19133";"359";"488"
"19134";"49";"68"
"19135";"130";"182"
"19136";"110";"152"
"19137";"0";"0"
"19138";"375";"503"
"19139";"332";"457"
"19140";"286";"394"
"19141";"250";"347"
"19142";"190";"267"
"19143";"161";"225"
"19144";"102";"141"
"19145";"77";"105"
"19146";"72";"97"
"19147";"157";"213"
"19148";"625";"858"
"19149";"192";"264"
"19150";"683";"926"
"19151";"346";"481"
"19152";"591";"806"
"19153";"502";"687"
"19154";"496";"676"
"19155";"496";"676"
"19156";"496";"676"
"19157";"206";"272"
"19158";"215";"284"
"19159";"397";"541"
"19160";"145";"193"
"19161";"174";"239"
"19162";"358";"489"
"19163";"358";"489"
"19164";"79";"108"
"19165";"170";"233"
"19166";"42";"59"
"19167";"297";"413"
"19168";"34";"47"
"19169";"94";"130"
"19170";"0";"0"
"19171";"237";"334"
"19172";"203";"289"
"19173";"151";"216"
"19174";"274";"386"
"19175";"213";"296"
"19176";"154";"221"
"19177";"288";"401"
"19178";"297";"412"
"19179";"492";"705"
"19180";"386";"531"
"19181";"443";"612"
"19182";"469";"644"
"19183";"333";"457"
"19184";"344";"472"
"19185";"409";"557"
"19186";"276";"376"
"19187";"297";"419"
"19188";"353";"480"
"19189";"287";"401"
"19190";"258";"361"
"19191";"273";"381"
"19192";"191";"271"
"19193";"377";"521"
"19194";"609";"835"
"19195";"433";"621"
"19196";"528";"735"
"19197";"504";"706"
"19198";"432";"619"
"19199";"386";"543"
"19200";"451";"636"
"19201";"569";"786"
"19202";"643";"886"
"19203";"485";"666"
"19204";"647";"885"
"19205";"620";"849"
"19206";"687";"935"
"19207";"703";"963"
"19208";"549";"754"
"19209";"532";"730"
"19210";"284";"396"
"19211";"343";"475"
"19212";"343";"475"
"19213";"466";"649"
"19214";"452";"629"
"19215";"493";"681"
"19216";"361";"500"
"19217";"373";"520"
"19218";"313";"435"
"19219";"244";"324"
"19220";"189";"256"
"19221";"331";"447"
"19222";"282";"378"
"19223";"236";"318"
"19224";"310";"413"
"19225";"347";"466"
"19226";"480";"642"
"19227";"406";"539"
"19228";"195";"265"
"19229";"185";"257"
"19230";"259";"354"
"19231";"156";"217"
"19232";"166";"231"
"19233";"351";"484"
"19234";"305";"423"
"19235";"203";"273"
"19236";"147";"200"
"19237";"373";"515"
"19238";"252";"338"
"19239";"126";"173"
"19240";"355";"484"
"19241";"2";"2"
"19242";"110";"153"
"19243";"151";"207"
"19244";"124";"171"
"19245";"355";"480"
"19246";"386";"526"
"19247";"408";"564"
"19248";"333";"456"
"19249";"386";"529"
"19250";"345";"471"
"19251";"178";"242"
"19252";"274";"375"
"19253";"274";"375"
"19254";"275";"378"
"19255";"308";"420"
"19256";"377";"516"
"19257";"302";"418"
"19258";"268";"370"
"19259";"255";"353"
"19260";"479";"665"
"19261";"433";"605"
"19262";"374";"521"
"19263";"197";"277"
"19264";"219";"306"
"19265";"173";"245"
"19266";"369";"511"
"19267";"408";"564"
"19268";"370";"514"
"19269";"146";"207"
"19270";"108";"154"
"19271";"312";"435"
"19272";"384";"532"
"19273";"108";"152"
"19274";"60";"81"
"19275";"283";"394"
"19276";"218";"313"
"19277";"286";"398"
"19278";"221";"319"
"19279";"125";"176"
"19280";"137";"187"
"19281";"125";"168"
"19282";"125";"168"
"19283";"191";"272"
"19284";"189";"272"
"19285";"155";"222"
"19286";"152";"225"
"19287";"177";"246"
"19288";"185";"264"
"19289";"232";"322"
"19290";"329";"472"
"19291";"200";"290"
"19292";"191";"284"
"19293";"378";"509"
"19294";"365";"512"
"19295";"257";"368"
"19296";"159";"233"
"19297";"129";"188"
"19298";"98";"143"
"19299";"316";"454"
"19300";"435";"613"
"19301";"312";"440"
"19302";"367";"521"
"19303";"484";"683"
"19304";"421";"604"
"19305";"404";"568"
"19306";"371";"522"
"19307";"483";"693"
"19308";"486";"692"
"19309";"498";"699"
"19310";"194";"281"
"19311";"121";"177"
"19312";"347";"466"
"19313";"211";"287"
"19314";"316";"454"
"19315";"476";"648"
"19316";"433";"605"
"19317";"408";"564"
"19318";"408";"564"
"19319";"384";"532"
"19320";"189";"272"
"19321";"189";"272"
"19322";"186";"266"
"19323";"365";"512"
"19324";"365";"512"
"19325";"365";"512"
"19326";"395";"524"
"19327";"316";"436"
"19328";"162";"236"
"19329";"245";"332"
"19330";"131";"194"
"19331";"0";"0"
"19332";"105";"143"
"19333";"192";"272"
"19334";"41";"55"
"19335";"56";"80"
"19336";"92";"126"
"19337";"155";"212"
"19338";"401";"567"
"19339";"262";"377"
"19340";"183";"258"
"19341";"353";"501"
"19342";"323";"455"
"19343";"435";"620"
"19344";"430";"606"
"19345";"285";"398"
"19346";"387";"553"
"19347";"248";"349"
"19348";"160";"217"
"19349";"300";"410"
"19350";"503";"701"
"19351";"503";"701"
"19352";"306";"408"
"19353";"159";"223"
"19354";"264";"366"
"19355";"104";"146"
"19356";"91";"123"
"19357";"268";"359"
"19358";"243";"324"
"19359";"607";"824"
"19360";"441";"601"
"19361";"376";"500"
"19362";"420";"573"
"19363";"266";"376"
"19364";"193";"271"
"19365";"244";"340"
"19366";"233";"308"
"19367";"299";"397"
"19368";"291";"386"
"19369";"227";"315"
"19370";"325";"451"
"19371";"413";"575"
"19372";"433";"608"
"19373";"463";"650"
"19374";"441";"621"
"19375";"483";"666"
"19376";"579";"802"
"19377";"653";"899"
"19378";"675";"935"
"19379";"403";"560"
"19380";"413";"579"
"19381";"583";"805"
"19382";"636";"873"
"19383";"492";"688"
"19384";"317";"441"
"19385";"637";"863"
"19386";"247";"345"
"19387";"319";"445"
"19388";"302";"419"
"19389";"350";"490"
"19390";"155";"220"
"19391";"208";"291"
"19392";"287";"389"
"19393";"115";"160"
"19394";"248";"349"
"19395";"522";"732"
"19396";"504";"708"
"19397";"497";"688"
"19398";"550";"760"
"19399";"379";"516"
"19400";"376";"512"
"19401";"417";"568"
"19402";"437";"603"
"19403";"464";"633"
"19404";"393";"545"
"19405";"573";"786"
"19406";"324";"431"
"19407";"248";"340"
"19408";"302";"412"
"19409";"81";"117"
"19410";"348";"482"
"19411";"267";"373"
"19412";"211";"295"
"19413";"374";"509"
"19414";"276";"373"
"19415";"160";"231"
"19416";"785";"1032"
"19417";"808";"1063"
"19418";"709";"926"
"19419";"743";"974"
"19420";"725";"951"
"19421";"485";"648"
"19422";"687";"923"
"19423";"608";"826"
"19424";"60";"78"
"19425";"271";"370"
"19426";"332";"452"
"19427";"186";"258"
"19428";"374";"517"
"19429";"2";"3"
"19430";"253";"343"
"19431";"526";"726"
"19432";"502";"683"
"19433";"410";"572"
"19434";"130";"175"
"19435";"353";"473"
"19436";"273";"369"
"19437";"300";"410"
"19438";"249";"338"
"19439";"152";"205"
"19440";"131";"177"
"19441";"252";"338"
"19442";"97";"136"
"19443";"214";"286"
"19444";"163";"229"
"19445";"210";"297"
"19446";"83";"125"
"19447";"40";"61"
"19448";"94";"136"
"19449";"166";"242"
"19450";"494";"667"
"19451";"329";"458"
"19452";"354";"492"
"19453";"198";"264"
"19454";"282";"391"
"19455";"273";"381"
"19456";"259";"358"
"19457";"188";"260"
"19458";"320";"442"
"19459";"350";"486"
"19460";"459";"638"
"19461";"489";"681"
"19462";"201";"279"
"19463";"165";"218"
"19464";"250";"349"
"19465";"143";"188"
"19466";"306";"428"
"19467";"354";"495"
"19468";"468";"644"
"19469";"470";"656"
"19470";"106";"147"
"19471";"13";"19"
"19472";"13";"19"
"19473";"96";"126"
"19474";"96";"126"
"19475";"197";"268"
"19476";"37";"52"
"19477";"305";"415"
"19478";"184";"252"
"19479";"1638";"2261"
"19480";"146";"207"
"19481";"201";"289"
"19482";"345";"476"
"19483";"649";"862"
"19484";"396";"533"
"19485";"200";"277"
"19486";"268";"370"
"19487";"304";"407"
"19488";"293";"403"
"19489";"305";"419"
"19490";"239";"315"
"19491";"280";"373"
"19492";"242";"321"
"19493";"93";"133"
"19494";"92";"129"
"19495";"85";"121"
"19496";"143";"198"
"19497";"189";"261"
"19498";"239";"330"
"19499";"515";"724"
"19500";"617";"798"
"19501";"670";"878"
"19502";"697";"918"
"19503";"710";"937"
"19504";"734";"971"
"19505";"734";"971"
"19506";"735";"965"
"19507";"625";"806"
"19508";"336";"445"
"19509";"794";"1121"
"19510";"705";"999"
"19511";"405";"543"
"19512";"351";"479"
"19513";"212";"283"
"19514";"119";"150"
"19515";"462";"620"
"19516";"521";"700"
"19517";"587";"789"
"19518";"591";"801"
"19519";"1081";"1451"
"19520";"1039";"1393"
"19521";"907";"1206"
"19522";"841";"1121"
"19523";"546";"742"
"19524";"221";"306"
"19525";"285";"379"
"19526";"302";"410"
"19527";"390";"530"
"19528";"328";"452"
"19529";"305";"417"
"19530";"397";"540"
"19531";"382";"529"
"19532";"408";"563"
"19533";"453";"630"
"19534";"482";"671"
"19535";"515";"716"
"19536";"521";"722"
"19537";"296";"408"
"19538";"241";"336"
"19539";"243";"334"
"19540";"306";"417"
"19541";"303";"413"
"19542";"257";"353"
"19543";"268";"370"
"19544";"268";"370"
"19545";"268";"362"
"19546";"405";"543"
"19547";"907";"1206"
"19548";"453";"630"
"19549";"390";"530"
"19550";"241";"336"
"19551";"243";"334"
"19552";"306";"417"
"19553";"399";"543"
"19554";"428";"583"
"19555";"232";"306"
"19556";"260";"345"
"19557";"16";"21"
"19558";"99";"141"
"19559";"206";"266"
"19560";"318";"421"
"19561";"181";"253"
"19562";"104";"146"
"19563";"51";"73"
"19564";"228";"316"
"19565";"111";"152"
"19566";"168";"238"
"19567";"296";"413"
"19568";"320";"442"
"19569";"204";"288"
"19570";"227";"318"
"19571";"137";"196"
"19572";"216";"300"
"19573";"207";"290"
"19574";"79";"114"
"19575";"309";"429"
"19576";"365";"509"
"19577";"226";"318"
"19578";"165";"236"
"19579";"454";"622"
"19580";"533";"728"
"19581";"203";"279"
"19582";"508";"676"
"19583";"346";"473"
"19584";"185";"233"
"19585";"295";"393"
"19586";"427";"567"
"19587";"166";"227"
"19588";"240";"336"
"19589";"199";"284"
"19590";"391";"525"
"19591";"229";"303"
"19592";"145";"198"
"19593";"108";"156"
"19594";"356";"486"
