ID,ADDRESS
18687,"Москва, Алтуфьевское шоссе, д.74"
18688,"Москва, Алтуфьевское шоссе, д.78"
18689,"Москва, Алтуфьевское шоссе, д.82"
18690,"Москва, Алтуфьевское шоссе, д.86"
18691,"Москва, Лескова ул, д.10"
18692,"Москва, Лескова ул, д.10А"
18693,"Москва, Лескова ул, д.10Б"
18694,"Москва, Лескова ул, д.10В"
18695,"Москва, Лескова ул, д.12"
18696,"Москва, Лескова ул, д.6"
18697,"Москва, Лескова ул, д.6А"
18698,"Москва, Лескова ул, д.8"
18699,"Москва, Мурановская ул, д.11"
18700,"Москва, Мурановская ул, д.13"
18701,"Москва, Мурановская ул, д.13Б"
18702,"Москва, Мурановская ул, д.15"
18703,"Москва, Мурановская ул, д.17"
18704,"Москва, Мурановская ул, д.17Б"
18705,"Москва, Мурановская ул, д.19"
18706,"Москва, Мурановская ул, д.19Б"
18707,"Москва, Мурановская ул, д.21"
18708,"Москва, Мурановская ул, д.21А"
18709,"Москва, Мурановская ул, д.3"
18710,"Москва, Мурановская ул, д.7"
18711,"Москва, Мурановская ул, д.7Б"
18712,"Москва, Мурановская ул, д.9"
18713,"Москва, Пришвина ул, д.3"
18714,"Москва, Пришвина ул, д.7/1"
18715,"Москва, Шенкурский проезд, д.10"
18716,"Москва, Шенкурский проезд, д.10Б"
18717,"Москва, Шенкурский проезд, д.10В"
18718,"Москва, Шенкурский проезд, д.11"
18719,"Москва, Шенкурский проезд, д.12"
18720,"Москва, Шенкурский проезд, д.12А"
18721,"Москва, Шенкурский проезд, д.14"
18722,"Москва, Шенкурский проезд, д.2"
18723,"Москва, Шенкурский проезд, д.4"
18724,"Москва, Шенкурский проезд, д.6"
18725,"Москва, Шенкурский проезд, д.6Б"
18726,"Москва, Шенкурский проезд, д.8"
18727,"Москва, Шенкурский проезд, д.8Б"
18728,"Москва, Белякова ул, д.20, стр.1"
18729,"Москва, Белякова ул, д.23, стр.1"
18730,"Москва, Водопьянова ул, д.13, стр.1"
18731,"Москва, Водопьянова ул, д.15, стр.1"
18732,"Москва, Громова ул, д.7, стр.1"
18733,"Москва, Каманина ул, д.1, стр.1"
18734,"Москва, Каманина ул, д.7, стр.1"
18735,"Москва, Кренкеля ул, д.12, стр.2"
18736,"Москва, Леваневского ул, д.10, стр.1"
18737,"Москва, Леваневского ул, д.14, стр.1"
18738,"Москва, Леваневского ул, д.2-4, стр.1"
18739,"Москва, Леваневского ул, д.9-11, стр.1"
18740,"Москва, Молокова ул, д.1, корп.А, стр.1"
18741,"Москва, Молокова ул, д.10, стр.1"
18742,"Москва, Молокова ул, д.14, стр.1"
18743,"Москва, Молокова ул, д.18, стр.1"
18744,"Москва, Молокова ул, д.3/18, стр.10"
18745,"Москва, Молокова ул, д.33, стр.1"
18746,"Москва, Молокова ул, д.8, стр.1"
18747,"Москва, Псковская ул, д.5"
18748,"Москва, Псковская ул, д.5, корп.2"
18749,"Москва, Псковская ул, д.7"
18750,"Москва, Псковская ул, д.9"
18751,"Москва, Абрамцевская ул, д.11, корп.1"
