"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
1;"Москва, Исаковского ул, д.10";34465;37,406270;55,815094;206;0,002184;37,404520;55,813788
2;"Москва, Исаковского ул, д.12";34466;37,407500;55,814228;206;0,003013;37,404520;55,813788
3;"Москва, Кулакова ул, д.18";34467;37,393693;55,806616;140;0,002689;37,394127;55,809270
4;"Москва, Маршала Катукова ул, д.11";34468;37,403791;55,810941;206;0,002938;37,404520;55,813788
5;"Москва, Неманский проезд, д.3, корп.1";34469;37,395832;55,815179;152;0,000906;37,396402;55,814475
6;"Москва, Неманский проезд, д.7";34470;37,393083;55,811967;142;0,002225;37,395258;55,811497
7;"Москва, Исаковского ул, д.10, корп.1";34471;37,406270;55,815094;206;0,002184;37,404520;55,813788
8;"Москва, Исаковского ул, д.10, корп.2";34472;37,405749;55,814689;206;0,001524;37,404520;55,813788
9;"Москва, Исаковского ул, д.12, корп.1";34473;37,407500;55,814228;206;0,003013;37,404520;55,813788
10;"Москва, Исаковского ул, д.12, корп.1, стр.2";34474;37,406503;55,813981;206;0,001993;37,404520;55,813788
11;"Москва, Исаковского ул, д.12, корп.2";34475;37,406018;55,813612;206;0,001509;37,404520;55,813788
12;"Москва, Исаковского ул, д.2, корп.1";34476;37,396865;55,819095;153;0,003355;37,398209;55,816020
13;"Москва, Исаковского ул, д.2, корп.1, стр.4";34477;37,396406;55,818098;153;0,002750;37,398209;55,816020
14;"Москва, Исаковского ул, д.2, корп.2";34478;37,395238;55,817602;152;0,003337;37,396402;55,814475
15;"Москва, Исаковского ул, д.2, корп.2, стр.1";34479;37,395617;55,817855;153;0,003176;37,398209;55,816020
16;"Москва, Исаковского ул, д.4, корп.2";34480;37,397906;55,817839;153;0,001844;37,398209;55,816020
17;"Москва, Исаковского ул, д.6, корп.1";34481;37,400962;55,818220;153;0,003524;37,398209;55,816020
18;"Москва, Исаковского ул, д.6, корп.2";34482;37,403368;55,816890;57;0,002954;37,401723;55,814437
19;"Москва, Исаковского ул, д.6, корп.3";34483;37,401177;55,817344;57;0,002958;37,401723;55,814437
20;"Москва, Исаковского ул, д.8, корп.1";34484;37,404492;55,815518;206;0,001731;37,404520;55,813788
21;"Москва, Исаковского ул, д.8, корп.2";34485;37,403962;55,814573;206;0,000963;37,404520;55,813788
22;"Москва, Исаковского ул, д.8, корп.3";34486;37,403414;55,815321;206;0,001891;37,404520;55,813788
23;"Москва, Кулакова ул, д.1, корп.1";34487;37,401914;55,815600;57;0,001178;37,401723;55,814437
24;"Москва, Кулакова ул, д.1, корп.1, стр.1";34488;37,401598;55,814951;57;0,000529;37,401723;55,814437
25;"Москва, Кулакова ул, д.1, корп.2";34489;37,402965;55,816030;57;0,002019;37,401723;55,814437
26;"Москва, Кулакова ул, д.10";34490;37,397117;55,811543;142;0,001859;37,395258;55,811497
27;"Москва, Кулакова ул, д.11, корп.1";34491;37,398195;55,810471;142;0,003111;37,395258;55,811497
28;"Москва, Кулакова ул, д.11, корп.2";34492;37,399505;55,809999;16;0,003838;37,401533;55,806740
29;"Москва, Кулакова ул, д.12, корп.1";34493;37,396155;55,809625;141;0,001663;37,394703;55,810436
