"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"34465";"327";"447"
"34466";"230";"317"
"34467";"366";"483"
"34468";"396";"562"
"34469";"49";"71"
"34470";"165";"228"
"34471";"327";"447"
"34472";"325";"444"
"34473";"230";"317"
"34474";"94";"134"
"34475";"52";"77"
"34476";"651";"853"
"34477";"623";"829"
"34478";"376";"480"
"34479";"628";"843"
"34480";"454";"609"
"34481";"491";"625"
"34482";"278";"328"
"34483";"449";"586"
"34484";"235";"320"
"34485";"59";"88"
"34486";"133";"191"
"34487";"50";"67"
"34488";"0";"0"
"34489";"120";"155"
"34490";"154";"205"
"34491";"470";"619"
"34492";"447";"618"
"34493";"109";"151"
"34494";"107";"149"
"34495";"63";"88"
"34496";"10";"14"
"34497";"478";"645"
"34498";"128";"186"
"34499";"366";"483"
"34500";"406";"537"
"34501";"463";"612"
"34502";"561";"756"
"34503";"58";"84"
"34504";"920";"1255"
"34505";"455";"631"
"34506";"117";"152"
"34507";"982";"1352"
"34508";"185";"261"
"34509";"433";"551"
"34510";"146";"199"
"34511";"246";"330"
"34512";"395";"561"
"34513";"289";"401"
"34514";"289";"401"
"34515";"386";"545"
"34516";"430";"610"
"34517";"380";"534"
"34518";"213";"287"
"34519";"142";"184"
"34520";"91";"113"
"34521";"101";"145"
"34522";"0";"0"
"34523";"274";"375"
"34524";"836";"1118"
"34525";"156";"223"
"34526";"932";"1269"
"34527";"445";"602"
"34528";"1038";"1397"
"34529";"257";"349"
"34530";"369";"501"
"34531";"900";"1223"
"34532";"257";"345"
"34533";"132";"184"
"34534";"596";"812"
"34535";"254";"351"
"34536";"493";"665"
"34537";"497";"668"
"34538";"49";"71"
"34539";"139";"199"
"34540";"165";"228"
"34541";"135";"188"
"34542";"83";"118"
"34543";"229";"315"
"34544";"98";"147"
"34545";"309";"438"
"34546";"344";"479"
"34547";"666";"921"
"34548";"220";"315"
"34549";"265";"382"
"34550";"138";"189"
"34551";"276";"387"
"34552";"62";"80"
"34553";"212";"316"
"34554";"41";"57"
"34555";"88";"131"
"34556";"575";"713"
"34557";"243";"306"
"34558";"246";"309"
"34559";"279";"359"
"34560";"299";"389"
"34561";"349";"462"
"34562";"394";"528"
"34563";"339";"438"
"34564";"356";"470"
"34565";"282";"370"
"34566";"252";"322"
"34567";"203";"260"
"34568";"291";"383"
"34569";"417";"550"
"34570";"536";"679"
"34571";"492";"629"
"34572";"400";"504"
"34573";"225";"314"
"34574";"199";"301"
"34575";"322";"421"
"34576";"322";"421"
"34577";"372";"421"
"34578";"356";"470"
"34579";"336";"440"
"34580";"190";"239"
"34581";"128";"167"
"34582";"866";"1188"
"34583";"306";"421"
"34584";"1650";"2249"
"34585";"523";"715"
"34586";"616";"826"
"34587";"430";"551"
"34588";"446";"634"
"34589";"523";"715"
"34590";"377";"525"
"34591";"513";"696"
"34592";"250";"338"
"34593";"243";"338"
"34594";"541";"732"
"34595";"460";"618"
"34596";"62";"85"
"34597";"406";"570"
"34598";"160";"223"
"34599";"160";"223"
"34600";"160";"223"
"34601";"248";"336"
"34602";"1896";"2576"
"34603";"1284";"1789"
"34604";"2444";"3386"
"34605";"14721";"19928"
"34606";"278";"372"
"34607";"371";"509"
"34608";"165";"235"
"34609";"167";"225"
"34610";"489";"696"
"34611";"418";"587"
"34612";"337";"458"
"34613";"213";"294"
"34614";"145";"206"
"34615";"547";"662"
"34616";"178";"246"
"34617";"166";"245"
"34618";"377";"492"
"34619";"8";"11"
"34620";"153";"198"
"34621";"519";"710"
"34622";"421";"572"
"34623";"387";"523"
"34624";"226";"306"
"34625";"197";"254"
"34626";"121";"165"
"34627";"107";"145"
"34628";"382";"521"
"34629";"242";"343"
"34630";"354";"488"
"34631";"409";"572"
"34632";"416";"578"
"34633";"119";"166"
"34634";"212";"286"
"34635";"423";"612"
"34636";"315";"462"
"34637";"381";"549"
"34638";"196";"270"
"34639";"389";"524"
"34640";"281";"380"
"34641";"2427";"3346"
"34642";"232";"307"
"34643";"232";"307"
"34644";"312";"436"
"34645";"315";"440"
"34646";"322";"440"
"34647";"309";"427"
"34648";"320";"441"
"34649";"355";"488"
"34650";"305";"414"
"34651";"476";"655"
"34652";"477";"656"
"34653";"610";"836"
"34654";"547";"755"
"34655";"468";"652"
"34656";"474";"661"
"34657";"337";"466"
"34658";"417";"600"
"34659";"273";"391"
"34660";"0";"0"
"34661";"0";"0"
"34662";"214";"275"
"34663";"211";"306"
"34664";"260";"347"
"34665";"409";"559"
"34666";"147";"208"
"34667";"148";"209"
"34668";"463";"641"
"34669";"387";"533"
"34670";"387";"533"
"34671";"387";"533"
"34672";"222";"299"
"34673";"387";"533"
"34674";"370";"493"
"34675";"174";"241"
"34676";"174";"241"
"34677";"283";"386"
"34678";"331";"456"
"34679";"269";"375"
"34680";"70";"109"
"34681";"663";"890"
"34682";"472";"633"
"34683";"451";"619"
"34684";"560";"754"
"34685";"601";"818"
"34686";"659";"903"
"34687";"412";"550"
"34688";"490";"671"
"34689";"164";"231"
"34690";"752";"1054"
"34691";"631";"879"
"34692";"151";"201"
"34693";"208";"275"
"34694";"2402";"3276"
"34695";"2";"3"
"34696";"357";"506"
"34697";"357";"506"
"34698";"224";"280"
"34699";"234";"293"
"34700";"224";"280"
"34701";"193";"294"
"34702";"203";"287"
"34703";"5";"7"
"34704";"130";"170"
"34705";"58";"77"
"34706";"270";"379"
"34707";"42";"60"
"34708";"5";"7"
"34709";"84";"119"
"34710";"267";"379"
"34711";"86";"117"
"34712";"95";"132"
"34713";"28";"36"
"34714";"405";"557"
"34715";"439";"602"
"34716";"428";"587"
"34717";"468";"646"
"34718";"490";"682"
"34719";"512";"711"
"34720";"513";"696"
"34721";"481";"652"
"34722";"460";"631"
"34723";"506";"696"
"34724";"481";"652"
"34725";"240";"334"
"34726";"223";"311"
"34727";"287";"401"
"34728";"256";"357"
"34729";"270";"377"
"34730";"240";"335"
"34731";"255";"355"
"34732";"226";"314"
"34733";"619";"852"
"34734";"615";"846"
"34735";"288";"382"
"34736";"267";"354"
"34737";"253";"334"
"34738";"237";"312"
"34739";"221";"290"
"34740";"201";"263"
"34741";"180";"233"
"34742";"156";"200"
"34743";"343";"456"
"34744";"398";"549"
"34745";"333";"443"
"34746";"316";"420"
"34747";"17";"25"
"34748";"50";"71"
"34749";"59";"82"
"34750";"50";"71"
"34751";"141";"206"
"34752";"695";"954"
"34753";"71";"101"
"34754";"489";"673"
"34755";"160";"223"
"34756";"156";"221"
"34757";"155";"220"
"34758";"202";"281"
"34759";"248";"336"
"34760";"269";"355"
"34761";"696";"927"
"34762";"375";"523"
"34763";"477";"670"
"34764";"212";"300"
"34765";"117";"150"
"34766";"78";"110"
"34767";"159";"221"
"34768";"253";"356"
"34769";"131";"181"
"34770";"138";"175"
"34771";"55";"74"
"34772";"93";"134"
"34773";"96";"133"
"34774";"234";"324"
"34775";"297";"416"
"34776";"98";"137"
"34777";"129";"177"
"34778";"198";"276"
"34779";"379";"527"
"34780";"419";"580"
"34781";"318";"443"
"34782";"281";"390"
"34783";"221";"308"
"34784";"311";"412"
"34785";"453";"627"
"34786";"474";"664"
"34787";"508";"707"
"34788";"492";"685"
"34789";"470";"652"
"34790";"540";"757"
"34791";"540";"757"
"34792";"540";"757"
"34793";"540";"757"
"34794";"540";"757"
"34795";"540";"757"
"34796";"540";"757"
"34797";"369";"505"
"34798";"578";"781"
"34799";"632";"861"
"34800";"391";"511"
"34801";"291";"389"
"34802";"309";"407"
"34803";"298";"388"
"34804";"534";"670"
"34805";"1432";"1918"
"34806";"614";"784"
"34807";"257";"347"
"34808";"250";"336"
"34809";"234";"314"
"34810";"476";"661"
"34811";"246";"328"
"34812";"340";"468"
"34813";"212";"284"
"34814";"362";"501"
"34815";"238";"322"
"34816";"375";"522"
"34817";"293";"409"
"34818";"270";"371"
"34819";"747";"1012"
"34820";"663";"890"
"34821";"587";"787"
"34822";"657";"886"
"34823";"702";"952"
"34824";"593";"806"
"34825";"552";"751"
"34826";"584";"796"
"34827";"599";"831"
"34828";"565";"774"
"34829";"505";"692"
"34830";"451";"619"
"34831";"560";"754"
"34832";"601";"818"
"34833";"659";"903"
"34834";"412";"550"
"34835";"592";"813"
"34836";"520";"718"
"34837";"490";"671"
"34838";"375";"522"
"34839";"434";"594"
"34840";"309";"434"
"34841";"224";"313"
"34842";"223";"312"
"34843";"200";"280"
"34844";"207";"289"
"34845";"185";"258"
"34846";"188";"263"
"34847";"166";"232"
"34848";"166";"231"
"34849";"152";"211"
"34850";"144";"200"
"34851";"370";"515"
"34852";"366";"511"
"34853";"369";"516"
"34854";"242";"338"
"34855";"117";"162"
"34856";"273";"359"
"34857";"181";"251"
"34858";"276";"362"
"34859";"169";"234"
"34860";"121";"168"
"34861";"145";"201"
"34862";"2363";"3218"
"34863";"2371";"3228"
"34864";"2429";"3310"
"34865";"2458";"3349"
"34866";"2402";"3266"
"34867";"2279";"3098"
"34868";"2267";"3083"
"34869";"2340";"3190"
"34870";"2370";"3234"
"34871";"2312";"3148"
"34872";"2394";"3269"
"34873";"2373";"3240"
"34874";"2436";"3324"
"34875";"2338";"3186"
"34876";"2423";"3307"
"34877";"2402";"3276"
"34878";"398";"534"
"34879";"405";"543"
"34880";"390";"523"
"34881";"351";"491"
"34882";"335";"468"
"34883";"377";"526"
"34884";"356";"498"
"34885";"282";"393"
"34886";"325";"454"
"34887";"328";"458"
"34888";"346";"484"
"34889";"329";"450"
"34890";"314";"428"
"34891";"342";"470"
"34892";"341";"467"
"34893";"356";"490"
"34894";"341";"479"
"34895";"234";"333"
"34896";"231";"324"
"34897";"316";"442"
"34898";"298";"409"
"34899";"277";"394"
"34900";"153";"218"
"34901";"103";"147"
"34902";"86";"118"
"34903";"73";"97"
"34904";"134";"181"
"34905";"337";"467"
"34906";"363";"510"
"34907";"229";"314"
"34908";"121";"170"
"34909";"165";"231"
"34910";"53";"71"
"34911";"70";"96"
"34912";"154";"208"
"34913";"120";"161"
"34914";"126";"174"
"34915";"126";"174"
"34916";"207";"286"
"34917";"754";"988"
"34918";"875";"1152"
"34919";"503";"683"
"34920";"1474";"2049"
"34921";"915";"1276"
"34922";"2";"2"
"34923";"1";"1"
"34924";"155";"209"
"34925";"79";"105"
"34926";"100";"143"
"34927";"90";"130"
"34928";"78";"107"
"34929";"281";"354"
"34930";"180";"225"
"34931";"222";"290"
"34932";"190";"239"
"34933";"116";"151"
"34934";"143";"191"
"34935";"128";"167"
"34936";"114";"153"
"34937";"39";"52"
"34938";"1851";"2537"
"34939";"1435";"1960"
"34940";"1328";"1830"
"34941";"1300";"1797"
"34942";"1331";"1832"
"34943";"1249";"1720"
"34944";"1415";"1918"
"34945";"171";"222"
"34946";"187";"240"
"34947";"73";"95"
"34948";"130";"171"
"34949";"1910";"2614"
"34950";"1892";"2591"
"34951";"1564";"2154"
"34952";"1563";"2153"
"34953";"1539";"2119"
"34954";"1569";"2162"
"34955";"1429";"1959"
"34956";"1424";"1951"
"34957";"1448";"1986"
"34958";"1492";"2061"
"34959";"1494";"2064"
"34960";"188";"254"
"34961";"187";"254"
"34962";"139";"187"
"34963";"152";"205"
"34964";"126";"174"
"34965";"100";"138"
"34966";"5";"7"
"34967";"126";"174"
"34968";"269";"376"
"34969";"240";"339"
"34970";"218";"308"
"34971";"191";"271"
"34972";"260";"367"
"34973";"271";"382"
"34974";"76";"100"
"34975";"2046";"2807"
"34976";"2121";"2922"
"34977";"566";"764"
"34978";"1929";"2636"
"34979";"1928";"2638"
"34980";"530";"687"
"34981";"1924";"2633"
"34982";"1923";"2631"
"34983";"1644";"2250"
"34984";"1926";"2631"
"34985";"3879";"5213"
"34986";"7175";"9761"
"34987";"7536";"10252"
"34988";"7454";"10163"
"34989";"3986";"5372"
