ID,ADDRESS
1,"Москва, 1-й Тушинский проезд, д.6"
2,"Москва, 1-й Тушинский проезд, д.8"
3,"Москва, Народного Ополчения ул, д.35, корп.2"
4,"Москва, Народного Ополчения ул, д.35, корп.5"
5,"Москва, Центральный пр. Хорошёвского Серебряного Бора, д.73, корп.2"
6,"Москва, Авиационная ул, д.10"
7,"Москва, Авиационная ул, д.12"
8,"Москва, Авиационная ул, д.59, корп.1"
9,"Москва, Авиационная ул, д.68, корп.1"
10,"Москва, Авиационная ул, д.8"
11,"Москва, Академика Бочвара ул, д.23"
12,"Москва, Алабяна ул, д.12"
13,"Москва, Аэродромная ул, д.2, корп.1"
14,"Москва, Аэродромная ул, д.4, корп.1"
15,"Москва, Берзарина ул, д.15, корп.1"
16,"Москва, Берзарина ул, д.15, корп.2"
17,"Москва, Берзарина ул, д.21, корп.2"
18,"Москва, Берзарина ул, д.23, корп.1"
19,"Москва, Волоколамское шоссе, д.16, корп.1"
20,"Москва, Волоколамское шоссе, д.16, корп.2"
21,"Москва, Волоколамское шоссе, д.16, корп.3"
22,"Москва, Волоколамское шоссе, д.20"
23,"Москва, Волоколамское шоссе, д.43, корп.1"
24,"Москва, Волоколамское шоссе, д.58"
25,"Москва, Волоколамское шоссе, д.88, корп.4"
26,"Москва, Восточный / Пехорская ул, д.24"
27,"Москва, Врачебный проезд, д.7, корп.1"
28,"Москва, Габричевского ул, д.8, корп.1"
29,"Москва, Генерала Глаголева ул, д.10"
30,"Москва, Генерала Глаголева ул, д.22"
31,"Москва, Генерала Глаголева ул, д.23, корп.1"
32,"Москва, Генерала Глаголева ул, д.30, корп.7"
33,"Москва, Героев-Панфиловцев ул, д.8"
34,"Москва, Демьяна Бедного ул, д.23"
35,"Москва, Долгова ул, д.2, корп.1"
36,"Москва, Донелайтиса проезд, д.20, корп.2"
37,"Москва, Досфлота проезд, д.10, корп.1"
38,"Москва, Живописная ул, д.7, корп.1"
39,"Москва, Карамышевская наб, д.2, корп.1"
40,"Москва, Карамышевская наб, д.54"
41,"Москва, Лодочная ул, д.15"
42,"Москва, Лодочная ул, д.21"
43,"Москва, Лодочная ул, д.23"
44,"Москва, Лодочная ул, д.25"
45,"Москва, Лодочная ул, д.3, корп.1"
46,"Москва, Лодочная ул, д.31, корп.1"
47,"Москва, Лодочная ул, д.31, корп.2"
48,"Москва, Лодочная ул, д.31, корп.5"
49,"Москва, Лодочная ул, д.33, корп.1"
50,"Москва, Лодочная ул, д.33, корп.2"
51,"Москва, Лодочная ул, д.35, корп.1"
52,"Москва, Лодочная ул, д.35, корп.2"
53,"Москва, Лодочная ул, д.37, корп.2"
54,"Москва, Лодочная ул, д.37, корп.3"
55,"Москва, Лодочная ул, д.39, корп.1"
56,"Москва, Малая Набережная ул, д.3"
57,"Москва, Малая Набережная ул, д.5"
58,"Москва, Малая Набережная ул, д.7"
59,"Москва, Маршала Василевского ул, д.12"
60,"Москва, Маршала Вершинина ул, д.1"
61,"Москва, Маршала Вершинина ул, д.14"
62,"Москва, Маршала Жукова пр-кт, д.19"
63,"Москва, Маршала Соколовского ул, д.14, корп.2"
64,"Москва, Маршала Соколовского ул, д.14, корп.3"
65,"Москва, Маршала Тухачевского ул, д.14"
66,"Москва, Маршала Тухачевского ул, д.16"
67,"Москва, Маршала Тухачевского ул, д.21"
68,"Москва, Маршала Тухачевского ул, д.22"
69,"Москва, Маршала Тухачевского ул, д.24"
70,"Москва, Маршала Тухачевского ул, д.26"
71,"Москва, Маршала Тухачевского ул, д.28"
72,"Москва, Маршала Тухачевского ул, д.35"
73,"Москва, Маршала Тухачевского ул, д.35/1"
74,"Москва, Маршала Тухачевского ул, д.38"
75,"Москва, Маршала Тухачевского ул, д.40"
76,"Москва, Маршала Тухачевского ул, д.42"
77,"Москва, Маршала Тухачевского ул, д.44"
78,"Москва, Маршала Тухачевского ул, д.45"
79,"Москва, Маршала Тухачевского ул, д.50, корп.1"
80,"Москва, Маршала Тухачевского ул, д.56"
81,"Москва, Маршала Тухачевского ул, д.58, корп.1"
82,"Москва, Маршала Тухачевского ул, д.61"
83,"Москва, Мнёвники ул, д.2"
84,"Москва, Народного Ополчения ул, д.23"
85,"Москва, Народного Ополчения ул, д.24, корп.1"
86,"Москва, Народного Ополчения ул, д.24, корп.2"
87,"Москва, Народного Ополчения ул, д.24, корп.3"
88,"Москва, Народного Ополчения ул, д.26"
89,"Москва, Нелидовская ул, д.21, корп.2"
90,"Москва, Новикова-Прибоя наб, д.15"
91,"Москва, Новикова-Прибоя наб, д.17, корп.1"
92,"Москва, Новикова-Прибоя наб, д.17, корп.2"
93,"Москва, Новикова-Прибоя наб, д.18, корп.1"
94,"Москва, Новикова-Прибоя наб, д.19"
95,"Москва, Новикова-Прибоя наб, д.6"
96,"Москва, Новикова-Прибоя наб, д.7, корп.1"
97,"Москва, Новикова-Прибоя наб, д.7А"
98,"Москва, Новикова-Прибоя наб, д.9, корп.1"
99,"Москва, Новикова-Прибоя наб, д.9, корп.3"
100,"Москва, Новощукинская ул, д.10"
101,"Москва, Новощукинская ул, д.18"
102,"Москва, Панфилова ул, д.16, корп.1"
103,"Москва, Панфилова ул, д.2"
104,"Москва, Панфилова ул, д.20"
105,"Москва, Панфилова ул, д.20, корп.2"
106,"Москва, Панфилова ул, д.20, корп.3"
107,"Москва, Панфилова ул, д.20, корп.4"
108,"Москва, Панфилова ул, д.20, корп.5"
109,"Москва, Панфилова ул, д.4/5"
110,"Москва, Парусный проезд, д.2"
111,"Москва, Паршина ул, д.7"
112,"Москва, Планерная ул, д.26, корп.1"
113,"Москва, Подмосковная ул, д.1, корп.6"
114,"Москва, Расплетина ул, д.20, корп.2"
115,"Москва, Светлый проезд, д.8, корп.4"
116,"Москва, Свободы ул, д.1"
117,"Москва, Свободы ул, д.11"
118,"Москва, Свободы ул, д.11, корп.1"
119,"Москва, Свободы ул, д.13"
120,"Москва, Свободы ул, д.13, корп.2, стр.1"
121,"Москва, Свободы ул, д.13/2, корп.1"
122,"Москва, Свободы ул, д.21"
123,"Москва, Свободы ул, д.36, корп.2"
124,"Москва, Свободы ул, д.4"
125,"Москва, Свободы ул, д.4, корп.1"
126,"Москва, Свободы ул, д.4, корп.2"
127,"Москва, Свободы ул, д.45"
128,"Москва, Свободы ул, д.49, корп.4"
129,"Москва, Свободы ул, д.4А"
