"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y"
1;"Москва, Народного Ополчения ул, д.35, корп.2";3;37,484334;55,789320
2;"Москва, Народного Ополчения ул, д.35, корп.5";4;37,482599;55,789187
3;"Москва, Алабяна ул, д.12";12;37,501214;55,798858
4;"Москва, Берзарина ул, д.15, корп.1";15;37,481333;55,787006
5;"Москва, Берзарина ул, д.15, корп.2";16;37,480048;55,787153
6;"Москва, Берзарина ул, д.21, корп.2";17;37,475233;55,787113
7;"Москва, Берзарина ул, д.23, корп.1";18;37,471830;55,788733
8;"Москва, Генерала Глаголева ул, д.30, корп.7";32;37,470275;55,787355
9;"Москва, Маршала Вершинина ул, д.1";60;37,487639;55,791647
10;"Москва, Маршала Вершинина ул, д.14";61;37,485421;55,792092
11;"Москва, Маршала Соколовского ул, д.14, корп.2";63;37,484324;55,793627
12;"Москва, Маршала Соколовского ул, д.14, корп.3";64;37,484324;55,793627
13;"Москва, Панфилова ул, д.16, корп.1";102;37,495150;55,805032
14;"Москва, Панфилова ул, д.2";103;37,500791;55,798444
15;"Москва, Панфилова ул, д.20";104;37,493918;55,807668
16;"Москва, Панфилова ул, д.20, корп.2";105;37,493982;55,806756
17;"Москва, Панфилова ул, д.20, корп.3";106;37,494987;55,806898
18;"Москва, Панфилова ул, д.20, корп.4";107;37,495330;55,807410
19;"Москва, Панфилова ул, д.20, корп.5";108;37,492635;55,807753
20;"Москва, Панфилова ул, д.4/5";109;37,498500;55,800892
21;"Москва, Расплетина ул, д.20, корп.2";114;37,483615;55,793327
22;"Москва, Алабяна ул, д.10, корп.2";136;37,503576;55,800113
23;"Москва, Алабяна ул, д.10, корп.3";137;37,502893;55,799815
24;"Москва, Алабяна ул, д.10, корп.4";138;37,502102;55,800265
25;"Москва, Алабяна ул, д.10, корп.5";139;37,502237;55,800852
26;"Москва, Алабяна ул, д.10, корп.6";140;37,503036;55,800807
27;"Москва, Алабяна ул, д.12, корп.1";141;37,501214;55,798858
28;"Москва, Алабяна ул, д.12, корп.2";142;37,501931;55,799228
29;"Москва, Алабяна ул, д.12, корп.3";143;37,502380;55,799497
30;"Москва, Алабяна ул, д.12, корп.4";144;37,501734;55,799956
31;"Москва, Алабяна ул, д.12, стр.2";145;37,501931;55,799228
32;"Москва, Брюллова ул, д.10";146;37,499236;55,803498
33;"Москва, Брюллова ул, д.12";147;37,499112;55,803696
34;"Москва, Брюллова ул, д.4";148;37,499776;55,802977
35;"Москва, Брюллова ул, д.5";149;37,498725;55,803140
36;"Москва, Брюллова ул, д.6";150;37,499569;55,803165
37;"Москва, Брюллова ул, д.7";151;37,498510;55,803302
38;"Москва, Брюллова ул, д.8";152;37,499416;55,803337
39;"Москва, Брюллова ул, д.9";153;37,498411;55,803478
40;"Москва, Врубеля ул, д.12";188;37,497863;55,804764
41;"Москва, Врубеля ул, д.13";189;37,497782;55,803751
42;"Москва, Врубеля ул, д.13А";190;37,499013;55,804338
43;"Москва, Левитана ул, д.10";206;37,502893;55,801177
44;"Москва, Левитана ул, д.16";207;37,500540;55,801672
45;"Москва, Левитана ул, д.18";208;37,499992;55,801606
46;"Москва, Левитана ул, д.20";209;37,499667;55,801712
47;"Москва, Левитана ул, д.22";210;37,499156;55,801763
48;"Москва, Левитана ул, д.3, корп.1";211;37,500350;55,800904
49;"Москва, Левитана ул, д.3, корп.1, стр.3";212;37,500350;55,800904
50;"Москва, Левитана ул, д.3, корп.1, стр.7";213;37,500350;55,800904
51;"Москва, Левитана ул, д.3, корп.1, стр.8";214;37,500350;55,800904
52;"Москва, Левитана ул, д.3, корп.2";215;37,500350;55,800904
53;"Москва, Левитана ул, д.3, стр.3";216;37,500350;55,800904
54;"Москва, Левитана ул, д.3, стр.7";217;37,500350;55,800904
55;"Москва, Панфилова ул, д.10";238;37,496838;55,803221
56;"Москва, Панфилова ул, д.12";239;37,496165;55,804056
57;"Москва, Панфилова ул, д.14";240;37,496228;55,805270
58;"Москва, Панфилова ул, д.16";241;37,495150;55,805032
59;"Москва, Панфилова ул, д.18, корп.1";242;37,494287;55,805832
