"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Автономная некоммерческая организация средняя общеобразовательная школа ""ПРИОРИТЕТ""";"ул. Живописная, дом 46а";"Северо-Западный административный округ";"район Щукино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 193-85-61,(499) 193-85-22";"";"prioritet-school@mail.ru";12
2;"Автономная некоммерческая организация средняя общеобразовательная школа с углубленным изучением языков ""Международная общеобразовательная школа ""Интеграция XXI век""";"123592, г. Москва,  ул. Маршала Катукова, д.16, к.3";"Северо-Западный административный округ";"район Строгино";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 194-72-90,(495) 750-31-02";"nouintegracija21.mskobr.ru";"Teacher_ostrov@mail.ru";14
3;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа ""Школа здоровья"" № 149";"125080 г. Москва, ул. Врубеля., д. 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"158-03-31";"schs149.mskobr.ru";"shcola149@yandex.ru";30
4;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1672";"125252,  г. Москва, улица Алабяна, дом 15";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 198-77-15";"pgym1672.mskobr.ru/";"gou1672sao@yandex.ru";168
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 706";"125252, г. Москва, Песчаный пер., д. 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"198-17-31";"schs706.mskobr.ru";"sh706Dan@rambler.ru";192
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  №2077";"123060, Москва, улица Маршала Конева, дом 10.";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"194-04-76,194-13-22,194-84-00";"";"sch2077@szouo.ru";193
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа c углубленным изучением английского языка № 1210";"123098, г. Москва, ул. Гамалеи, д. 17, корп. 1";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 196-53-47; (499) 196-64-18; (499) 196-53-70; (499) 196-43-89";"schu1210.mskobr.ru/";"sch1210@szouo.ru";260
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1005 ""Алые паруса""";"123182, г. Москва, ул. Авиационная, д.71, корп. 3";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 190-25-20";"sch1005.mskobr.ru/";"sch1005@szouo.ru";266
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1189 имени И.В. Курчатова";"123098, г. Москва, улица Маршала Василевского, дом 9, корпус 1";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"193-60-23";"schsz1189.mskobr.ru";"sch1189@szouo.ru";338
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1874";"123098, г. Москва, ул. Маршала Новикова, д. 13";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"193-61-20";"co1874.mskobr.ru";"sch1874@szouo.ru";405
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 739";"125252, г. Москва, улица Сальвадора Альенде, дом 6";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 198-26-03; (499) 198-37-11";"schs739.mskobr.ru";"school739@mail.ru";787
12;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 92";"123098, г. Москва, ул. Живописная, д. 32";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 728-54-02; (499) 728-53-39; (499) 728-54-41";"schsz92.mskobr.ru";"sch92@szouo.ru";896
13;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка № 1252 имени Сервантеса";"125080 г. Москва, ул. Дубосековская, д. 3";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 158-69-89";"schs1252.mskobr.ru";"sc1252@yandex.ru";1065
14;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением немецкого языка № 1212";"123060, г. Москва, ул. Маршала Рыбалко, д. 14";"Северо-Западный административный округ";"район Щукино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 728-40-02";"http://schusz1212.mskobr.ru/";"sch1212@szouo.ru";1073
15;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением французского языка № 1251 имени генерала Шарля де Голля";"125252, г. Москва, ул. Сальвадора Альенде, дом 9";"Северный административный округ";"район Сокол";"Государственное";"Северное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"(499) 198-04-81";"schs1251.mskobr.ru";"ecole1251@rambler.ru";1109
16;"Государственное бюджетное образовательное учреждение города Москвы центр образования № 1089 ""Коллаж""";"123154, г.Москва, ул.Берзарина, д.19, корп.2";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"197-00-97";"cosz1089.mskobr.ru";"sch1089@szouo.ru";1147
17;"Негосударственная образовательное учреждение средняя общеобразовательная школа Школа ""Муми-Тролль""";"";"Северный административный округ";"район Сокол";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 158-62-66";"";"mumi-troll@mumi-troll.ru";1289
18;"Негосударственное образовательное учреждение средняя общеобразовательная школа ""Ювенес""";"Москва, ул.Сосновая, д. 3";"Северо-Западный административный округ";"район Хорошёво-Мнёвники";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 193-91-47";"nouuvenes.mskobr.ru";"uenes@uenes.com";1331
