"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
1;"Москва, Баженова ул, д.11А";27464;37,683365;55,621723;283;0,005126;37,681485;55,616955
2;"Москва, Баженова ул, д.11Б";27465;37,683624;55,621775;283;0,005273;37,681485;55,616955
3;"Москва, Баженова ул, д.13А";27466;37,684200;55,621556;283;0,005343;37,681485;55,616955
4;"Москва, Баженова ул, д.13Б";27467;37,685431;55,621734;283;0,006197;37,681485;55,616955
5;"Москва, Баженова ул, д.4А";27468;37,683669;55,622695;283;0,006141;37,681485;55,616955
6;"Москва, Домодедовская ул, д.1, корп.1";27469;37,706452;55,616208;79;0,001612;37,707711;55,617216
7;"Москва, Домодедовская ул, д.1, корп.3";27470;37,707556;55,614643;79;0,002577;37,707711;55,617216
8;"Москва, Домодедовская ул, д.11, корп.1";27471;37,709344;55,611123;280;0,003369;37,711766;55,613466
9;"Москва, Домодедовская ул, д.18";27472;37,704134;55,613421;98;0,004315;37,701391;55,610091
10;"Москва, Домодедовская ул, д.18, корп.2";27473;37,703360;55,613086;98;0,003585;37,701391;55,610091
11;"Москва, Домодедовская ул, д.20, корп.1";27474;37,702112;55,612852;98;0,002854;37,701391;55,610091
12;"Москва, Домодедовская ул, д.20, корп.2";27475;37,700764;55,612674;98;0,002658;37,701391;55,610091
13;"Москва, Домодедовская ул, д.20, корп.3";27476;37,702714;55,612263;98;0,002543;37,701391;55,610091
14;"Москва, Домодедовская ул, д.22, корп.1";27477;37,706909;55,611667;214;0,004954;37,707642;55,606768
15;"Москва, Домодедовская ул, д.22, корп.3";27478;37,703926;55,611541;98;0,002921;37,701391;55,610091
16;"Москва, Домодедовская ул, д.3";27479;37,708114;55,613916;79;0,003324;37,707711;55,617216
17;"Москва, Домодедовская ул, д.5, корп.3";27480;37,710808;55,614150;280;0,001176;37,711766;55,613466
18;"Москва, Домодедовская ул, д.6, корп.2";27481;37,703846;55,614948;79;0,004480;37,707711;55,617216
19;"Москва, Домодедовская ул, д.7, корп.1";27482;37,708868;55,613026;280;0,002931;37,711766;55,613466
20;"Москва, Домодедовская ул, д.7, корп.2";27483;37,710385;55,612425;280;0,001728;37,711766;55,613466
21;"Москва, Домодедовская ул, д.8";27484;37,705328;55,615065;79;0,003209;37,707711;55,617216
22;"Москва, Каширское шоссе, д.100";27485;37,713772;55,613687;162;0,001947;37,713058;55,611876
23;"Москва, Каширское шоссе, д.102, корп.1";27486;37,714195;55,613138;162;0,001698;37,713058;55,611876
24;"Москва, Каширское шоссе, д.102, корп.2";27487;37,711976;55,612456;280;0,001031;37,711766;55,613466
25;"Москва, Каширское шоссе, д.104";27488;37,714626;55,612547;162;0,001705;37,713058;55,611876
26;"Москва, Каширское шоссе, д.106";27489;37,715218;55,611831;162;0,002161;37,713058;55,611876
27;"Москва, Каширское шоссе, д.88/26";27490;37,712191;55,618186;184;0,004080;37,709427;55,621187
28;"Москва, Каширское шоссе, д.90, корп.1";27491;37,712183;55,617519;280;0,004075;37,711766;55,613466
29;"Москва, Каширское шоссе, д.90, корп.3";27492;37,710403;55,617499;79;0,002707;37,707711;55,617216
30;"Москва, Каширское шоссе, д.92, корп.1";27493;37,712165;55,616777;280;0,003335;37,711766;55,613466
31;"Москва, Каширское шоссе, д.92, корп.3";27494;37,709766;55,616183;79;0,002300;37,707711;55,617216
32;"Москва, Каширское шоссе, д.94, корп.1";27495;37,713530;55,614892;280;0,002268;37,711766;55,613466
33;"Москва, Каширское шоссе, д.94, корп.2";27496;37,712165;55,616111;280;0,002675;37,711766;55,613466
34;"Москва, Каширское шоссе, д.94, корп.3";27497;37,710045;55,615319;280;0,002528;37,711766;55,613466
35;"Москва, Каширское шоссе, д.98, корп.1";27498;37,713368;55,614312;280;0,001812;37,711766;55,613466
36;"Москва, Каширское шоссе, д.98, корп.2";27499;37,712596;55,613524;280;0,000832;37,711766;55,613466
37;"Москва, Ореховый бульв., д.11, корп.1";27500;37,712739;55,610900;162;0,001025;37,713058;55,611876
38;"Москва, Ореховый бульв., д.5";27501;37,702939;55,610275;98;0,001558;37,701391;55,610091
39;"Москва, Ореховый бульв., д.7, корп.1";27502;37,706055;55,609767;212;0,003162;37,704026;55,607342
40;"Москва, Ореховый бульв., д.7, корп.2";27503;37,705904;55,610860;212;0,003987;37,704026;55,607342
41;"Москва, Шипиловская ул, д.10";27504;37,701484;55,615257;148;0,003889;37,697850;55,613871
42;"Москва, Шипиловская ул, д.12";27505;37,702751;55,617307;183;0,002508;37,701209;55,619286
43;"Москва, Шипиловская ул, д.14";27506;37,704160;55,616752;79;0,003580;37,707711;55,617216
44;"Москва, Шипиловская ул, д.18";27507;37,706909;55,617906;79;0,001057;37,707711;55,617216
45;"Москва, Шипиловская ул, д.20";27508;37,708796;55,617789;79;0,001227;37,707711;55,617216
46;"Москва, Шипиловская ул, д.22";27509;37,710475;55,618180;79;0,002928;37,707711;55,617216
47;"Москва, Шипиловская ул, д.6, корп.1";27510;37,699005;55,617058;182;0,002016;37,699312;55,619051
48;"Москва, Шипиловская ул, д.6, корп.2";27511;37,699436;55,616041;148;0,002687;37,697850;55,613871
49;"Москва, Шипиловская ул, д.6, корп.3";27512;37,699319;55,614287;148;0,001526;37,697850;55,613871
50;"Москва, Шипиловская ул, д.8, корп.1";27513;37,700541;55,617067;183;0,002316;37,701209;55,619286
51;"Москва, Шипиловский проезд, д.39, корп.1";27514;37,696741;55,611302;148;0,002798;37,697850;55,613871
52;"Москва, Шипиловский проезд, д.41, корп.1";27515;37,698358;55,611653;148;0,002275;37,697850;55,613871
53;"Москва, Шипиловский проезд, д.41, корп.2";27516;37,699399;55,613158;148;0,001706;37,697850;55,613871
54;"Москва, Шипиловский проезд, д.41, корп.3";27517;37,701008;55,613331;148;0,003203;37,697850;55,613871
55;"Москва, Шипиловский проезд, д.41, корп.4";27518;37,702607;55,613498;98;0,003618;37,701391;55,610091
56;"Москва, Шипиловский проезд, д.43, корп.2";27519;37,699202;55,611323;98;0,002511;37,701391;55,610091
57;"Москва, Шипиловский проезд, д.43, корп.3";27520;37,700092;55,612024;98;0,002328;37,701391;55,610091
58;"Москва, Шипиловский проезд, д.43, корп.4";27521;37,700469;55,610671;98;0,001089;37,701391;55,610091
59;"Москва, Шипиловский проезд, д.45, корп.1";27522;37,698008;55,609989;98;0,003384;37,701391;55,610091
60;"Москва, Шипиловский проезд, д.49/1";27523;37,699893;55,608638;98;0,002086;37,701391;55,610091
61;"Москва, Борисовский проезд, д.1, корп.1";27524;37,713063;55,625119;184;0,005356;37,709427;55,621187
62;"Москва, Борисовский проезд, д.1, корп.2";27525;37,712649;55,625679;184;0,005528;37,709427;55,621187
63;"Москва, Борисовский проезд, д.1, корп.3";27526;37,712848;55,626538;184;0,006351;37,709427;55,621187
64;"Москва, Борисовский проезд, д.10, корп.1";27527;37,718767;55,625159;80;0,001223;37,719905;55,624709
65;"Москва, Борисовский проезд, д.11, корп.1";27528;37,720581;55,626542;80;0,001954;37,719905;55,624709
66;"Москва, Борисовский проезд, д.11, корп.2";27529;37,720888;55,627426;207;0,002563;37,723392;55,626879
67;"Москва, Борисовский проезд, д.12, корп.1";27530;37,721004;55,625409;80;0,001303;37,719905;55,624709
68;"Москва, Борисовский проезд, д.15, корп.1";27531;37,725962;55,626547;83;0,002287;37,724106;55,625213
69;"Москва, Борисовский проезд, д.15, корп.2";27532;37,726790;55,626639;83;0,003039;37,724106;55,625213
70;"Москва, Борисовский проезд, д.16";27533;37,722881;55,625755;207;0,001234;37,723392;55,626879
71;"Москва, Борисовский проезд, д.17, корп.1";27534;37,727992;55,625836;83;0,003936;37,724106;55,625213
72;"Москва, Борисовский проезд, д.19";27535;37,728891;55,624046;83;0,004925;37,724106;55,625213
73;"Москва, Борисовский проезд, д.20";27536;37,725809;55,625343;83;0,001708;37,724106;55,625213
74;"Москва, Борисовский проезд, д.22, корп.1";27537;37,723959;55,624443;83;0,000782;37,724106;55,625213
75;"Москва, Борисовский проезд, д.24, корп.1";27538;37,726601;55,624200;83;0,002692;37,724106;55,625213
76;"Москва, Борисовский проезд, д.26";27539;37,726583;55,622704;1;0,003039;37,725590;55,619832
77;"Москва, Борисовский проезд, д.3, корп.1";27540;37,714590;55,625323;80;0,005350;37,719905;55,624709
78;"Москва, Борисовский проезд, д.5";27541;37,716054;55,625566;80;0,003944;37,719905;55,624709
79;"Москва, Борисовский проезд, д.7";27542;37,718201;55,625785;80;0,002014;37,719905;55,624709
80;"Москва, Борисовский проезд, д.8, корп.2";27543;37,719485;55,623768;81;0,000783;37,720084;55,623262
81;"Москва, Борисовский проезд, д.9, корп.1";27544;37,719576;55,626003;80;0,001336;37,719905;55,624709
82;"Москва, Борисовский проезд, д.9, корп.2";27545;37,718821;55,626594;80;0,002174;37,719905;55,624709
83;"Москва, Борисовский проезд, д.9, корп.3";27546;37,718462;55,627397;80;0,003050;37,719905;55,624709
84;"Москва, Генерала Белова ул, д.13";27547;37,718040;55,621606;81;0,002630;37,720084;55,623262
85;"Москва, Генерала Белова ул, д.3";27548;37,716746;55,624083;80;0,003220;37,719905;55,624709
86;"Москва, Генерала Белова ул, д.7, корп.1";27549;37,717365;55,622832;81;0,002751;37,720084;55,623262
87;"Москва, Шипиловская ул, д.23, корп.2";27550;37,720771;55,622471;82;0,000487;37,720787;55,621985
88;"Москва, Шипиловская ул, д.25, корп.1";27551;37,722190;55,621225;82;0,001595;37,720787;55,621985
89;"Москва, Шипиловская ул, д.29, корп.2";27552;37,724086;55,623183;83;0,002030;37,724106;55,625213
90;"Москва, Борисовский проезд, д.34";27553;37,726951;55,619284;1;0,001467;37,725590;55,619832
