"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"29964";"83";"110"
"29965";"140";"199"
"29966";"227";"291"
"29967";"440";"608"
"29968";"504";"696"
"29969";"517";"706"
"29970";"361";"430"
"29971";"449";"564"
"29972";"394";"510"
"29973";"80";"111"
"29974";"23";"26"
"29975";"288";"341"
"29976";"235";"294"
"29977";"145";"186"
"29978";"298";"358"
"29979";"345";"422"
"29980";"283";"351"
"29981";"219";"277"
"29982";"383";"479"
"29983";"370";"471"
"29984";"361";"463"
"29985";"446";"550"
"29986";"374";"470"
"29987";"319";"400"
"29988";"374";"459"
"29989";"299";"364"
"29990";"260";"311"
"29991";"198";"244"
"29992";"283";"362"
"29993";"107";"132"
"29994";"88";"110"
"29995";"255";"323"
"29996";"238";"343"
"29997";"372";"513"
"29998";"436";"598"
"29999";"224";"328"
"30000";"247";"360"
"30001";"177";"263"
"30002";"187";"277"
"30003";"105";"164"
"30004";"459";"686"
"30005";"504";"748"
"30006";"538";"796"
"30007";"575";"844"
"30008";"833";"1147"
"30009";"667";"939"
"30010";"623";"876"
"30011";"202";"239"
"30012";"178";"204"
"30013";"379";"463"
"30014";"525";"673"
"30015";"549";"705"
"30016";"73";"98"
"30017";"245";"326"
"30018";"338";"461"
"30019";"64";"100"
"30020";"208";"255"
"30021";"172";"205"
"30022";"412";"520"
"30023";"512";"701"
"30024";"451";"610"
"30025";"414";"553"
"30026";"131";"190"
"30027";"147";"210"
"30028";"186";"257"
"30029";"180";"260"
"30030";"100";"136"
"30031";"212";"293"
"30032";"145";"219"
"30033";"246";"342"
"30034";"126";"182"
"30035";"120";"172"
"30036";"212";"289"
"30037";"311";"419"
"30038";"208";"292"
"30039";"292";"409"
"30040";"167";"216"
"30041";"211";"283"
"30042";"227";"312"
"30043";"390";"538"
"30044";"151";"192"
"30045";"247";"357"
"30046";"424";"585"
"30047";"230";"319"
"30048";"163";"236"
"30049";"233";"344"
"30050";"169";"248"
