"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Автономная некоммерческая организация ""Средняя общеобразовательная школа ""Премьер""""";"115563, Москва, ул. Шипиловская, дом 40, корпу 2";"Южный административный округ";"район Орехово-Борисово Северное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 393-08-18,(495) 393-07-11";"noupremier.mskobr.ru";"school@premier.edu.ru";5
2;"Автономная некоммерческая организация Средняя общеобразовательная частная школа “Наследник”";"115211, г. Москва, ул. Борисовские пруды, д. 19 корп. 1";"Южный административный округ";"район Москворечье-Сабурово";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 340-43-80,(495) 341-80-69";"";"school@naslednik.ru";10
3;"Автономная некоммерческая организация средняя общеобразовательная школа Учебный центр ""Перспектива""";"";"Южный административный округ";"район Чертаново Северное";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"316-00-74,316-22-88";"nouperspektiva.mskobr.ru";"school@perspektia.org.ru";15
4;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22
5;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 166";"117152 г. Москва,Севастопольский проспект ,д. 5А";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 123-15-96; (499) 127-66-53";"schvu166.mskobr.ru";"sch166@sinergi.ru";45
6;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1257";"115093 г. Москва, ул. Павловская, дом 8-а, 115093, г. Москва, ул. Павловская д.8А корпус 1";"Южный административный округ";"Даниловский район";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"952-63-70";"gymu1257.mskobr.ru";"dou1234@sinergi.ru";50
7;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1526";"117535 г. Москва, ул. Дорожная д. 20А";"Южный административный округ";"район Чертаново Южное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"382-04-65";"gymu1526.mskobr.ru";"sch1526@sinergi.ru";67
8;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1527";"115470 г. Москва, проспект Андропова,д.17,к.5";"Южный административный округ";"район Нагатинский Затон";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 618-70-05; (499) 618-80-96; (499) 725-16-42; (499) 618-70-40; (499) 618-70-30; (499) 618-70-51";"gym1527u.mskobr.ru";"sch1527@sinergi.ru";68
9;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1552";"115580 г. Москва, ул. М.Джалиля, д. 25";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"396-32-19";"gymu1552.mskobr.ru";"sch1552@sinergi.ru";82
10;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1569 ""Созвездие""";"115573 г. Москва, ул. Мусы Джалиля, д.36,к.2";"Южный административный округ";"район Зябликово";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 396-43-50";"gymu1569.mskobr.ru";"sch1569@sinergi.ru";88
