OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
3942;Москва, Зеленодольская ул, д.16;26238;37.782;55.714226;158;0.00572;37.787668;55.713457
3943;Москва, Зеленодольская ул, д.18, корп.1;26239;37.779952;55.713287;79;0.00652;37.775638;55.708399
3944;Москва, Зеленодольская ул, д.18, корп.2;26240;37.77987;55.713693;79;0.006779;37.775638;55.708399
3945;Москва, Зеленодольская ул, д.20/9;26241;37.778631;55.712932;79;0.005432;37.775638;55.708399
3946;Москва, Зеленодольская ул, д.3;26242;37.790066;55.715875;149;0.002894;37.792928;55.715435
3947;Москва, Зеленодольская ул, д.3, корп.2;26243;37.79127;55.715773;149;0.001691;37.792928;55.715435
3948;Москва, Зеленодольская ул, д.6;26244;37.78915;55.715986;158;0.002931;37.787668;55.713457
3949;Москва, Зеленодольская ул, д.7, корп.1;26245;37.787264;55.714445;158;0.001067;37.787668;55.713457
3950;Москва, Зеленодольская ул, д.7, корп.2;26246;37.786141;55.714095;158;0.001654;37.787668;55.713457
3951;Москва, Зеленодольская ул, д.7, корп.3;26247;37.785718;55.713552;158;0.001951;37.787668;55.713457
3952;Москва, Зеленодольская ул, д.7, корп.7;26248;37.787649;55.71243;158;0.001026;37.787668;55.713457
3953;Москва, Зеленодольская ул, д.9, корп.1;26249;37.783446;55.713445;158;0.004222;37.787668;55.713457
3954;Москва, Зеленодольская ул, д.9, корп.2;26250;37.781873;55.713074;158;0.005806;37.787668;55.713457
3955;Москва, Зеленодольская ул, д.9, корп.3;26251;37.781873;55.712512;158;0.00587;37.787668;55.713457
3956;Москва, Зеленодольская ул, д.9, корп.5;26252;37.78403;55.712386;158;0.003792;37.787668;55.713457
3957;Москва, Мещёрский пер, д.10;26253;37.781352;55.716579;158;0.007045;37.787668;55.713457
3958;Москва, Мещёрский пер, д.2, корп.1;26254;37.77732;55.71554;105;0.006865;37.770913;55.713073
3959;Москва, Мещёрский пер, д.2, корп.2;26255;37.778586;55.714937;79;0.007171;37.775638;55.708399
3960;Москва, Мещёрский пер, д.4;26256;37.778343;55.715803;79;0.007883;37.775638;55.708399
3961;Москва, Мещёрский пер, д.6;26257;37.77934;55.716061;79;0.00851;37.775638;55.708399
3962;Москва, Мещёрский пер, д.6, корп.2;26258;37.779269;55.715525;79;0.007997;37.775638;55.708399
3963;Москва, Мещёрский пер, д.8, корп.1;26259;37.780347;55.716321;158;0.007861;37.787668;55.713457
3964;Москва, Мещёрский пер, д.8, корп.2;26260;37.780373;55.715794;158;0.007659;37.787668;55.713457
3965;Москва, Окская ул, д.42/1, корп.1;26261;37.775325;55.716656;105;0.005684;37.770913;55.713073
3966;Москва, Окская ул, д.42/1, корп.2;26262;37.77529;55.716234;105;0.005399;37.770913;55.713073
3967;Москва, Окская ул, д.44, корп.1;26263;37.776555;55.716382;105;0.006541;37.770913;55.713073
3968;Москва, Окская ул, д.44, корп.2;26264;37.77766;55.716345;105;0.007499;37.770913;55.713073
3969;Москва, Окская ул, д.46;26265;37.778002;55.717371;105;0.00829;37.770913;55.713073
3970;Москва, Окская ул, д.48/2;26266;37.779431;55.717562;158;0.009203;37.787668;55.713457
3971;Москва, Рязанский пр-кт, д.32;26267;37.785907;55.717212;158;0.004147;37.787668;55.713457
3972;Москва, Рязанский пр-кт, д.34;26268;37.786932;55.717304;234;0.003268;37.789439;55.719402
3973;Москва, Рязанский пр-кт, д.36;26269;37.787812;55.716884;234;0.002997;37.789439;55.719402
3974;Москва, Рязанский пр-кт, д.38;26270;37.788648;55.717324;234;0.002222;37.789439;55.719402
3975;Москва, Рязанский пр-кт, д.40/2;26271;37.790066;55.717268;234;0.002223;37.789439;55.719402
3976;Москва, Рязанский пр-кт, д.42/1;26272;37.790452;55.716696;149;0.002777;37.792928;55.715435
3977;Москва, Рязанский пр-кт, д.44;26273;37.791252;55.716563;149;0.002019;37.792928;55.715435
3978;Москва, Рязанский пр-кт, д.48;26274;37.793373;55.71622;149;0.000902;37.792928;55.715435
3979;Москва, Рязанский пр-кт, д.50;26275;37.794118;55.71628;149;0.001459;37.792928;55.715435
3980;Москва, Рязанский пр-кт, д.52;26276;37.794665;55.716012;149;0.001831;37.792928;55.715435
3981;Москва, Рязанский пр-кт, д.54;26277;37.795475;55.715879;149;0.002585;37.792928;55.715435
3982;Москва, Фёдора Полетаева ул, д.13;26278;37.781819;55.711782;137;0.005537;37.783424;55.706482
3983;Москва, Фёдора Полетаева ул, д.15, корп.1;26279;37.7835;55.709109;137;0.002628;37.783424;55.706482
3984;Москва, Фёдора Полетаева ул, д.15, корп.3;26280;37.784739;55.710585;158;0.004101;37.787668;55.713457
3985;Москва, Фёдора Полетаева ул, д.17, корп.1;26281;37.785287;55.709226;137;0.003317;37.783424;55.706482
3986;Москва, Фёдора Полетаева ул, д.17, корп.2;26282;37.785809;55.710235;158;0.003719;37.787668;55.713457
3987;Москва, Фёдора Полетаева ул, д.19, корп.1;26283;37.787604;55.708617;140;0.002168;37.788581;55.70668
3988;Москва, Фёдора Полетаева ул, д.19, корп.2;26284;37.789339;55.709089;140;0.002525;37.788581;55.70668
3989;Москва, Фёдора Полетаева ул, д.21, корп.1;26285;37.790354;55.708216;140;0.002346;37.788581;55.70668
3990;Москва, Фёдора Полетаева ул, д.21, корп.2;26286;37.791377;55.708694;148;0.001511;37.792803;55.709199
3991;Москва, Фёдора Полетаева ул, д.21, корп.3;26287;37.790426;55.709049;148;0.002381;37.792803;55.709199
3992;Москва, Фёдора Полетаева ул, д.25;26288;37.792833;55.707901;148;0.001297;37.792803;55.709199
3993;Москва, Фёдора Полетаева ул, д.3;26289;37.776196;55.715179;105;0.005688;37.770913;55.713073
3994;Москва, Фёдора Полетаева ул, д.5, корп.1;26290;37.776807;55.714744;105;0.006127;37.770913;55.713073
3995;Москва, Фёдора Полетаева ул, д.5, корп.2;26291;37.777499;55.714511;79;0.006389;37.775638;55.708399
3996;Москва, Фёдора Полетаева ул, д.5, корп.3;26292;37.7782;55.714281;79;0.006416;37.775638;55.708399
3997;Москва, Фёдора Полетаева ул, д.5, корп.4;26293;37.778919;55.714053;79;0.006537;37.775638;55.708399
3998;Москва, Фёдора Полетаева ул, д.7;26294;37.77758;55.713456;79;0.005417;37.775638;55.708399
3999;Москва, Академика Скрябина ул, д.36, корп.4;26295;37.789913;55.699836;153;0.002705;37.787241;55.700252
4000;Москва, Академика Скрябина ул, д.38, корп.1;26296;37.791279;55.698594;153;0.004366;37.787241;55.700252
4001;Москва, Академика Скрябина ул, д.38, корп.2;26297;37.790309;55.698726;153;0.003426;37.787241;55.700252
4002;Москва, Волгоградский пр-кт, д.118/7, корп.1;26298;37.7797;55.702744;137;0.005276;37.783424;55.706482
4003;Москва, Волгоградский пр-кт, д.118/7, корп.2;26299;37.779449;55.702109;197;0.004905;37.774774;55.700624
4004;Москва, Волгоградский пр-кт, д.120, корп.1;26300;37.780472;55.702636;137;0.004846;37.783424;55.706482
4005;Москва, Волгоградский пр-кт, д.120, корп.2;26301;37.780741;55.701932;137;0.005281;37.783424;55.706482
4006;Москва, Волгоградский пр-кт, д.122, корп.2;26302;37.781766;55.702744;137;0.004089;37.783424;55.706482
4007;Москва, Волгоградский пр-кт, д.124;26303;37.781569;55.702286;137;0.004586;37.783424;55.706482
4008;Москва, Волгоградский пр-кт, д.128, корп.1;26304;37.782826;55.702312;137;0.004211;37.783424;55.706482
4009;Москва, Волгоградский пр-кт, д.128, корп.2;26305;37.782035;55.701764;137;0.004916;37.783424;55.706482
4010;Москва, Волгоградский пр-кт, д.128, корп.4;26306;37.782844;55.701135;153;0.004484;37.787241;55.700252
4011;Москва, Волгоградский пр-кт, д.128, корп.5;26307;37.782198;55.700857;153;0.005079;37.787241;55.700252
4012;Москва, Волгоградский пр-кт, д.130, корп.1;26308;37.783589;55.702226;138;0.00379;37.785907;55.705226
4013;Москва, Волгоградский пр-кт, д.130, корп.2;26309;37.783885;55.701521;153;0.003586;37.787241;55.700252
4014;Москва, Волгоградский пр-кт, д.132, корп.2;26310;37.784982;55.702332;138;0.003037;37.785907;55.705226
4015;Москва, Волгоградский пр-кт, д.134;26311;37.784677;55.70188;153;0.003037;37.787241;55.700252
4016;Москва, Волгоградский пр-кт, д.138, корп.1;26312;37.785916;55.701916;153;0.002127;37.787241;55.700252
4017;Москва, Волгоградский пр-кт, д.138, корп.2;26313;37.785134;55.701364;153;0.002381;37.787241;55.700252
4018;Москва, Волгоградский пр-кт, д.140, корп.1;26314;37.786698;55.70181;153;0.001649;37.787241;55.700252
4019;Москва, Волгоградский пр-кт, д.140, корп.2;26315;37.786941;55.701114;153;0.000913;37.787241;55.700252
4020;Москва, Волгоградский пр-кт, д.142, корп.2;26316;37.787992;55.701927;153;0.001835;37.787241;55.700252
4021;Москва, Волгоградский пр-кт, д.144;26317;37.787802;55.701505;153;0.001374;37.787241;55.700252
4022;Москва, Волгоградский пр-кт, д.148, корп.1;26318;37.789043;55.70151;153;0.002198;37.787241;55.700252
4023;Москва, Волгоградский пр-кт, д.148, корп.2;26319;37.788243;55.700938;153;0.001214;37.787241;55.700252
4024;Москва, Волгоградский пр-кт, д.150, корп.1;26320;37.789814;55.701409;153;0.002822;37.787241;55.700252
4025;Москва, Волгоградский пр-кт, д.150, корп.2;26321;37.790076;55.700714;153;0.002872;37.787241;55.700252
4026;Москва, Волгоградский пр-кт, д.152, корп.2;26322;37.790974;55.700623;153;0.003751;37.787241;55.700252
4027;Москва, Есенинский бульв., д.11, корп.1;26323;37.778685;55.700257;197;0.003928;37.774774;55.700624
4028;Москва, Есенинский бульв., д.11, корп.2;26324;37.779475;55.700151;197;0.004725;37.774774;55.700624
4029;Москва, Есенинский бульв., д.9, корп.3;26325;37.78252;55.700536;153;0.004728;37.787241;55.700252
4030;Москва, Есенинский бульв., д.9, корп.4;26326;37.783464;55.700399;153;0.003779;37.787241;55.700252
4031;Москва, Есенинский бульв., д.9, корп.5;26327;37.784614;55.700242;153;0.002627;37.787241;55.700252
4032;Москва, Юных Ленинцев ул, д.101, корп.2;26328;37.78102;55.698903;153;0.006364;37.787241;55.700252
4033;Москва, Юных Ленинцев ул, д.101, корп.3;26329;37.780967;55.699562;197;0.006283;37.774774;55.700624
4034;Москва, Юных Ленинцев ул, д.103, корп.1;26330;37.781253;55.698381;153;0.006272;37.787241;55.700252
4035;Москва, Юных Ленинцев ул, д.103, корп.3;26331;37.781793;55.699842;153;0.005463;37.787241;55.700252
