ID,ADDRESS
23739,"Москва, Волгоградский пр-кт, д.181, корп.1"
23740,"Москва, Волгоградский пр-кт, д.183, корп.2"
23741,"Москва, Волгоградский пр-кт, д.185/19"
23742,"Москва, Волгоградский пр-кт, д.187/16"
23743,"Москва, Самаркандский бульв., д.11, корп.1"
23744,"Москва, Самаркандский бульв., д.13, корп.1"
23745,"Москва, Самаркандский бульв., д.13, корп.2"
23746,"Москва, Самаркандский бульв., д.13, корп.3"
23747,"Москва, Самаркандский бульв., д.13, корп.4"
23748,"Москва, Самаркандский бульв., д.13, корп.5"
23749,"Москва, Самаркандский бульв., д.15, корп.1"
23750,"Москва, Самаркандский бульв., д.15, корп.2"
23751,"Москва, Самаркандский бульв., д.15, корп.3"
23752,"Москва, Самаркандский бульв., д.15, корп.4"
23753,"Москва, Самаркандский бульв., д.15, корп.5"
23754,"Москва, Самаркандский бульв., д.15, корп.6"
23755,"Москва, Самаркандский бульв., д.17, корп.3"
23756,"Москва, Самаркандский бульв., д.17, корп.4"
23757,"Москва, Самаркандский бульв., д.18/26"
23758,"Москва, Самаркандский бульв., д.20, корп.1"
23759,"Москва, Самаркандский бульв., д.20, корп.2"
23760,"Москва, Самаркандский бульв., д.20, корп.3"
23761,"Москва, Самаркандский бульв., д.22, корп.1"
23762,"Москва, Самаркандский бульв., д.24, корп.1"
23763,"Москва, Самаркандский бульв., д.24, корп.2"
23764,"Москва, Самаркандский бульв., д.24, корп.3"
23765,"Москва, Самаркандский бульв., д.30, корп.1"
23766,"Москва, Самаркандский бульв., д.30, корп.2"
23767,"Москва, Самаркандский бульв., д.30, корп.3"
23768,"Москва, Самаркандский бульв., д.32, корп.1"
23769,"Москва, Самаркандский бульв., д.32, корп.2"
23770,"Москва, Самаркандский бульв., д.34, корп.1"
23771,"Москва, Самаркандский бульв., д.34, корп.2"
23772,"Москва, Самаркандский бульв., д.34, корп.3"
23773,"Москва, Самаркандский бульв., д.9, корп.1"
23774,"Москва, Самаркандский бульв., д.9, корп.2"
23775,"Москва, Самаркандский бульв., д.9, корп.3"
23776,"Москва, Самаркандский бульв., д.9, корп.4"
23777,"Москва, Самаркандский бульв., д.9, корп.5"
23778,"Москва, Самаркандский бульв., кварт.137А, корп.1"
23779,"Москва, Самаркандский бульв., кварт.137А, корп.11"
23780,"Москва, Самаркандский бульв., кварт.137А, корп.4"
23781,"Москва, Самаркандский бульв., кварт.137А, корп.5"
23782,"Москва, Самаркандский бульв., кварт.137А, корп.6"
23783,"Москва, Самаркандский бульв., кварт.137А, корп.7"
23784,"Москва, Самаркандский бульв., кварт.137А, корп.9"
23785,"Москва, Сормовская ул, д.17, корп.1"
23786,"Москва, Сормовская ул, д.17, корп.2"
23787,"Москва, Сормовская ул, д.17, корп.3"
23788,"Москва, Сормовская ул, д.17, корп.4"
23789,"Москва, Сормовская ул, д.17, корп.5"
23790,"Москва, Сормовская ул, д.17, корп.6"
23791,"Москва, Ташкентская ул, д.14, корп.1"
23792,"Москва, Ташкентская ул, д.14, корп.2"
23793,"Москва, Ташкентская ул, д.14, корп.3"
23794,"Москва, Ташкентская ул, д.14, корп.4"
23795,"Москва, Ташкентская ул, д.14, корп.5"
23796,"Москва, Ташкентская ул, д.15/22"
23797,"Москва, Ташкентская ул, д.16, корп.1"
23798,"Москва, Ташкентская ул, д.16, корп.2"
23799,"Москва, Ташкентская ул, д.16, корп.3"
23800,"Москва, Ташкентская ул, д.17, корп.1"
23801,"Москва, Ташкентская ул, д.17, корп.2"
23802,"Москва, Ташкентская ул, д.17, корп.3"
23803,"Москва, Ташкентская ул, д.18, корп.1"
23804,"Москва, Ташкентская ул, д.18, корп.2"
23805,"Москва, Ташкентская ул, д.19, корп.2"
23806,"Москва, Ташкентская ул, д.20"
23807,"Москва, Ташкентская ул, д.22, корп.1"
23808,"Москва, Ташкентская ул, д.22, корп.2"
23809,"Москва, Ташкентская ул, д.22, корп.3"
23810,"Москва, Ташкентская ул, д.23, корп.1"
23811,"Москва, Ташкентская ул, д.23, корп.2"
23812,"Москва, Ташкентская ул, д.23, корп.4"
23813,"Москва, Ташкентская ул, д.24, корп.1"
23814,"Москва, Ташкентская ул, д.24, корп.2"
23815,"Москва, Ташкентская ул, д.25, корп.1"
23816,"Москва, Ташкентская ул, д.25, корп.2, стр.1"
23817,"Москва, Ташкентская ул, д.25, корп.2, стр.2"
23818,"Москва, Ташкентская ул, д.27, корп.1"
23819,"Москва, Ташкентская ул, д.27, корп.2"
23820,"Москва, Ташкентская ул, д.27, корп.3"
23821,"Москва, Ташкентская ул, д.27, корп.4"
23822,"Москва, Ташкентская ул, д.29/179"
23823,"Москва, Ташкентская ул, д.35"
23824,"Москва, Ферганская ул, д.16, корп.1"
23825,"Москва, Ферганская ул, д.16, корп.2"
23826,"Москва, Ферганская ул, д.18, корп.1"
23827,"Москва, Ферганская ул, д.18, корп.2"
23828,"Москва, Ферганская ул, д.18, корп.3"
23829,"Москва, Ферганская ул, д.24"
23830,"Москва, Ферганская ул, д.28/7"
23831,"Москва, Ферганская ул, д.30"
23832,"Москва, Ферганский проезд, д.10, корп.2"
23833,"Москва, Ферганский проезд, д.10, корп.3"
23834,"Москва, Ферганский проезд, д.12"
23835,"Москва, Ферганский проезд, д.14, корп.2"
23836,"Москва, Ферганский проезд, д.14, корп.3"
23837,"Москва, Ферганский проезд, д.2/32"
23838,"Москва, Ферганский проезд, д.4"
23839,"Москва, Ферганский проезд, д.8"
23840,"Москва, 1-й Вешняковский проезд, д.8"
23841,"Москва, 1-й Институтский проезд, д.14"
23842,"Москва, 2-я Институтская ул, д.1/12"
23843,"Москва, 2-я Институтская ул, д.3"
23844,"Москва, 2-я Институтская ул, д.7"
23845,"Москва, 2-я Институтская ул, д.7Д"
23846,"Москва, 3-я Институтская ул, д.1"
23847,"Москва, 3-я Институтская ул, д.12"
23848,"Москва, 3-я Институтская ул, д.14"
23849,"Москва, 3-я Институтская ул, д.14А"
23850,"Москва, 3-я Институтская ул, д.15"
23851,"Москва, 3-я Институтская ул, д.17"
23852,"Москва, 3-я Институтская ул, д.2"
23853,"Москва, 3-я Институтская ул, д.3"
23854,"Москва, 3-я Институтская ул, д.4"
23855,"Москва, 3-я Институтская ул, д.5, корп.1"
23856,"Москва, 3-я Институтская ул, д.5, корп.2"
23857,"Москва, 3-я Институтская ул, д.6"
23858,"Москва, 4-й Вешняковский проезд, д.5, корп.1"
23859,"Москва, 4-й Вешняковский проезд, д.5, корп.2"
23860,"Москва, 4-й Вешняковский проезд, д.5, корп.3"
23861,"Москва, 4-й Вешняковский проезд, д.5, корп.4"
23862,"Москва, 4-й Вешняковский проезд, д.7"
23863,"Москва, 4-й Вешняковский проезд, д.8"
23864,"Москва, Вострухина ул, д.3"
23865,"Москва, Вострухина ул, д.7"
23866,"Москва, Михайлова ул, д.32/7"
23867,"Москва, Михайлова ул, д.34"
23868,"Москва, Михайлова ул, д.36/8"
23869,"Москва, Михайлова ул, д.38"
23870,"Москва, Михайлова ул, д.43"
23871,"Москва, Михайлова ул, д.45/9"
23872,"Москва, Михайлова ул, д.49, корп.1"
23873,"Москва, Михайлова ул, д.49, корп.2"
23874,"Москва, Михайлова ул, д.51/1"
23875,"Москва, Паперника ул, д.1"
23876,"Москва, Паперника ул, д.10"
23877,"Москва, Паперника ул, д.12"
23878,"Москва, Паперника ул, д.13"
23879,"Москва, Паперника ул, д.14"
23880,"Москва, Паперника ул, д.15"
23881,"Москва, Паперника ул, д.17"
23882,"Москва, Паперника ул, д.18"
23883,"Москва, Паперника ул, д.19"
23884,"Москва, Паперника ул, д.21"
23885,"Москва, Паперника ул, д.3"
23886,"Москва, Паперника ул, д.4"
23887,"Москва, Паперника ул, д.5"
23888,"Москва, Паперника ул, д.6, корп.1"
23889,"Москва, Паперника ул, д.6, корп.2"
23890,"Москва, Паперника ул, д.7, корп.1"
23891,"Москва, Паперника ул, д.7, корп.2"
23892,"Москва, Паперника ул, д.8"
23893,"Москва, Рязанский пр-кт, д.63"
23894,"Москва, Рязанский пр-кт, д.65"
23895,"Москва, Рязанский пр-кт, д.67/2"
23896,"Москва, Рязанский пр-кт, д.69"
23897,"Москва, Рязанский пр-кт, д.71, корп.1"
23898,"Москва, Рязанский пр-кт, д.71, корп.2"
23899,"Москва, Рязанский пр-кт, д.73"
23900,"Москва, Рязанский пр-кт, д.77"
23901,"Москва, Рязанский пр-кт, д.79"
23902,"Москва, Рязанский пр-кт, д.81/1"
23903,"Москва, Яснополянская ул, д.3, корп.1"
23904,"Москва, Яснополянская ул, д.3, корп.2"
23905,"Москва, Яснополянская ул, д.3, корп.3"
23906,"Москва, Яснополянская ул, д.5"
23907,"Москва, Яснополянская ул, д.6"
23908,"Москва, Яснополянская ул, д.7, корп.1"
23909,"Москва, Яснополянская ул, д.7, корп.2"
23910,"Москва, Яснополянская ул, д.9/4"
23911,"Москва, 40 лет Октября пр-кт, д.11"
23912,"Москва, 40 лет Октября пр-кт, д.12/10"
23913,"Москва, 40 лет Октября пр-кт, д.13"
23914,"Москва, 40 лет Октября пр-кт, д.14, корп.1"
23915,"Москва, 40 лет Октября пр-кт, д.14, корп.2"
23916,"Москва, 40 лет Октября пр-кт, д.15"
23917,"Москва, Высотный проезд, д.4"
23918,"Москва, Краснодарская ул, д.13"
23919,"Москва, Краснодарская ул, д.15/17"
23920,"Москва, Краснодарская ул, д.17"
23921,"Москва, Краснодарская ул, д.21"
23922,"Москва, Краснодарская ул, д.23"
23923,"Москва, Краснодарская ул, д.25, корп.2"
23924,"Москва, Краснодарская ул, д.25, корп.2, стр.1"
23925,"Москва, Краснодарская ул, д.33"
23926,"Москва, Краснодонская ул, д.1, корп.1"
23927,"Москва, Краснодонская ул, д.11"
23928,"Москва, Краснодонская ул, д.14, корп.1"
23929,"Москва, Краснодонская ул, д.14, корп.2"
23930,"Москва, Краснодонская ул, д.14, корп.3"
23931,"Москва, Краснодонская ул, д.14, стр.6"
23932,"Москва, Краснодонская ул, д.21, корп.1"
23933,"Москва, Краснодонская ул, д.21, корп.2"
23934,"Москва, Краснодонская ул, д.23, корп.1"
23935,"Москва, Краснодонская ул, д.23, корп.2"
23936,"Москва, Краснодонская ул, д.25"
23937,"Москва, Краснодонская ул, д.3, корп.1"
23938,"Москва, Краснодонская ул, д.3, корп.2"
23939,"Москва, Краснодонская ул, д.3, корп.3"
23940,"Москва, Краснодонская ул, д.5, стр.1"
23941,"Москва, Люблинская ул, д.1, стр.4А"
23942,"Москва, Люблинская ул, д.107/10"
23943,"Москва, Люблинская ул, д.109, корп.3"
23944,"Москва, Люблинская ул, д.113, корп.2"
23945,"Москва, Люблинская ул, д.113, корп.3"
23946,"Москва, Люблинская ул, д.50, стр.2"
23947,"Москва, Люблинская ул, д.50, стр.3"
23948,"Москва, Люблинская ул, д.54, стр.2"
23949,"Москва, Новороссийская ул, д.10"
23950,"Москва, Новороссийская ул, д.12"
23951,"Москва, Новороссийская ул, д.16, корп.2"
23952,"Москва, Спортивный проезд, д.3"
23953,"Москва, Спортивный проезд, д.4"
23954,"Москва, Спортивный проезд, д.6"
23955,"Москва, Спортивный проезд, д.8"
23956,"Москва, Ставропольская ул, д.12"
23957,"Москва, Ставропольская ул, д.14"
23958,"Москва, Ставропольская ул, д.15"
23959,"Москва, Ставропольская ул, д.15, корп.2"
23960,"Москва, Ставропольская ул, д.17, корп.2"
23961,"Москва, Ставропольская ул, д.18"
23962,"Москва, Ставропольская ул, д.19"
23963,"Москва, Ставропольская ул, д.2"
23964,"Москва, Ставропольская ул, д.20, корп.2"
23965,"Москва, Ставропольская ул, д.21А"
23966,"Москва, Ставропольская ул, д.22"
23967,"Москва, Ставропольская ул, д.28"
23968,"Москва, Ставропольская ул, д.30"
23969,"Москва, Ставропольская ул, д.32"
23970,"Москва, Ставропольская ул, д.34"
23971,"Москва, Ставропольская ул, д.4"
23972,"Москва, Ставропольская ул, д.6А"
23973,"Москва, Ставропольская ул, д.8, корп.2"
23974,"Москва, Таганрогская ул, д.1"
23975,"Москва, Таганрогская ул, д.10/21"
23976,"Москва, Таганрогская ул, д.11, корп.1"
23977,"Москва, Таганрогская ул, д.11, корп.2"
23978,"Москва, Таганрогская ул, д.11, корп.3"
23979,"Москва, Таганрогская ул, д.12"
23980,"Москва, Таганрогская ул, д.14"
23981,"Москва, Таганрогская ул, д.2"
23982,"Москва, Таганрогская ул, д.6, стр.1"
23983,"Москва, Таганрогская ул, д.6, стр.2"
23984,"Москва, Таганрогская ул, д.7"
23985,"Москва, Таганрогская ул, д.9"
23986,"Москва, Жигулёвская ул, д.22"
23987,"Москва, Окская ул, д.24, корп.1"
23988,"Москва, Окская ул, д.24, корп.2"
23989,"Москва, Волгоградский пр-кт, д.101, корп.1"
23990,"Москва, Волгоградский пр-кт, д.101, корп.2"
23991,"Москва, Волгоградский пр-кт, д.103, корп.1"
23992,"Москва, Волгоградский пр-кт, д.103, корп.2"
23993,"Москва, Волгоградский пр-кт, д.103, корп.3"
23994,"Москва, Волгоградский пр-кт, д.103, корп.4"
23995,"Москва, Волгоградский пр-кт, д.103, корп.5"
23996,"Москва, Волгоградский пр-кт, д.105, корп.2"
23997,"Москва, Волгоградский пр-кт, д.107, корп.1"
23998,"Москва, Волгоградский пр-кт, д.107, корп.2"
23999,"Москва, Волгоградский пр-кт, д.107, корп.3"
24000,"Москва, Волгоградский пр-кт, д.107, корп.4"
24001,"Москва, Волгоградский пр-кт, д.109, корп.1"
24002,"Москва, Волгоградский пр-кт, д.109, корп.2"
24003,"Москва, Волгоградский пр-кт, д.109, корп.3"
24004,"Москва, Волгоградский пр-кт, д.109, корп.4"
24005,"Москва, Волгоградский пр-кт, д.109, корп.5"
24006,"Москва, Волгоградский пр-кт, д.111, корп.2"
24007,"Москва, Волгоградский пр-кт, д.113, корп.1"
24008,"Москва, Волгоградский пр-кт, д.113, корп.2"
24009,"Москва, Волгоградский пр-кт, д.113, корп.3"
24010,"Москва, Волгоградский пр-кт, д.113, корп.4"
24011,"Москва, Волгоградский пр-кт, д.115, корп.1"
24012,"Москва, Волгоградский пр-кт, д.115, корп.2"
24013,"Москва, Волгоградский пр-кт, д.115, корп.3"
24014,"Москва, Волгоградский пр-кт, д.115, корп.4"
24015,"Москва, Волгоградский пр-кт, д.117, корп.2"
24016,"Москва, Волгоградский пр-кт, д.119/22"
24017,"Москва, Волгоградский пр-кт, д.91"
24018,"Москва, Волгоградский пр-кт, д.95"
24019,"Москва, Волгоградский пр-кт, д.97, корп.1"
24020,"Москва, Волгоградский пр-кт, д.97, корп.2"
24021,"Москва, Волгоградский пр-кт, д.97, корп.3"
24022,"Москва, Волгоградский пр-кт, д.97, корп.4"
24023,"Москва, Волгоградский пр-кт, д.99, корп.1"
24024,"Москва, Волгоградский пр-кт, д.99, корп.2"
24025,"Москва, Волгоградский пр-кт, д.99, корп.3"
24026,"Москва, Волгоградский пр-кт, д.99, корп.4"
24027,"Москва, Жигулёвская ул, д.10"
24028,"Москва, Жигулёвская ул, д.12, корп.1"
24029,"Москва, Жигулёвская ул, д.12, корп.2"
24030,"Москва, Жигулёвская ул, д.12, корп.3"
24031,"Москва, Жигулёвская ул, д.12, корп.4"
24032,"Москва, Жигулёвская ул, д.12, корп.5"
24033,"Москва, Жигулёвская ул, д.12, корп.6"
24034,"Москва, Жигулёвская ул, д.14"
24035,"Москва, Жигулёвская ул, д.16"
24036,"Москва, Жигулёвская ул, д.18"
24037,"Москва, Жигулёвская ул, д.20"
24038,"Москва, Жигулёвская ул, д.4, корп.1"
24039,"Москва, Жигулёвская ул, д.4, корп.2"
24040,"Москва, Жигулёвская ул, д.6, корп.1"
24041,"Москва, Жигулёвская ул, д.6, корп.2"
24042,"Москва, Жигулёвская ул, д.6, корп.3"
24043,"Москва, Жигулёвская ул, д.8"
24044,"Москва, Окская ул, д.10"
24045,"Москва, Окская ул, д.12, корп.1"
24046,"Москва, Окская ул, д.14, корп.1"
24047,"Москва, Окская ул, д.16, корп.1"
24048,"Москва, Окская ул, д.16, корп.2"
24049,"Москва, Окская ул, д.18, корп.1"
24050,"Москва, Окская ул, д.18, корп.2"
24051,"Москва, Окская ул, д.2"
24052,"Москва, Окская ул, д.2/15, корп.1"
24053,"Москва, Окская ул, д.2/15, корп.2"
24054,"Москва, Окская ул, д.20, корп.1"
24055,"Москва, Окская ул, д.22/2"
24056,"Москва, Окская ул, д.28"
24057,"Москва, Окская ул, д.4, корп.1"
24058,"Москва, Окская ул, д.4, корп.2"
24059,"Москва, Окская ул, д.4, корп.3"
24060,"Москва, Окская ул, д.6, корп.1"
24061,"Москва, Окская ул, д.6, корп.2"
24062,"Москва, Окская ул, д.8, корп.1"
24063,"Москва, Окская ул, д.8, корп.2"
24064,"Москва, Армавирская ул, д.23/18"
24065,"Москва, Армавирская ул, д.25"
24066,"Москва, Армавирская ул, д.27/23"
24067,"Москва, Армавирская ул, д.4, корп.2"
24068,"Москва, Армавирская ул, д.5"
24069,"Москва, Армавирская ул, д.6"
24070,"Москва, Армавирская ул, д.8/23"
24071,"Москва, Краснодарская ул, д.20/1"
24072,"Москва, Краснодарская ул, д.27/13"
24073,"Москва, Краснодарская ул, д.28/15"
24074,"Москва, Краснодарская ул, д.30"
24075,"Москва, Краснодарская ул, д.32"
24076,"Москва, Краснодарская ул, д.34"
24077,"Москва, Краснодарская ул, д.35"
24078,"Москва, Краснодарская ул, д.38/20"
24079,"Москва, Краснодарская ул, д.44/13"
24080,"Москва, Краснодарская ул, д.46"
24081,"Москва, Краснодарская ул, д.48"
24082,"Москва, Краснодонская ул, д.27"
24083,"Москва, Краснодонская ул, д.39"
24084,"Москва, Краснодонская ул, д.49/17"
24085,"Москва, Новороссийская ул, д.14"
24086,"Москва, Новороссийская ул, д.15"
24087,"Москва, Новороссийская ул, д.16"
24088,"Москва, Новороссийская ул, д.17"
24089,"Москва, Новороссийская ул, д.18/37"
24090,"Москва, Новороссийская ул, д.19"
24091,"Москва, Новороссийская ул, д.21"
24092,"Москва, Новороссийская ул, д.22/31"
24093,"Москва, Новороссийская ул, д.24, корп.1"
24094,"Москва, Новороссийская ул, д.24, корп.2"
24095,"Москва, Новороссийская ул, д.3"
24096,"Москва, Новороссийская ул, д.4"
24097,"Москва, Новороссийская ул, д.5, корп.1"
24098,"Москва, Новороссийская ул, д.5, корп.2"
24099,"Москва, Новороссийская ул, д.7"
24100,"Москва, Новороссийская ул, д.8"
24101,"Москва, Совхозная ул, д.12"
24102,"Москва, Совхозная ул, д.18, корп.1"
24103,"Москва, Совхозная ул, д.19"
24104,"Москва, Совхозная ул, д.20"
24105,"Москва, Совхозная ул, д.25/14"
24106,"Москва, Совхозная ул, д.29"
24107,"Москва, Совхозная ул, д.31"
24108,"Москва, Совхозная ул, д.31А"
24109,"Москва, Совхозная ул, д.37"
24110,"Москва, Совхозная ул, д.39"
24111,"Москва, Совхозная ул, д.41"
24112,"Москва, Совхозная ул, д.49"
24113,"Москва, Совхозная ул, д.53, корп.1"
24114,"Москва, Совхозная ул, д.53, корп.2"
24115,"Москва, Ставропольская ул, д.16"
24116,"Москва, Ставропольская ул, д.20"
24117,"Москва, Ставропольская ул, д.31"
24118,"Москва, Ставропольская ул, д.36"
24119,"Москва, Ставропольская ул, д.37, корп.1"
24120,"Москва, Ставропольская ул, д.37, корп.2"
24121,"Москва, Ставропольская ул, д.37, корп.3"
24122,"Москва, Ставропольская ул, д.37, корп.4"
24123,"Москва, Ставропольская ул, д.37, корп.5"
24124,"Москва, Ставропольская ул, д.37, корп.6"
24125,"Москва, Ставропольская ул, д.37, корп.7"
24126,"Москва, Ставропольская ул, д.42"
24127,"Москва, Ставропольская ул, д.44"
24128,"Москва, Ставропольская ул, д.46"
24129,"Москва, Ставропольская ул, д.48"
24130,"Москва, Судакова ул, д.15"
24131,"Москва, Судакова ул, д.16/47"
24132,"Москва, Судакова ул, д.22/10"
24133,"Москва, Судакова ул, д.24"
24134,"Москва, Судакова ул, д.25"
24135,"Москва, Судакова ул, д.25, корп.1"
24136,"Москва, Судакова ул, д.25, корп.2"
24137,"Москва, Судакова ул, д.25, корп.3"
24138,"Москва, Судакова ул, д.26"
24139,"Москва, Судакова ул, д.27"
24140,"Москва, Судакова ул, д.28"
24141,"Москва, Судакова ул, д.30"
24142,"Москва, Таганрогская ул, д.17"
24143,"Москва, Таганрогская ул, д.19"
24144,"Москва, Таганрогская ул, д.21"
24145,"Москва, Таганрогская ул, д.27"
24146,"Москва, Рязанский пр-кт, д.99, корп.2"
24147,"Москва, Тополёвая аллея, д.1"
24148,"Москва, Академика Скрябина ул, д.25/1, корп.1"
