"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 398";"109542, Москва, ул. Хлобыстова, д. 14, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"371-09-81";"sch398uv.mskobr.ru";"SH_398@mail.ru";20
2;"Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893";"109388, г. Москва, ул. Гурьянова, д. 59";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"354-90-06";"http://pgymuv1893.mskobr.ru/";"progimnaz1893@mail.ru";29
3;"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989";"109451, г. Москва, ул. Белореченская, д. 45, к. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 654-96-27; (495) 654-96-25";"couv1989.mskobr.ru";"co1989@yandex.ru";38
4;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112";"109316, г.Москва, Волгоградский проспект, д.27";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"676-03-11";"schuvv112.mskobr.ru";"vssh112@mail.ru";42
5;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 185";"""111033, г.Москва, Танковый пр-д, д.6";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(495) 362-32-21";"schuvv185.mskobr.ru";"school185@mail.ru";47
6;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1274 имени В.В.Маяковского";"115088, г. Москва, ул. 1-я Дубровская, д. 16";"Юго-Восточный административный округ";"Южнопортовый район";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 674-20-47; (495) 674-20-40";"gymg1274.mskobr.ru";"1274@gymnasium1274.msk.ru";51
7;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1562 имени Артема Боровика";"109341, г.Москва, ул. Братиславская, дом 4";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"349-00-11";"gymuv1562.mskobr.ru";"gimn1562@uvuo.ru";84
8;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1566";"109652, г. Москва, Мячковский бульвар, дом 14, к. 3";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 784-88-69";"gymuv1566.mskobr.ru/";"gymnasium_1566@mail.ru";86
9;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1595";"140008, город Москва, 2-я Вольская улица, дом 7, корпус 2";"Юго-Восточный административный округ";"район Некрасовка";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 211-26-10; (499) 211-26-12; (499) 211-26-15";"gymuv1595.mskobr.ru";"mail@gbou1595.ru";104
10;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1597";"109444, г. Москва, ул. Ташкентская, д. 6";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"376-43-59";"gymuv1597.mskobr.ru";"gim1597@mail.ru";106
