OBJECTID;ADDRESS;settlement;street;building_n;geocoded;POINT_X;POINT_Y;ID;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
1;Москва, дер. Щербинка, д.8; ; ; ;Россия, Москва, деревня Щербинка;37.583122;55.512601;18593;2067;0.004458;37.581054;55.508652
2;Москва, дер. Щербинка, д.9; ; ; ;Россия, Москва, деревня Щербинка;37.583122;55.512601;18594;2067;0.004458;37.581054;55.508652
3;Москва, Николая Сироткина ул, д.2, корп.1; ; ; ;Россия, Москва, деревня Захарьино, улица Николая Сироткина, 2к1;37.578208;55.498106;18595;748;0.005126;37.578833;55.503195
4;Москва, Николая Сироткина ул, д.2, корп.2; ; ; ;Россия, Москва, деревня Захарьино, улица Николая Сироткина, 2к2;37.579114;55.497684;18596;748;0.005518;37.578833;55.503195
5;Москва, Николая Сироткина ул, д.2, корп.3; ; ; ;Россия, Москва, деревня Захарьино, улица Николая Сироткина, 2к3;37.5788;55.497234;18597;748;0.00596;37.578833;55.503195
6;Москва, Николая Сироткина ул, д.2, корп.4; ; ; ;Россия, Москва, деревня Захарьино, улица Николая Сироткина, 2к4;37.577713;55.497739;18598;748;0.005568;37.578833;55.503195
7;Москва, Изюмская ул, д.49, корп.2; ; ; ;Россия, Москва, Изюмская улица, 49к1;37.566377;55.545722;18599;1555;0.003481;37.563853;55.54812
8;Москва, Изюмская ул, д.51; ; ; ;Россия, Москва, Изюмская улица, 49;37.565865;55.546352;18600;1555;0.002677;37.563853;55.54812
9;Москва, 1-й Миргородский пер, д.1; ; ; ;Россия, Москва, 1-й Миргородский переулок, 1;37.568614;55.538263;18601;752;0.008499;37.561426;55.5428
10;Москва, 1-й Миргородский пер, д.11; ; ; ;Россия, Москва, 1-й Миргородский переулок, 11;37.567068;55.539283;18602;752;0.006649;37.561426;55.5428
11;Москва, 1-й Миргородский пер, д.13; ; ; ;Россия, Москва, 1-й Миргородский переулок, 13;37.566269;55.539324;18603;752;0.005962;37.561426;55.5428
12;Москва, 1-й Миргородский пер, д.15; ; ; ;Россия, Москва, 1-й Миргородский переулок, 15;37.566395;55.53887;18604;752;0.006334;37.561426;55.5428
13;Москва, 1-й Миргородский пер, д.1А; ; ; ;Россия, Москва, 1-й Миргородский переулок, 1а;37.568893;55.537709;18605;752;0.009037;37.561426;55.5428
14;Москва, 1-й Миргородский пер, д.2; ; ; ;Россия, Москва, 1-й Миргородский переулок, 2;37.568632;55.539603;18606;752;0.007882;37.561426;55.5428
15;Москва, 1-й Миргородский пер, д.3; ; ; ;Россия, Москва, 1-й Миргородский переулок, 3;37.568469;55.538533;18607;752;0.008235;37.561426;55.5428
16;Москва, 1-й Миргородский пер, д.5; ; ; ;Россия, Москва, 1-й Миргородский переулок, 5;37.568578;55.53886;18608;752;0.008165;37.561426;55.5428
17;Москва, 1-й Миргородский пер, д.7; ; ; ;Россия, Москва, 1-й Миргородский переулок, 7;37.568578;55.539135;18609;752;0.008035;37.561426;55.5428
18;Москва, 1-й Миргородский пер, д.9; ; ; ;Россия, Москва, 1-й Миргородский переулок, 9;37.567878;55.539236;18610;752;0.00737;37.561426;55.5428
19;Москва, 2-й Миргородский пер, д.1А; ; ; ;Россия, Москва, 2-й Миргородский переулок, 1а;37.567553;55.53888;18611;752;0.007273;37.561426;55.5428
20;Москва, 2-й Миргородский пер, д.3; ; ; ;Россия, Москва, 2-й Миргородский переулок, 3;37.567535;55.538651;18612;752;0.007384;37.561426;55.5428
21;Москва, 2-й Миргородский пер, д.4; ; ; ;Россия, Москва, 2-й Миргородский переулок, 4;37.566512;55.538421;18613;752;0.00671;37.561426;55.5428
22;Москва, 2-й Миргородский пер, д.5; ; ; ;Россия, Москва, 2-й Миргородский переулок, 5;37.567527;55.538448;18614;752;0.007494;37.561426;55.5428
23;Москва, 2-й Миргородский пер, д.7; ; ; ;Россия, Москва, 2-й Миргородский переулок, 7;37.567517;55.538218;18615;752;0.007622;37.561426;55.5428
24;Москва, 2-й Миргородский пер, д.9; ; ; ;Россия, Москва, 2-й Миргородский переулок, 9;37.567698;55.537892;18616;752;0.007963;37.561426;55.5428
25;Москва, Изюмская ул, д.49, корп.1; ; ; ;Россия, Москва, Изюмская улица, 49к1;37.566377;55.545722;18617;1555;0.003481;37.563853;55.54812
26;Москва, Изюмская ул, д.49, корп.3; ; ; ;Россия, Москва, Изюмская улица, 49к3;37.568417;55.545273;18618;1555;0.005379;37.563853;55.54812
27;Москва, Изюмская ул, д.49, корп.4; ; ; ;Россия, Москва, Изюмская улица, 49к4;37.567553;55.5446;18619;1555;0.005106;37.563853;55.54812
28;Москва, Изюмская ул, д.53; ; ; ;Россия, Москва, Изюмская улица, 53;37.564635;55.544636;18620;1555;0.003569;37.563853;55.54812
29;Москва, Изюмская ул, д.53, корп.1; ; ; ;Россия, Москва, Изюмская улица, 53к1;37.56538;55.544289;18621;1555;0.004123;37.563853;55.54812
30;Москва, Изюмская ул, д.53, корп.2; ; ; ;Россия, Москва, Изюмская улица, 53к2;37.566071;55.544035;18622;1555;0.004647;37.563853;55.54812
