"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Автономная некоммерческая образовательная организация ""Негосударственная общеобразовательная школа ""Ясенево""";"";"Юго-Западный административный округ";"район Ясенево";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа с углубленным изучением отдельных предметов";"421-85-77";"nouschjasenevo.mskobr.ru";"School-yasenevo@bk.ru";2
2;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 115";"117485, г. Москва, улица Бутлерова, дом 5Б, строение 1";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"334-99-10";"";"dir115@bk.ru";43
3;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 182";"117449, г.Москва, ул. Гримау, дом 11а";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"126-06-73";"";"sch182@mosuzedu.ru";46
4;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1507";"117321,  г. Москва, ул. Профсоюзная, дом 132, корп.9";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"420-70-44";"http://www.gumuz1507.mskobr.ru";"gym1507@mosuzedu.ru";57
5;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1514";"119311, г.Москва, ул.Крупской, д.12";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"131-80-38";"http://gumuz1514.mskobr.ru/";"gum52@yandex.ru";60
6;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1532";"117465, г. Москва, ул. Теплый Стан, дом 13, корпус 3";"Юго-Западный административный округ";"район Тёплый Стан";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"338-76-55";"";"";73
7;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1534";"117036, г.Москва, ул.Кедрова, д.11";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"125-59-82";"http://gumuz1534.mskobr.ru/";"gym1534@mail.ru";74
8;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1536";"119261, г.Москва, Ленинский проспект, дом 83 А";"Юго-Западный административный округ";"Ломоносовский район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"134-34-12";"";"gimn1536@mosuzedu.ru";75
9;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1786";"117041, г.Москва, ул. Адмирала Лазарева, д. 77";"Юго-Западный административный округ";"район Южное Бутово";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 793-77-09";"http://gymuz1786.mskobr.ru/";"potapovo1786@mail.ru";109
10;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 45 имени Л.И.Мильграма";"117036, г. Москва, ул. Гримау, д.8";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"779-77-69";"";"po@ms45.edu.ru";113
