OBJECTID;ADDRESS;ID;POINT_X;POINT_Y;NEAR_FID;NEAR_DIST;NEAR_X;NEAR_Y
2501;Москва, 3-я Гражданская ул, д.6;2501;37.706506;55.811791;43;0.004354;37.708281;55.807815
2502;Москва, 3-я Гражданская ул, д.70;2502;37.713566;55.807956;228;0.001442;37.712353;55.807176
2503;Москва, 4-я Гражданская ул, д.32;2503;37.71698;55.808169;116;0.003627;37.720354;55.809501
2504;Москва, 4-я Гражданская ул, д.34, корп.1;2504;37.718067;55.807739;116;0.002887;37.720354;55.809501
2505;Москва, 4-я Гражданская ул, д.34, корп.2;2505;37.717034;55.807537;116;0.003857;37.720354;55.809501
2506;Москва, 4-я Гражданская ул, д.34, корп.3;2506;37.716046;55.807359;228;0.003697;37.712353;55.807176
2507;Москва, 4-я Гражданская ул, д.34, корп.3, стр.1;2507;37.716288;55.807926;228;0.004005;37.712353;55.807176
2508;Москва, 4-я Гражданская ул, д.35;2508;37.714815;55.809565;227;0.003302;37.711679;55.80853
2509;Москва, 4-я Гражданская ул, д.36;2509;37.718973;55.807238;116;0.00265;37.720354;55.809501
2510;Москва, 4-я Гражданская ул, д.37, корп.1;2510;37.716585;55.808918;116;0.003813;37.720354;55.809501
2511;Москва, 4-я Гражданская ул, д.37, корп.2;2511;37.717312;55.808513;116;0.003198;37.720354;55.809501
2512;Москва, 4-я Гражданская ул, д.39, корп.1;2512;37.719082;55.80786;116;0.002076;37.720354;55.809501
2513;Москва, 4-я Гражданская ул, д.39, корп.2;2513;37.718363;55.808098;116;0.002435;37.720354;55.809501
2514;Москва, 4-я Гражданская ул, д.39, корп.3;2514;37.719423;55.80913;116;0.001002;37.720354;55.809501
2515;Москва, 4-я Гражданская ул, д.39, корп.4;2515;37.720456;55.808827;116;0.000681;37.720354;55.809501
2516;Москва, 4-я Гражданская ул, д.39, корп.5;2516;37.719917;55.808533;116;0.001062;37.720354;55.809501
2517;Москва, 4-я Гражданская ул, д.39, корп.6;2517;37.719504;55.808199;116;0.001554;37.720354;55.809501
2518;Москва, 4-я Гражданская ул, д.39, корп.7;2518;37.719082;55.808609;116;0.001553;37.720354;55.809501
2519;Москва, 4-я Гражданская ул, д.43, корп.1;2519;37.721534;55.806849;251;0.000799;37.722008;55.807493
2520;Москва, 4-я Гражданская ул, д.43, корп.2;2520;37.720762;55.807208;251;0.001278;37.722008;55.807493
2521;Москва, 4-я Гражданская ул, д.43, корп.3;2521;37.721166;55.807542;251;0.000843;37.722008;55.807493
2522;Москва, 4-я Гражданская ул, д.43, корп.4;2522;37.721588;55.807875;251;0.000567;37.722008;55.807493
2523;Москва, 4-я Гражданская ул, д.43, корп.5;2523;37.721876;55.808265;251;0.000783;37.722008;55.807493
2524;Москва, 4-я Гражданская ул, д.43, корп.6;2524;37.722576;55.807714;251;0.000609;37.722008;55.807493
2525;Москва, 4-я Гражданская ул, д.43, корп.7;2525;37.722442;55.807127;251;0.000567;37.722008;55.807493
2526;Москва, Алымов пер, д.13;2526;37.711482;55.806707;228;0.000989;37.712353;55.807176
2527;Москва, Алымов пер, д.17, корп.1;2527;37.712866;55.80782;228;0.000823;37.712353;55.807176
