"OBJECTID";"ADDRESS";"ID";"POINT_X";"POINT_Y";"NEAR_FID";"NEAR_DIST";"NEAR_X";"NEAR_Y"
1;"Москва, Авиаторов ул, д.1";27464;37,398581;55,640822;15;0,006026;37,399572;55,646767
2;"Москва, Волынская ул, д.12, корп.2";27465;37,409819;55,642860;25;0,001674;37,408218;55,642369
3;"Москва, Авиаторов ул, д.10";27466;37,395095;55,646628;52;0,004345;37,398732;55,649009
4;"Москва, Авиаторов ул, д.11, корп.1";27467;37,409081;55,639110;25;0,003371;37,408218;55,642369
5;"Москва, Авиаторов ул, д.12";27468;37,395894;55,645755;15;0,003813;37,399572;55,646767
6;"Москва, Авиаторов ул, д.14";27469;37,398221;55,645197;15;0,002070;37,399572;55,646767
7;"Москва, Авиаторов ул, д.16";27470;37,399399;55,645303;15;0,001473;37,399572;55,646767
8;"Москва, Авиаторов ул, д.18";27471;37,399982;55,644657;27;0,002070;37,401337;55,646224
9;"Москва, Авиаторов ул, д.2";27472;37,392437;55,646811;52;0,006667;37,398732;55,649009
10;"Москва, Авиаторов ул, д.20";27473;37,401985;55,643907;27;0,002406;37,401337;55,646224
11;"Москва, Авиаторов ул, д.30";27474;37,409819;55,641660;25;0,001750;37,408218;55,642369
12;"Москва, Авиаторов ул, д.4";27475;37,394062;55,646955;52;0,005100;37,398732;55,649009
13;"Москва, Авиаторов ул, д.6";27476;37,394521;55,647691;52;0,004412;37,398732;55,649009
14;"Москва, Авиаторов ул, д.6, корп.1";27477;37,394026;55,648092;52;0,004793;37,398732;55,649009
15;"Москва, Авиаторов ул, д.6, корп.2";27478;37,394987;55,648184;52;0,003833;37,398732;55,649009
16;"Москва, Авиаторов ул, д.7, корп.1";27479;37,404536;55,640542;25;0,004109;37,408218;55,642369
17;"Москва, Авиаторов ул, д.8";27480;37,396003;55,647355;52;0,003190;37,398732;55,649009
18;"Москва, Авиаторов ул, д.8, корп.1";27481;37,397170;55,647112;15;0,002425;37,399572;55,646767
19;"Москва, Авиаторов ул, д.9";27482;37,405982;55,640111;25;0,003177;37,408218;55,642369
20;"Москва, Авиаторов ул, д.9, корп.1";27483;37,406226;55,640893;25;0,002478;37,408218;55,642369
21;"Москва, Авиаторов ул, д.9, корп.1, стр.1";27484;37,405309;55,641050;25;0,003193;37,408218;55,642369
22;"Москва, Авиаторов ул, д.9, корп.2А";27485;37,406503;55,640588;25;0,002471;37,408218;55,642369
23;"Москва, Авиаторов ул, д.9, стр.1";27486;37,406226;55,640893;25;0,002478;37,408218;55,642369
24;"Москва, Авиаторов ул, д.9А";27487;37,405982;55,640111;25;0,003177;37,408218;55,642369
25;"Москва, Богданова ул, д.48";27488;37,395741;55,650606;52;0,003390;37,398732;55,649009
26;"Москва, Богданова ул, д.48, корп.1";27489;37,396155;55,650129;52;0,002808;37,398732;55,649009
27;"Москва, Богданова ул, д.48, корп.2";27490;37,395248;55,650074;52;0,003643;37,398732;55,649009
28;"Москва, Богданова ул, д.52, корп.2";27491;37,397494;55,649413;52;0,001302;37,398732;55,649009
29;"Москва, Богданова ул, д.54";27492;37,392274;55,648813;52;0,006459;37,398732;55,649009
30;"Москва, Богданова ул, д.58";27493;37,391663;55,648087;52;0,007127;37,398732;55,649009
31;"Москва, Волынская ул, д.10";27494;37,411246;55,643505;45;0,003157;37,409109;55,645829
32;"Москва, Волынская ул, д.12, корп.1";27495;37,409819;55,642860;25;0,001674;37,408218;55,642369
33;"Москва, Солнцевский пр-кт, д.1";27496;37,396614;55,651811;52;0,003512;37,398732;55,649009
34;"Москва, Солнцевский пр-кт, д.11";27497;37,403998;55,649591;3;0,002236;37,402272;55,648169
35;"Москва, Солнцевский пр-кт, д.5";27498;37,398355;55,651373;52;0,002394;37,398732;55,649009
36;"Москва, Солнцевский пр-кт, д.5, корп.1";27499;37,399487;55,650332;52;0,001524;37,398732;55,649009
37;"Москва, Солнцевский пр-кт, д.5, корп.2";27500;37,400134;55,649571;52;0,001511;37,398732;55,649009
38;"Москва, Солнцевский пр-кт, д.7";27501;37,400297;55,648889;52;0,001569;37,398732;55,649009
39;"Москва, Солнцевский пр-кт, д.7, корп.1";27502;37,401437;55,648905;3;0,001112;37,402272;55,648169
40;"Москва, Солнцевский пр-кт, д.7, корп.2";27503;37,400907;55,648351;3;0,001376;37,402272;55,648169
41;"Москва, Солнцевский пр-кт, д.9";27504;37,400450;55,650692;48;0,002232;37,401933;55,652362
42;"Москва, Солнцевский пр-кт, д.9, корп.1";27505;37,402218;55,649647;3;0,001478;37,402272;55,648169
43;"Москва, Солнцевский пр-кт, д.9, корп.2";27506;37,402865;55,649052;3;0,001065;37,402272;55,648169
44;"Москва, Щорса ул, д.8";27507;37,404456;55,645094;27;0,003317;37,401337;55,646224
45;"Москва, Щорса ул, д.8, корп.1";27508;37,403215;55,645282;27;0,002101;37,401337;55,646224
46;"Москва, 1-й Сетуньский проезд, д.1";27509;37,541494;55,731150;66;0,008550;37,532950;55,730826
47;"Москва, 1-й Сетуньский проезд, д.16, корп.2";27510;37,538924;55,733299;66;0,006466;37,532950;55,730826
48;"Москва, 1-й Сетуньский проезд, д.10";27511;37,539077;55,732230;66;0,006286;37,532950;55,730826
49;"Москва, 1-й Сетуньский проезд, д.12";27512;37,539544;55,732742;66;0,006867;37,532950;55,730826
50;"Москва, 1-й Сетуньский проезд, д.16/2";27513;37,538924;55,733299;66;0,006466;37,532950;55,730826
51;"Москва, 2-й Мосфильмовский пер, д.1";27514;37,523536;55,722715;113;0,005037;37,523246;55,727744
52;"Москва, 2-й Мосфильмовский пер, д.10";27515;37,524299;55,724250;113;0,003648;37,523246;55,727744
53;"Москва, 2-й Мосфильмовский пер, д.12";27516;37,523582;55,725964;113;0,001810;37,523246;55,727744
54;"Москва, 2-й Мосфильмовский пер, д.14";27517;37,523419;55,726293;113;0,001460;37,523246;55,727744
55;"Москва, 2-й Мосфильмовский пер, д.18";27518;37,522053;55,727283;113;0,001278;37,523246;55,727744
56;"Москва, 2-й Мосфильмовский пер, д.21";27519;37,520751;55,728326;113;0,002561;37,523246;55,727744
57;"Москва, 2-й Мосфильмовский пер, д.24";27520;37,521901;55,728124;113;0,001396;37,523246;55,727744
58;"Москва, 2-й Мосфильмовский пер, д.3";27521;37,523627;55,723070;113;0,004689;37,523246;55,727744
59;"Москва, 2-й Мосфильмовский пер, д.4";27522;37,524507;55,723202;113;0,004713;37,523246;55,727744
