"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"29971";"347";"476"
"29972";"192";"271"
"29973";"2209";"3004"
"29974";"1877";"2499"
"29975";"1819";"2414"
"29976";"1819";"2414"
"29977";"1819";"2414"
"29978";"216";"270"
"29979";"333";"428"
"29980";"3";"4"
"29981";"259";"371"
"29982";"165";"238"
"29983";"508";"679"
"29984";"354";"456"
"29985";"1618";"2099"
"29986";"2345";"3157"
"29987";"1189";"1622"
"29988";"759";"988"
"29989";"510";"686"
"29990";"457";"624"
"29991";"791";"1036"
"29992";"724";"973"
"29993";"724";"973"
"29994";"194";"259"
"29995";"516";"667"
"29996";"188";"254"
"29997";"107";"152"
"29998";"107";"152"
"29999";"107";"152"
"30000";"428";"622"
"30001";"313";"447"
"30002";"1251";"1691"
"30003";"1251";"1691"
"30004";"192";"271"
"30005";"16428";"22318"
"30006";"399";"563"
"30007";"1744";"2329"
"30008";"1100";"1519"
"30009";"909";"1243"
"30010";"194";"265"
"30011";"194";"265"
"30012";"194";"265"
"30013";"338";"437"
"30014";"522";"700"
"30015";"436";"569"
"30016";"654";"883"
"30017";"436";"569"
"30018";"218";"305"
"30019";"218";"305"
"30020";"491";"686"
"30021";"469";"653"
"30022";"384";"543"
"30023";"344";"482"
"30024";"305";"423"
"30025";"378";"533"
"30026";"401";"565"
"30027";"1181";"1632"
"30028";"807";"1097"
"30029";"711";"953"
"30030";"694";"944"
"30031";"448";"591"
"30032";"1074";"1483"
"30033";"909";"1243"
"30034";"931";"1279"
"30035";"974";"1337"
"30036";"989";"1363"
"30037";"1100";"1519"
"30038";"391";"524"
"30039";"165";"219"
"30040";"299";"385"
"30041";"84";"118"
"30042";"27";"38"
"30043";"313";"411"
"30044";"55";"82"
"30045";"36";"49"
"30046";"326";"440"
"30047";"336";"456"
"30048";"107";"146"
"30049";"106";"143"
"30050";"122";"175"
"30051";"24";"33"
"30052";"5";"7"
"30053";"189";"258"
"30054";"202";"276"
"30055";"185";"241"
"30056";"298";"412"
"30057";"298";"412"
"30058";"4";"7"
"30059";"273";"380"
"30060";"194";"265"
"30061";"124";"172"
"30062";"257";"349"
"30063";"232";"320"
"30064";"224";"309"
"30065";"102";"138"
"30066";"192";"262"
"30067";"197";"274"
"30068";"91";"129"
"30069";"148";"206"
"30070";"139";"191"
"30071";"267";"365"
"30072";"315";"444"
"30073";"271";"378"
"30074";"218";"306"
"30075";"371";"523"
"30076";"309";"354"
"30077";"223";"310"
"30078";"218";"305"
"30079";"1";"1"
"30080";"3";"3"
"30081";"112";"163"
"30082";"67";"94"
"30083";"413";"493"
"30084";"474";"554"
"30085";"342";"400"
"30086";"2062";"2776"
"30087";"2098";"2823"
"30088";"2217";"2982"
"30089";"223";"309"
"30090";"179";"251"
"30091";"186";"256"
"30092";"81";"112"
"30093";"72";"99"
"30094";"759";"1027"
"30095";"2368";"3190"
"30096";"2385";"3212"
"30097";"760";"1025"
"30098";"735";"990"
"30099";"2394";"3221"
"30100";"787";"1061"
"30101";"805";"1084"
"30102";"2376";"3193"
"30103";"233";"319"
"30104";"274";"382"
"30105";"235";"325"
"30106";"327";"459"
"30107";"600";"789"
"30108";"662";"878"
"30109";"572";"757"
"30110";"509";"666"
"30111";"288";"405"
"30112";"373";"527"
"30113";"616";"817"
"30114";"299";"416"
"30115";"273";"388"
"30116";"174";"236"
"30117";"198";"279"
"30118";"196";"264"
"30119";"299";"416"
"30120";"198";"279"
"30121";"150";"219"
"30122";"273";"388"
"30123";"174";"236"
"30124";"150";"219"
"30125";"171";"242"
"30126";"192";"246"
"30127";"236";"311"
"30128";"136";"183"
"30129";"321";"432"
"30130";"304";"393"
"30131";"356";"478"
"30132";"529";"717"
"30133";"470";"630"
"30134";"370";"499"
"30135";"333";"453"
"30136";"369";"506"
"30137";"417";"576"
"30138";"542";"756"
"30139";"406";"542"
"30140";"995";"1355"
"30141";"598";"727"
"30142";"379";"500"
"30143";"342";"446"
"30144";"1253";"1722"
"30145";"1201";"1642"
"30146";"1242";"1693"
"30147";"938";"1279"
"30148";"1277";"1744"
"30149";"1054";"1439"
"30150";"777";"1051"
"30151";"1156";"1580"
"30152";"1161";"1589"
"30153";"232";"303"
"30154";"246";"322"
"30155";"169";"220"
"30156";"42";"52"
"30157";"176";"240"
"30158";"176";"240"
"30159";"401";"552"
"30160";"787";"1061"
"30161";"787";"1061"
"30162";"759";"1027"
"30163";"198";"279"
"30164";"273";"388"
"30165";"171";"242"
"30166";"171";"242"
"30167";"245";"318"
"30168";"233";"304"
"30169";"16865";"22945"
"30170";"16648";"22635"
"30171";"16741";"22774"
"30172";"16638";"22617"
"30173";"16506";"22430"
"30174";"16544";"22485"
"30175";"16508";"22432"
"30176";"16359";"22219"
"30177";"16428";"22318"
"30178";"16395";"22265"
"30179";"16811";"22873"
"30180";"16830";"22903"
"30181";"16883";"22960"
"30182";"16852";"22917"
"30183";"16668";"22646"
"30184";"16708";"22703"
"30185";"16498";"22412"
"30186";"17027";"23183"
"30187";"17045";"23209"
"30188";"16943";"23053"
"30189";"241";"331"
"30190";"329";"454"
"30191";"406";"569"
"30192";"339";"472"
"30193";"339";"472"
"30194";"336";"463"
"30195";"453";"630"
"30196";"480";"670"
"30197";"713";"955"
"30198";"63";"93"
"30199";"651";"842"
"30200";"107";"164"
"30201";"555";"729"
"30202";"237";"309"
"30203";"127";"172"
"30204";"560";"775"
"30205";"210";"279"
"30206";"604";"834"
"30207";"241";"331"
"30208";"170";"238"
"30209";"170";"237"
"30210";"1";"2"
"30211";"272";"387"
"30212";"434";"618"
"30213";"470";"658"
"30214";"329";"454"
"30215";"334";"465"
"30216";"279";"389"
"30217";"662";"886"
"30218";"386";"539"
"30219";"461";"644"
"30220";"631";"879"
"30221";"433";"606"
"30222";"253";"355"
"30223";"319";"442"
"30224";"114";"155"
"30225";"368";"515"
"30226";"356";"496"
"30227";"244";"343"
"30228";"216";"305"
"30229";"222";"314"
"30230";"395";"554"
"30231";"502";"699"
"30232";"358";"501"
"30233";"451";"630"
"30234";"255";"359"
"30235";"73";"115"
"30236";"75";"114"
"30237";"158";"236"
"30238";"161";"244"
"30239";"148";"191"
"30240";"207";"303"
"30241";"257";"353"
"30242";"323";"443"
"30243";"142";"189"
"30244";"88";"110"
"30245";"489";"658"
"30246";"365";"515"
"30247";"224";"301"
"30248";"219";"294"
"30249";"448";"629"
"30250";"453";"641"
"30251";"520";"726"
"30252";"173";"231"
"30253";"143";"191"
"30254";"164";"220"
"30255";"336";"463"
"30256";"279";"394"
"30257";"360";"505"
"30258";"361";"508"
"30259";"309";"427"
"30260";"394";"561"
"30261";"339";"451"
"30262";"138";"201"
"30263";"258";"360"
"30264";"195";"245"
"30265";"290";"391"
"30266";"356";"481"
"30267";"299";"407"
"30268";"334";"463"
"30269";"434";"600"
"30270";"267";"333"
"30271";"226";"306"
"30272";"313";"437"
"30273";"399";"568"
