"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Автономная негосударственная организация Средняя общеобразовательная школа ""ИНТЕК""";"";"Западный административный округ";"";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 739-72-31";"";"";1
2;"Автономная некоммерческая образовательная организация Средняя общеобразовательная школа ""Колледж - XXI""";"";"Западный административный округ";"район Солнцево";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 439-41-55";"";"collegexxi@yandex.ru";3
3;"Автономная некоммерческая организация негосударственная образовательная организация ""Наши традиции""";"мичуринский проспект дом 6 корпус 4";"Западный административный округ";"район Раменки";"Негосударственное";"Негосударственное";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 988-89-05,(495) 988-89-06";"";"traditsii@gmail.com";7
4;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1003";"119618 г.Москва, ул 50 лет Октября, д. 13 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-95-16";"sch1003.mskzapad.ru";"shcool1003@mail.ru";31
5;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1018";"119634 г.Москва, ул. Шолохова, д.20";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 733-52-10; (495) 733-52-11; (495) 732-61-33";"sch1018.mskzapad.ru";"sch1018@mail.ru";32
6;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1127";"121609 г.Москва, ул. Крылатские холмы, д. 13";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-77-55";"sch1127.mskzapad.ru";"sch1127@mail.ru";33
7;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 55";"119501 г.Москва, ул Веерная, д. 38, к.2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 441-74-11; (495) 442-90-58; (495) 441-71-22";"sch55.mskzapad.ru";"school55@bk.ru";34
8;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 800";"121596 г.Москва, ул. Толбухина, д. 7, к.3";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 446-50-00";"sch800.mskzapad.ru";"leca21@yandex.ru";35
9;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 814";"119501 г.Москва, ул. Веерная, д. 5, корпус 3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 442-04-84";"sch814.mskzapad.ru";"sch0814@mail.ru";36
10;"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1434";"119607 г.Москва, ул Раменки д.15 к1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 932-00-00; (495) 932-08-01";"co1434.mskzapad.ru";"coe1434@mail.ru";37
11;"Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1306";"119192, г. Москва, Мичуринский проспект, д. 15, корп. 2, 3";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"932-89-42";"gymg1306.mskobr.ru";"administration@sch1306.ru";52
12;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1541";"119415 г. Москва, пр. Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"431-46-76";"http:/gym1541.mskzapad.ru/";"gym1541@mail.ru";78
13;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1542";"119620, г. Москва, ул. Авиаторов, дом 8, корпус 2";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"934-87-32";"gym1542.mskzapad.ru/";"1542@inbox.ru";79
14;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1567";"121170 г.Москва, Кутузовский проезд, д.10, стр.1";"Западный административный округ";"район Дорогомилово";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 148-15-32";"";"gimn1567@mail.ru";87
15;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1584";"121615 г.Москва, Рублевское шоссе, д. 24, корпус 3";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 413-34-67; (495) 413-34-91";"ds1334.mskzapad.ru/";"school1131@mail.ru";97
16;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1588";"121357 г. Москва, ул. Инициативная, д. 1";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"444-25-71";"gym1588.mskzapad.ru";"sch803@mail.ru";99
17;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1593";"121614 г.Москва, ул. Крылатские холмы, д. 28, корпус 1";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 413-85-55; (495) 413-77-75; (495) 415-50-04";"gym1593mskzapad.ru";"school1128@mail.ru";103
18;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1596";"119633 г.Москва, ул. Приречная,д.1";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495) 733-54-10; (495) 733-54-13; (495) 731-10-01; (495) 733-56-72; (495) 733-86-04";"gym1596.mskzapad.ru/";"school1016@mail.ru";105
19;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1586";"119330 г.Москва, ул.Дружбы, д. 8";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 147-45-81; (499) 143-16-20";"";"lyceum1586@gmail.com";150
20;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1723";"119571 г.Москва, Ленинский проспект, д. 156, корпус 2";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"428-45-01";"";"1723@bk.ru";169
21;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1728";"119620 г.Москва, ул. Авиаторов, д.28";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(499) 727-74-52";"pgym1728.mskzapad.ru";"progimnaziya1728@yandex.ru";170
22;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1754";"119415 г.Москва, Проспект Вернадского, д. 55";"Западный административный округ";"район Проспект Вернадского";"Государственное";"Западное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"431-50-58";"pgym1754.mskzapad.ru";"progimnazia1754@mail.ru";174
23;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 1011";"119620 г.Москва, ул. Щорса, д. 6, корпус 1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 934-12-35";"sch1011.mskzapad.ru";"sch1011@yandex.ru";188
24;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа  № 1195";"121354 г.Москва, ул. Дорогобужская, д.13";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"444-65-62";"sch1195.mskzapad.ru";"sch1195@mail.ru";189
25;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1008";"119027 г.Москва, ул. Интернациональная, д. 10";"Западный административный округ";"район Внуково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"436-77-07";"schz1008.mskzapad.ru";"sch1008@mail.ru";195
26;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1013";"119633 г. Москва, ул. Приречная, д.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"733-56-73";"schz1013.mskzapad.ru";"school1013@gmail.com";196
27;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 1061";"121351 г.Москва, ул.Молодогвардейская, д. 19, корпус 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"417-92-29";"schz1061.mskzapad.ru";"school1061@mail.ru";199
28;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 239";"121353, г.Москва, ул.Вяземская, д. 7";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"446-20-68";"schz239.mskzapad.ru";"school_239@mail.ru";213
29;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 29";"119607 г.Москва, ул. Удальцова, д. 87, корпус 1";"Западный административный округ";"район Раменки";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"931-40-72";"29.mskzapad.ru";"29_sch@list.ru";217
30;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 384 имени Д.К.Корнеева";"121353 г.Москва, ул. Беловежская, д. 67 а";"Западный административный округ";"Можайский район";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(495) 446-01-52; (495) 446-25-90";"schz384.mskzapad.ru";"sch384@narod.ru";220
31;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 60 имени В.С. Опариной";"121351 г.Москва, ул.Партизанская, д. 30, корпус 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-24-17; (499) 141-41-20; (499) 141-30-60";"schz60.mskzapad.ru";"sch60@mtu-net.ru";231
32;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 64";"121351 г.Москва, ул.Партизанская, д. 30, корпус 2, стр. 2";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-24-07";"schz64.mskzapad.ru";"sch-64@list.ru";234
33;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 659";"121552 г.Москва, ул. Ельнинская, д. 24";"Западный административный округ";"район Кунцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 141-75-03; (499) 149-79-47; (499) 140-14-18; (499) 141-02-58";"schz659.mskzapad.ru";"659school@mail.ru";235
34;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 712";"121374 г.Москва, Кутузовский проспект, д. 80";"Западный административный округ";"район Фили-Давыдково";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"445-43-51";"schz712.mskzapad.ru";"schol712@yandex.ru";237
35;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа здоровья"" № 812";"не определено";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"735-66-51";"schz812.mskzapad.ru";"shkola812@mail.ru";239
36;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1975";"119634 г.Москва, ул. Шолохова, д.9, корп.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"732-96-80";"http://shnd1975.mskzapad.ru/";"sch1975@bk.ru";248
37;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 379";"121609 г.Москва, ул. Крылатские холмы, д.13";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"413-27-75";"shnd379.mskzapad.ru";"shnd379@mail.ru";253
38;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 542";"119602 г.Москва, ул.Покрышкина, д. 9";"Западный административный округ";"район Тропарёво-Никулино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 792-08-51";"shnd542.mskzapad.ru";"school542@mail.ru";257
39;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1000";"119619 г. Москва, ул.Наро-Фоминская, д.1";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-14-23; (495) 435-04-68; (495) 435-08-18; (495) 439-10-33";"sch1000.mskzapad.ru";"school1000@mail.ru";262
40;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1001";"119620 г.Москва, Солнцевский проспект, д. 16 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"435-22-54";"sch1001.mskzapad.ru";"1001sch@inbox.ru";263
41;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1002";"119620 г.Москва, Солнцевский проспект, д. 12 А";"Западный административный округ";"район Солнцево";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 435-28-44; (495) 435-01-25";"sch1002.mskzapad.ru";"school1002@mail.ru";264
