"ID";"WALKING_NEAR_DURATION";"WALKING_NEAR_DISTANCE"
"45573";"193";"276"
"45574";"97";"142"
"45575";"224";"340"
"45576";"237";"364"
"45577";"341";"432"
"45578";"194";"286"
"45579";"389";"550"
"45580";"341";"432"
"45581";"314";"451"
"45582";"341";"432"
"45583";"451";"611"
"45584";"298";"416"
"45585";"341";"432"
"45586";"363";"483"
"45587";"341";"432"
"45588";"125";"171"
"45589";"74";"120"
"45590";"341";"432"
"45591";"288";"411"
"45592";"230";"330"
"45593";"156";"237"
"45594";"1398";"1911"
"45595";"1461";"1999"
"45596";"1533";"2097"
"45597";"752";"1029"
"45598";"676";"926"
"45599";"697";"951"
"45600";"754";"1023"
"45601";"282";"407"
"45602";"282";"407"
"45603";"267";"351"
"45604";"181";"259"
"45605";"154";"214"
"45606";"219";"301"
"45607";"207";"286"
"45608";"403";"535"
"45609";"444";"594"
"45610";"200";"279"
"45611";"488";"651"
"45612";"488";"651"
"45613";"378";"504"
"45614";"363";"478"
"45615";"176";"258"
"45616";"226";"325"
"45617";"539";"715"
"45618";"532";"705"
"45619";"641";"857"
"45620";"171";"238"
"45621";"1";"2"
"45622";"78";"112"
"45623";"258";"358"
"45624";"255";"349"
"45625";"171";"238"
"45626";"117";"162"
"45627";"117";"162"
"45628";"158";"216"
"45629";"158";"216"
"45630";"645";"888"
"45631";"450";"620"
"45632";"487";"673"
"45633";"58";"80"
"45634";"58";"80"
"45635";"200";"279"
"45636";"291";"404"
"45637";"291";"404"
"45638";"155";"216"
"45639";"155";"216"
"45640";"155";"216"
"45641";"155";"216"
"45642";"72";"98"
"45643";"489";"648"
"45644";"489";"648"
"45645";"253";"351"
"45646";"70";"96"
"45647";"242";"327"
"45648";"114";"162"
"45649";"299";"415"
"45650";"461";"636"
"45651";"461";"636"
"45652";"299";"415"
"45653";"217";"300"
"45654";"217";"300"
"45655";"217";"300"
"45656";"124";"169"
"45657";"128";"169"
"45658";"127";"163"
"45659";"272";"370"
"45660";"172";"232"
"45661";"272";"370"
"45662";"236";"324"
"45663";"89";"122"
"45664";"306";"427"
"45665";"190";"269"
"45666";"190";"269"
"45667";"143";"209"
"45668";"176";"260"
"45669";"219";"309"
"45670";"430";"598"
"45671";"358";"494"
"45672";"363";"499"
"45673";"363";"499"
"45674";"728";"1005"
"45675";"728";"1005"
"45676";"663";"910"
"45677";"285";"386"
"45678";"90";"125"
"45679";"90";"125"
"45680";"49";"71"
"45681";"233";"319"
"45682";"233";"319"
"45683";"225";"308"
"45684";"284";"393"
