ID,ADDRESS
45573,"Москва, Зеленоград, корп.1001"
45574,"Москва, Зеленоград, корп.1002"
45575,"Москва, Зеленоград, корп.1003"
45576,"Москва, Зеленоград, корп.1004"
45577,"Москва, Зеленоград, корп.1004, стр.1"
45578,"Москва, Зеленоград, корп.1005"
45579,"Москва, Зеленоград, корп.1006"
45580,"Москва, Зеленоград, корп.1006, стр.1"
45581,"Москва, Зеленоград, корп.1007"
45582,"Москва, Зеленоград, корп.1007, стр.2"
45583,"Москва, Зеленоград, корп.1011"
45584,"Москва, Зеленоград, корп.1012"
45585,"Москва, Зеленоград, корп.1012, стр.1"
45586,"Москва, Зеленоград, корп.1013"
45587,"Москва, Зеленоград, корп.1013, стр.1"
45588,"Москва, Зеленоград, корп.1014"
45589,"Москва, Зеленоград, корп.1015"
45590,"Москва, Зеленоград, корп.1015, стр.1"
45591,"Москва, Зеленоград, ул. Гоголя, д.11А"
45592,"Москва, Зеленоград, ул. Гоголя, д.11Б"
45593,"Москва, Зеленоград, ул. Гоголя, д.11В"
45594,"Москва, Зеленоград, ул. Панфилова, д.15"
45595,"Москва, Зеленоград, ул. Панфилова, д.15А"
45596,"Москва, Зеленоград, ул. Панфилова, д.17"
45597,"Москва, Зеленоград, корп.200А"
45598,"Москва, Зеленоград, корп.200Б"
45599,"Москва, Зеленоград, корп.200В"
45600,"Москва, Зеленоград, корп.200Г"
45601,"Москва, Зеленоград, корп.205"
45602,"Москва, Зеленоград, корп.207"
45603,"Москва, Зеленоград, корп.219"
45604,"Москва, Зеленоград, корп.231"
45605,"Москва, Зеленоград, корп.232"
45606,"Москва, Зеленоград, корп.234"
45607,"Москва, Зеленоград, корп.235"
45608,"Москва, Зеленоград, корп.236"
45609,"Москва, Зеленоград, корп.237"
45610,"Москва, Зеленоград, корп.238"
45611,"Москва, Зеленоград, корп.239"
45612,"Москва, Зеленоград, корп.239, стр.1"
45613,"Москва, Зеленоград, корп.240"
45614,"Москва, Зеленоград, корп.241"
45615,"Москва, Зеленоград, корп.247"
45616,"Москва, Зеленоград, корп.248"
45617,"Москва, Зеленоград, корп.249"
45618,"Москва, Зеленоград, корп.250"
45619,"Москва, Зеленоград, корп.251"
45620,"Москва, Зеленоград, корп.303"
45621,"Москва, Зеленоград, корп.301А"
45622,"Москва, Зеленоград, корп.301Б"
45623,"Москва, Зеленоград, корп.302А"
45624,"Москва, Зеленоград, корп.302Б"
45625,"Москва, Зеленоград, корп.303"
45626,"Москва, Зеленоград, корп.303, стр.1"
45627,"Москва, Зеленоград, корп.303, стр.2"
45628,"Москва, Зеленоград, корп.305"
45629,"Москва, Зеленоград, корп.305, стр.1"
45630,"Москва, Зеленоград, корп.306"
45631,"Москва, Зеленоград, корп.307"
45632,"Москва, Зеленоград, корп.308"
45633,"Москва, Зеленоград, корп.309"
45634,"Москва, Зеленоград, корп.309, стр.1"
45635,"Москва, Зеленоград, корп.311"
45636,"Москва, Зеленоград, корп.313"
45637,"Москва, Зеленоград, корп.313, стр.1"
45638,"Москва, Зеленоград, корп.315"
45639,"Москва, Зеленоград, корп.315, стр.1"
45640,"Москва, Зеленоград, корп.315, стр.2"
45641,"Москва, Зеленоград, корп.315, стр.3"
45642,"Москва, Зеленоград, корп.316"
