"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID"
1;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1528";"124527, г. Москва, Зеленоград, корп. 817";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 710-33-02; (499) 710-47-20";"http://gymzg1528.mskobr.ru";"s1528@zou.ru";69
2;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1557";"124536, г. Москва, Зеленоград, корп. 509";"Зеленоградский административный округ";"район Савёлки";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(499) 734-68-08; (499) 734-25-20";"lyczg1557.mskobr.ru/";"s1557@zou.ru";140
3;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 367";"124527, г. Москва, Зеленоград, корп. 864";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 729-81-82";"schzg367.mskobr.ru";"s367@zou.ru";250
4;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1050";"124460, г. Москва, Зеленоград, корп. 1128";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"532-25-43";"schzg1050.mskobr.ru";"s1050@zou.ru";286
5;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1149";"124617, Москва, Зеленоград, корп.1464";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-02-01";"schzg1149.mskobr.ru";"s1149@zou.ru";325
6;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1150";"124365, г. Москва, Зеленоград, корп. 1609";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-91-10";"schzg1150.mskobr.ru";"s1150@zou.ru";326
7;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1151";"124617, г. Москва, Зеленоград, корп. 1469";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 738-55-46";"schzg1151.mskobr.ru";"s1151@zou.ru";327
8;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1194";"124683, г. Москва, Зеленоград, корп. 1556";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-40-02";"dskz2290.mskobr.ru";"s1194@zou.ru";342
9;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1692";"124575, г. Москва, Зеленоград, корп. 1016";"Зеленоградский административный округ";"район Силино";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 731-49-50";"schzg1692.mskobr.ru";"s1692@zou.ru";383
10;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1739";"124683, г. Москва, Зеленоград, корп. 1555";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-66-00";"dskz2111.mskobr.ru";"s1739@zou.ru";390
11;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1740";"124683, г. Москва, Зеленоград, корп.1530";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 717-03-67";"dskz2196.mskobr.ru/";"s1740@zou.ru";391
12;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1912";"124683, г. Москва, Зеленоград, корп. 1816";"Зеленоградский административный округ";"район Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(499) 738-00-55";"dsoz2353.mskobr.ru";"s1912@zou.ru";415
