ID,OKRUG,NAME,POPUL,AREA,DENSITY
35,САО,Молжаниновский,3506,16.65,210.57
102,ВАО,Восточный,12348,3.14,3932.48
146,ЮВАО,Некрасовка,19188,11.367,1688.04
37,СЗАО,Куркино,21314,8.0366,2652.12
89,ЦАО,Якиманка,26428,4.8009,5504.8
86,СВАО,Марфино,27144,2.697,10064.52
67,СВАО,Северный,27945,10.294,2714.69
83,ЦАО,Арбат,28077,2.11,13306.64
20,ЗелАО,Старое Крюково,28662,3.805,7532.72
141,ЮВАО,Капотня,29594,8.0574,3672.9
12,ЗелАО,Савелки,32534,8.128,4002.71
118,ВАО,Метрогородок,36251,27.5674,1315
111,СВАО,Ростокино,37202,3.5385,10513.49
10,ЗелАО,Матушкино,38509,5.0309,7654.5
14,ЗелАО,Силино,38555,10.3963,3708.53
74,САО,Беговой,42012,5.5598,7556.39
125,ЮВАО,Нижегородский,42979,7.574,5674.54
110,ЦАО,Красносельский,47501,4.9615,9573.92
93,ЮАО,Донской,47560,5.7285,8302.35
49,САО,Левобережный,52662,6.5475,8043.07
80,СВАО,Алтуфьевский,54302,3.2525,16695.47
45,СЗАО,Покровское-Стрешнево,55706,12.9009,4317.99
104,ЦАО,Замоскворечье,55880,4.3152,12949.57
62,САО,Хорошевский,57073,9.8796,5776.85
96,ВАО,Сокольники,57430,10.2846,5584.08
58,САО,Сокол,57528,3.72,15464.52
100,ЦАО,Мещанский,58117,4.6,12634.13
76,САО,Савеловский,58288,2.69,21668.4
87,СВАО,Свиблово,60223,4.4064,13667.17
92,СВАО,Останкинский,60712,12.4559,4874.16
55,ЗАО,Проспект Вернадского,61783,4.6514,13282.67
90,ЮЗАО,Котловка,64863,3.9441,16445.58
95,СВАО,Марьина Роща,66055,4.6821,14107.99
17,САО,Войковский,66347,6.6061,10043.29
85,СВАО,Бутырский,67509,5.044,13384.02
19,ЗАО,Дорогомилово,68079,7.9587,8554.04
109,ЮВАО,Южнопортовый,70447,4.5265,15563.24
145,ВАО,Косино-Ухтомский,73046,15.3581,4756.19
