Округ,Наименование,Среднее число обучающихся на одну школу,"Процент школьников, проживающих на недоступной территории по радиусу 500 м. от школ, от всех школьников жилой зоны","Процент школьников, проживающих на недоступной от школ территории по данным Google, от всех школьников жилой зоны"
ЮЗАО,Академический,546,11.44%,41.55%
СВАО,Алексеевский,426,2.65%,40.16%
СВАО,Алтуфьевский,582,3.42%,25.31%
ЦАО,Арбат,464,1.75%,30.86%
САО,Аэропорт,452,3.28%,34.16%
СВАО,Бабушкинский,594,10.75%,33.49%
ЦАО,Басманный,594,7.26%,37.04%
САО,Беговой,298,17.68%,68.64%
САО,Бескудниковский,611,2.31%,34.00%
СВАО,Бибирево,644,1.66%,30.43%
ЮАО,Бирюлево Восточное,548,5.99%,41.47%
ЮАО,Бирюлево Западное,820,12.37%,49.24%
ВАО,Богородское,909,5.96%,34.62%
ЮАО,Братеево,716,8.28%,53.96%
СВАО,Бутырский,561,14.47%,35.93%
ВАО,Вешняки,1050,1.11%,52.07%
САО,Войковский,506,9.68%,39.21%
САО,Восточное Дегунино,700,0.89%,20.89%
ВАО,Восточное Измайлово,424,10.14%,49.89%
ВАО,Восточный,565,12.55%,34.14%
ЮВАО,Выхино-Жулебино,694,6.55%,43.37%
ЮЗАО,Гагаринский,493,5.60%,36.24%
САО,Головинский,574,20.91%,68.51%
ВАО,Гольяново,282,6.00%,38.27%
ЮАО,Даниловский,303,4.31%,18.22%
САО,Дмитровский,571,2.42%,40.21%
ЮАО,Донской,465,18.12%,29.63%
ЗАО,Дорогомилово,463,4.81%,44.17%
ЦАО,Замоскворечье,293,3.15%,45.39%
САО,Западное Дегунино,583,4.58%,27.58%
ЮЗАО,Зюзино,398,2.74%,52.59%
ЮАО,Зябликово,630,3.11%,38.38%
ВАО,Ивановское,585,4.60%,43.35%
ВАО,Измайлово,619,3.84%,29.96%
ЮВАО,Капотня,746,10.73%,30.76%
ЮЗАО,Коньково,631,9.88%,51.89%
САО,Коптево,487,4.83%,23.13%
ВАО,Косино-Ухтомский,657,12.80%,48.03%
ЮЗАО,Котловка,377,12.54%,59.16%
ЦАО,Красносельский,675,9.13%,40.09%
ЗАО,Крылатское,373,10.61%,41.96%
ЗелАО,Крюково,406,1.48%,15.21%
ЮВАО,Кузьминки,544,1.04%,27.28%
ЗАО,Кунцево,474,10.95%,43.57%
СЗАО,Куркино,1326,15.23%,47.85%
САО,Левобережный,538,30.15%,68.08%
ЮВАО,Лефортово,582,3.24%,38.13%
СВАО,Лианозово,537,1.87%,34.63%
ЮЗАО,Ломоносовский,677,0.00%,24.57%
СВАО,Лосиноостровский,587,10.17%,42.26%
ЮВАО,Люблино,464,4.25%,20.24%
СВАО,Марфино,557,2.53%,26.93%
СВАО,Марьина Роща,469,11.20%,35.19%
ЮВАО,Марьино,639,1.84%,25.43%
ЗелАО,Матушкино,761,0.00%,20.42%
ВАО,Метрогородок,233,22.31%,49.27%
ЦАО,Мещанский,522,5.57%,38.46%
СЗАО,Митино,799,1.51%,25.17%
ЗАО,Можайский,724,8.64%,56.50%
