"OBJECTID";"OSM_ID";"NAME";"ADMIN_LVL";"Okr_ID";"New_Msk";"NAME_1";"Ray_ID";"ID_fin";"Popul";"Shape_Leng";"Shape_Length";"Shape_Area"
1;-1693596,000000;"поселение Киевский";"8";12;1;"Киевский";3,000000;1203,000000;0,000000;111557,228320;111557,228319;189037619,467133
2;-446112,000000;"район Филёвский Парк";"8";2;0;"Филёвский Парк";12,000000;212,000000;80593,000000;32851,742264;32851,742264;30280768,748986
3;-1693667,000000;"поселение Новофёдоровское";"8";12;1;"Новофёдоровское";7,000000;1207,000000;0,000000;147079,162696;147079,162695;466470194,843618
4;-2092928,000000;"поселение Роговское";"8";12;1;"Роговское";9,000000;1209,000000;0,000000;136393,002191;136393,002191;545312100,430316
5;-431464,000000;"район Щукино";"8";6;0;"Щукино";7,000000;607,000000;102808,000000;21027,647442;21027,647442;25320863,049677
6;-2092922,000000;"поселение Вороновское";"8";12;1;"Вороновское";2,000000;1202,000000;0,000000;167232,382937;167232,382936;633942179,468586
7;-2092927,000000;"поселение Михайлово-Ярцевское";"8";12;1;"Михайлово-Ярцевское";6,000000;1206,000000;0,000000;80803,220054;80803,220054;199994341,994871
8;-1693661,000000;"поселение Марушкинское";"8";11;1;"Марушкинское";7,000000;1107,000000;0,000000;113854,167264;113854,167263;157144891,339995
9;-1693672,000000;"поселение Первомайское";"8";12;1;"Первомайское";8,000000;1208,000000;0,000000;143865,950683;143865,950682;368675459,623538
10;-1320566,000000;"район Матушкино";"8";3;0;"Матушкино";2,000000;302,000000;38509,000000;24992,264486;24992,264486;14904518,598507
11;-181288,000000;"район Внуково";"8";2;0;"Внуково";1,000000;201,000000;23367,000000;53766,577727;53766,577727;47740414,908195
12;-1320570,000000;"район Савёлки";"8";3;0;"Савёлки";3,000000;303,000000;32534,000000;30358,195106;30358,195106;24415768,725531
13;-380708,000000;"поселение Внуковское";"8";11;1;"Внуковское";3,000000;1103,000000;0,000000;70181,340863;70181,340863;79894422,978380
14;-1320510,000000;"район Силино";"8";3;0;"Силино";4,000000;304,000000;38555,000000;35465,946926;35465,946926;30673715,817527
15;-1668007,000000;"поселение Кокошкино";"8";11;1;"Кокошкино";6,000000;1106,000000;0,000000;37386,477179;37386,477179;25829951,377342
16;-1320371,000000;"район Крюково";"8";3;0;"Крюково";1,000000;301,000000;85642,000000;39954,507326;39954,507326;33900215,364159
17;-446078,000000;"Войковский район";"8";4;0;"Войковский";4,000000;404,000000;66347,000000;20658,212670;20658,212670;16856330,478636
18;-2092925,000000;"поселение Краснопахорское";"8";12;1;"Краснопахорское";5,000000;1205,000000;0,000000;128436,159040;128436,159039;269055374,448392
19;-446114,000000;"район Дорогомилово";"8";2;0;"Дорогомилово";2,000000;202,000000;68079,000000;26559,677650;26559,677650;24508543,970919
20;-1320424,000000;"район Старое Крюково";"8";3;0;"Старое Крюково";5,000000;305,000000;28662,000000;18447,549849;18447,549849;14002865,651393
21;-2092924,000000;"поселение Клёновское";"8";12;1;"Клёновское";4,000000;1204,000000;0,000000;127937,565965;127937,565965;362981079,732593
22;-951336,000000;"район Тёплый Стан";"8";9;0;"Тёплый Стан";9,000000;909,000000;125923,000000;22703,690800;22703,690800;26281846,849099
23;-380705,000000;"поселение Филимонковское";"8";11;1;"Филимонковское";11,000000;1111,000000;0,000000;81874,635924;81874,635924;111336663,767812
24;-1703093,000000;"городской округ Троицк";"8";12;1;"городскойокругТроицк";1,000000;1201,000000;0,000000;46269,941333;46269,941333;50594826,187461
25;-445274,000000;"район Ховрино";"8";4;0;"Ховрино";15,000000;415,000000;81109,000000;19377,929177;19377,929177;16611041,239095
26;-2092931,000000;"поселение Щаповское";"8";12;1;"Щаповское";10,000000;1210,000000;0,000000;132809,709087;132809,709087;267982435,054700
27;-380707,000000;"поселение Московский";"8";11;1;"Московский";8,000000;1108,000000;0,000000;77783,617444;77783,617444;126054587,067994
28;-380706,000000;"поселение Десёновское";"8";11;1;"Десёновское";5,000000;1105,000000;0,000000;93447,254322;93447,254322;164389161,938977
