"OBJECTID";"ID";"accessability";"SUM_STUDENTS";"Shape_Length";"Shape_Area"
2;2,000000;2;1573,359646;34436,605500;4691631,608213
4;5,000000;2;3405,510913;34634,763038;4291333,870961
6;10,000000;2;794,470591;11899,091652;1316696,809553
8;12,000000;2;865,691276;21940,194701;3117593,663390
10;14,000000;2;238,657087;20023,541925;3318776,356947
12;16,000000;2;1269,570712;26980,222969;7094120,854356
14;17,000000;2;2118,272024;23677,332432;2573374,954730
16;19,000000;2;1833,164059;36088,807585;4603480,380925
18;20,000000;2;535,376317;17332,357230;2162184,948561
20;22,000000;2;5669,130897;36981,423372;5145002,146707
22;25,000000;2;3112,065985;23181,653365;3450967,224384
24;29,000000;2;1700,359150;15483,621064;979883,212158
26;30,000000;2;5485,452020;60754,993565;13950628,346819
28;31,000000;2;6695,304132;24927,006900;4045019,351956
30;32,000000;2;8120,695216;66457,586598;12929941,208677
32;33,000000;2;2506,546513;32170,420409;5199764,422074
34;34,000000;2;4893,741824;43583,925308;10816399,602279
35;35,000000;2;336,937820;27808,871930;15874548,221116
37;36,000000;2;4955,452657;42587,809688;5086720,988473
39;37,000000;2;2066,864596;28039,221810;6154186,837514
41;38,000000;2;2556,622327;34272,054537;9680491,090466
43;39,000000;2;5821,166949;43434,149066;7674305,271923
45;42,000000;2;4868,674463;30422,418003;6209434,979640
47;43,000000;2;3157,662436;25026,282291;3663568,733741
49;44,000000;2;7495,585313;35131,380612;4693293,341302
51;45,000000;2;2096,082935;30789,613654;8835889,952466
53;46,000000;2;7628,274561;55383,611092;14223632,528714
55;47,000000;2;4512,591179;45229,448444;12111174,956661
57;48,000000;2;5470,523027;39270,104031;6706645,974015
59;49,000000;2;2673,738160;25630,112551;4182678,427965
61;50,000000;2;3770,626138;31935,337196;3487899,114719
63;51,000000;2;5182,573819;57351,868587;13113447,284199
65;54,000000;2;2200,070216;30819,738410;3382940,269483
67;55,000000;2;2385,561950;26759,729841;2655474,815848
69;56,000000;2;9696,220091;97135,036525;16512840,362562
71;57,000000;2;3687,306532;21674,388326;3626168,182515
73;58,000000;2;2440,136889;21065,066494;1802616,814773
75;59,000000;2;6231,929671;64240,091828;11106663,312360
77;60,000000;2;2536,969058;22500,791429;2818922,381408
79;61,000000;2;6299,000907;33894,750632;3706305,198106
81;62,000000;2;3186,704220;31801,721374;6285515,377885
83;63,000000;2;2115,687074;19813,761597;2169875,437288
85;65,000000;2;2134,056591;23238,771615;2239550,088825
87;66,000000;2;7192,709535;43448,807764;6516120,740298
89;67,000000;2;2004,942386;28118,125660;9006339,431396
91;68,000000;2;4548,591869;40941,312311;5431627,677550
93;69,000000;2;2009,496074;17471,527489;1504508,293092
95;70,000000;2;1908,730564;20884,050269;3183481,773774
97;71,000000;2;2966,173979;38400,611619;5803035,650969
99;72,000000;2;2515,587405;32712,799075;4907513,443680
101;73,000000;2;2101,623374;21527,687533;2540092,446997
103;74,000000;2;2214,043225;18463,402658;3038878,805230
105;75,000000;2;2021,603550;13373,131118;810779,044161
107;76,000000;2;2095,872632;15399,241009;1297380,824321
109;77,000000;2;4200,333908;30699,383486;3409885,919554
111;78,000000;2;3621,197552;23407,928139;2569477,801177
113;79,000000;2;4960,792451;29069,844991;3173729,509748
115;80,000000;2;1444,609112;13627,744841;1001001,746709
117;81,000000;2;2675,002983;17370,350268;770553,413035
119;82,000000;2;4009,051337;32924,173612;4001957,296512
121;83,000000;2;633,733732;13681,304264;726505,208423
