"OBJECTID";"ID";"accessability";"SUM_STUDENTS";"Shape_Length";"Shape_Area"
2;2,000000;2;578,028414;19296,323969;2258481,463363
4;5,000000;2;1246,675035;16358,302870;1872008,245841
7;12,000000;2;19,106165;8781,216537;1660797,947831
9;14,000000;2;1,219297;8325,950837;2187240,780101
11;16,000000;2;123,218864;19657,428999;5633997,983015
13;17,000000;2;523,182329;7814,636232;1009687,352960
15;19,000000;2;199,497686;9322,387624;789435,103419
17;20,000000;2;13,019468;7013,276654;838844,126357
19;22,000000;2;601,203592;7360,256265;538358,444991
21;25,000000;2;924,716615;14036,433401;1394590,539796
24;30,000000;2;1379,264501;40032,241572;9979101,263992
26;31,000000;2;890,938525;7193,075005;225728,753250
28;32,000000;2;1242,036358;41989,771363;6112835,748184
30;33,000000;2;526,432964;13181,167682;2515421,789481
32;34,000000;2;633,884701;22681,282598;8059886,539468
34;35,000000;2;336,937820;28785,109178;15788001,213597
36;36,000000;2;296,563102;12217,138501;1657026,767636
38;37,000000;2;657,770479;23393,342612;3459271,166683
40;38,000000;2;646,607074;21763,262372;6465710,985323
42;39,000000;2;1092,977330;18366,059247;2862230,941183
44;42,000000;2;1485,993160;25002,615147;2821275,632210
46;43,000000;2;1332,907610;9915,854644;1791542,865908
48;44,000000;2;1115,735214;12404,057190;1681992,032619
50;45,000000;2;1710,879115;24358,496554;6409464,118309
52;46,000000;2;1844,277009;36088,430190;10178299,554022
54;47,000000;2;1473,639811;29915,155971;5735257,374390
56;48,000000;2;1671,575626;19364,129769;2026059,642921
58;49,000000;2;1183,980972;15138,277438;1996197,631978
60;50,000000;2;1166,457288;10415,597053;1053679,453257
62;51,000000;2;2166,802629;28352,586104;6996667,453462
64;54,000000;2;365,269916;9268,990421;450089,746104
66;55,000000;2;632,886085;6224,568737;365386,531050
68;56,000000;2;1348,288280;53091,149912;8213377,113194
70;57,000000;2;1681,652370;9270,184010;1804465,820804
72;58,000000;2;371,404881;4807,009054;138462,152507
74;59,000000;2;886,060010;16893,719156;2882947,323426
