Район,Население школьного возраста,"Площадь жилой застройки, кв. м.",Количество школ,Количесво школьных зданий,Среднее расстояние между школьными зданиями в жилой зоне,Среднее количество учеников на школу (Мосгорстат),"Площадь недоступной территории по радиусу 500 от школ, кв. м.",Процент недоступной территории по радиусу 500 от школ от всей территории,"Количество школьников, проживающих на недоступной территории по радиусу 500 от школ ","Процент школьников, проживающих на недоступной территории по радиусу 500 от школ, от всех школьников жилой зоны","Площадь недоступной территории по данным google, кв. м.",Процент недоступной территории по данным google от школ от всей территории,"Количество школьников, проживающих на недоступной территории по данным google ","Процент школьников,  проживающих на недоступной территории по данным google, от всех школьников жилой зоны"
Академический,7356,4044575,14,19,307,546,231468,6%,613,8%,1763412,44%,3526,48%
Басманный,11379,5385220,18,39,159,594,85608,2%,444,4%,1181131,22%,2812,25%
Коньково,12023,4859287,16,20,307,631,232723,5%,761,6%,2470128,51%,6332,53%
Митино,19603,4186271,18,51,164,799,138226,3%,177,1%,949592,23%,4018,20%
Хорошево-Мневники,15037,6223609,8,28,197,913,1736733,28%,1807,12%,3411296,55%,7849,52%
Замоскворечье,4792,2917521,8,12,407,293,61263,2%,98,2%,1363819,47%,2410,50%
Даниловский,4619,2752889,6,19,235,303,60236,2%,152,3%,729161,26%,1219,26%
Гольяново,10478,4580482,18,24,257,282,137833,3%,469,4%,1440329,31%,3787,36%
Метрогородок,3400,1049721,4,4,406,233,208244,20%,773,23%,465549,44%,1718,51%
Северное Измайлово,7074,2824472,13,14,287,415,0,0%,0,0%,381852,14%,1340,19%
Восточное Измайлово,12627,1970538,6,10,186,424,97185,5%,678,5%,505675,26%,3051,24%
