ID	ELEMENT_ID	ADDRESS
1	1	Москва, ул. Машкова, д. 3А
2	2	Москва, ул. Машкова, д. 20, стр.1
3	3	Москва, Пуговишников пер., д. 7
4	4	Москва, ул. Россолимо, д. 10
5	5	Москва, Коробейников пер., д. 1/2, стр.3
6	5	Москва, Коробейников пер., д. 1/2, стр.4
7	6	Москва, Глубокий пер., д. 3, стр. 1
8	7	Москва, Верхний Предтеченский, пер., д. 10
9	8	Москва, Нововоротниковский пер., д.6
10	9	Москва, Чернышевского пер., д. 4А, стр. 1
11	10	Москва, ул. Подвойского, д. 2, стр. 1
12	11	Москва, ул. 2-я Черногрязская, д. 7, стр.1
13	12	Москва, Стрельбищенский пер., д. 14
14	13	Москва, ул. Садовая-Сухаревская, д. 12-14, стр. 1
15	13	Москва, Пушкарев пер., д. 4, стр. 1
16	14	Москва, ул. Трубная, д. 36, стр.1
17	15	Москва, Большой Тишинский, д.39
18	16	Москва, ул. Климашкина, д.13Б, стр.1
19	17	Москва, Малый Знаменский пер., д. 7/10, стр.5
20	17	Москва, Малый Знаменский пер., д. 7/10, стр.2
21	17	Москва, Хользунова пер., д.8
22	18	Москва, ул. Хамовнический вал, д.26
23	19	Москва, ул. Дубининская, д. 42
24	20	Москва, ул. Бахрушина, д. 24, стр.1
25	21	Москва, ул. Щипок, д. 12, стр.1
26	22	Москва, ул. Большая Полянка, д. 45
27	23	Москва, ул. Александра Невского, д. 4
28	23	Москва, 2-й Щемиловский пер., д.4, стр.5
29	24	Москва, ул. Дружинниковская, д. 9, стр. 2
30	25	Москва, Глубокий пер., д. 7
31	26	Москва, ул. Ольховская, д. 43
32	27	Москва, 2-ой Новый пер., д. 4
33	28	Москва, ул. Госпитальный Вал, д. 5, стр. 20
34	29	Москва, ул. Госпитальный Вал, д. 5, стр. 8
35	30	Москва, Спартаковская пл., д. 5/7
36	31	Москва, ул. Бакунинская, д. 45, стр. 3
37	32	Москва, Богословский пер., д. 10, стр. 1
38	33	Москва, ул. Б. Бронная, д. 8
39	33	Москва, ул. Б. Бронная, д. 12
