"ID","COMPLEX_ID","NAME",,
1,1,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 275",,
2,1,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 2744",,
3,2,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2164",,
4,2,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1246",,
5,2,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 921",,
6,3,"а. Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 255",,
7,3,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1833",,
8,4,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1921",,
9,4,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 1918",,
10,5,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 340",,
11,5,"б. Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 57",,
12,5,"в. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 83",,
13,6,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (немецкого) языка № 1219",,
14,6,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 232",,
15,7,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 96",,
16,7,"б. Государственное образовательное учреждение средняя общеобразовательная школа № 82",,
17,8,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования №57 «Пятьдесят седьмая школа»",,
18,8,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением испанского языка № 168",,
19,9,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования № 627",,
20,9,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 525",,
21,9,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 841",,
22,10,"а. Государственное бюджетное образовательное учреждение Московский городской дворец творчества детей и молодежи «На Полянке»",,
23,10,"б. Государственное бюджетное образовательное учреждение города Москвы дворец творчества детей и молодежи на Миуссах",,
24,11,"а. Государственное бюджетное образовательное учреждение города Москвы Детский оздоровительно-образовательный центр «Парк Пресненский»",,
25,11,"б. Государственное бюджетное образовательное учреждение города Москвы детско-юношеский центр «Пресня»",,
26,12,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 284",,
27,12,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2512",,
28,13,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1979",,
29,13,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад № 2579",,
30,14,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1734",,
31,14,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 30",,
32,15,"а. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 3",,
33,15,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1883",,
34,16,"а. Государственное бюджетное образовательное учреждение города Москвы центра психолого-педагогической реабилитации и коррекции «На Таганке»",,
35,16,"б. Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения «ОЗОН»",,
36,16,"в. Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции «Гармония» ",,
37,16,"г. Государственное бюджетное образовательное учреждение города Москвы центр психолого-медико-социального сопровождения «Малыш» ",,
38,16,"д. Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции «Тверской»",,
39,16,"е. Государственное бюджетное образовательное учреждение города Москвы центра психолого-педагогической реабилитации и коррекции «Пресненский»",,
40,16,"ё. Государственное бюджетное образовательное учреждение города Москвы центр психолого-педагогической реабилитации и коррекции «Практик»",,
41,16,"ж. Государственное образовательное учреждение детский сад комбинированного вида №846",,
42,17,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2054 ",,
43,17,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1831",,
44,18,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 627",,
45,18,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида с осуществлением деятельности по художественно-эстетическому развитию детей № 735",,
46,18,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад № 295",,
47,19,"а. Государственное бюджетное образовательное учреждение города Москвы центр образования №1429 имени Героя Советского Союза Н.А. Боброва",,
48,19,"б. Государственное бюджетное образовательное учреждение города Москвы детский сад № 1734",,
49,20,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова",,
50,20,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1233 ",,
51,20,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида №2277",,
52,21,"а. Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»",,
53,21,"б. Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1755",,
54,22,"а. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297",,
55,22,"б. Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №292",,
56,22,"в. Государственное бюджетное образовательное учреждение города Москвы детский сад №501",,
57,22,"г. Государственное бюджетное образовательное учреждение города Москвы детский сад №879",,
