ID,ADDRESS
1,"Москва, 11-я Парковая ул, д.24"
2,"Москва, 11-я Парковая ул, д.26А"
3,"Москва, 13-я Парковая ул, д.11"
4,"Москва, 13-я Парковая ул, д.4"
5,"Москва, 13-я Парковая ул, д.8/25"
6,"Москва, 15-я Парковая ул, д.16, корп.1"
7,"Москва, 15-я Парковая ул, д.16, корп.2"
8,"Москва, 15-я Парковая ул, д.16, корп.3"
9,"Москва, 15-я Парковая ул, д.18, корп.1"
10,"Москва, 15-я Парковая ул, д.18, корп.2"
11,"Москва, 15-я Парковая ул, д.19"
12,"Москва, 15-я Парковая ул, д.20"
13,"Москва, 15-я Парковая ул, д.23"
14,"Москва, Измайловский бульв., д.46"
15,"Москва, Измайловский бульв., д.48"
16,"Москва, Измайловский бульв., д.50"
17,"Москва, Измайловский бульв., д.54"
18,"Москва, Измайловский бульв., д.56"
19,"Москва, Измайловский бульв., д.58"
20,"Москва, Измайловский бульв., д.58/13"
21,"Москва, Измайловский бульв., д.60/10"
22,"Москва, Измайловский бульв., д.64"
23,"Москва, Измайловский бульв., д.66"
24,"Москва, Измайловский бульв., д.67, корп.1"
25,"Москва, Измайловский бульв., д.72"
26,"Москва, Измайловский бульв., д.77"
27,"Москва, Первомайская ул, д.105"
28,"Москва, Первомайская ул, д.107"
29,"Москва, Первомайская ул, д.107А"
30,"Москва, Первомайская ул, д.109/2"
31,"Москва, Первомайская ул, д.113"
32,"Москва, Первомайская ул, д.113, корп.1"
33,"Москва, Первомайская ул, д.115"
34,"Москва, Первомайская ул, д.117"
35,"Москва, Первомайская ул, д.119"
36,"Москва, Первомайская ул, д.121"
37,"Москва, Первомайская ул, д.97"
38,"Москва, Первомайская ул, д.99"
39,"Москва, Средняя Первомайская ул, д.13"
40,"Москва, Средняя Первомайская ул, д.15"
41,"Москва, Средняя Первомайская ул, д.17"
42,"Москва, Средняя Первомайская ул, д.21"
43,"Москва, Средняя Первомайская ул, д.23"
44,"Москва, Средняя Первомайская ул, д.26"
45,"Москва, Средняя Первомайская ул, д.27"
46,"Москва, Средняя Первомайская ул, д.29"
47,"Москва, Средняя Первомайская ул, д.31"
48,"Москва, Средняя Первомайская ул, д.33"
49,"Москва, Средняя Первомайская ул, д.34"
50,"Москва, Средняя Первомайская ул, д.36"
51,"Москва, Средняя Первомайская ул, д.36, корп.1"
52,"Москва, Средняя Первомайская ул, д.38/7"
53,"Москва, Средняя Первомайская ул, д.42/6"
