ID,ADDRESS
6823,"Москва, Красковская ул, д.86"
6824,"Москва, Красковская ул, д.87"
6825,"Москва, Красковская ул, д.88"
6826,"Москва, Красковская ул, д.89"
6827,"Москва, Красковская ул, д.9"
6828,"Москва, Красковская ул, д.90"
6829,"Москва, Красковская ул, д.91"
6830,"Москва, Красковская ул, д.92"
6831,"Москва, Красковская ул, д.93"
6832,"Москва, Красковская ул, д.94"
6833,"Москва, Красковская ул, д.95, стр.1"
6834,"Москва, Красковская ул, д.96"
6835,"Москва, Красковская ул, д.97"
6836,"Москва, Красковская ул, д.98"
6837,"Москва, Красковская ул, д.99"
6838,"Москва, Лухмановская ул, д.1"
6839,"Москва, Лухмановская ул, д.5"
6840,"Москва, Наташи Качуевской ул, д.4"
6841,"Москва, Рудневка ул, д.1"
6842,"Москва, Рудневка ул, д.11"
6843,"Москва, Рудневка ул, д.12"
6844,"Москва, Рудневка ул, д.13"
6845,"Москва, Рудневка ул, д.14"
6846,"Москва, Рудневка ул, д.15"
6847,"Москва, Рудневка ул, д.16"
6848,"Москва, Рудневка ул, д.17"
6849,"Москва, Рудневка ул, д.18"
6850,"Москва, Рудневка ул, д.19"
6851,"Москва, Рудневка ул, д.2"
6852,"Москва, Рудневка ул, д.21"
6853,"Москва, Рудневка ул, д.22"
6854,"Москва, Рудневка ул, д.23"
6855,"Москва, Рудневка ул, д.24"
6856,"Москва, Рудневка ул, д.25"
6857,"Москва, Рудневка ул, д.27"
6858,"Москва, Рудневка ул, д.29"
6859,"Москва, Рудневка ул, д.3"
6860,"Москва, Рудневка ул, д.33"
6861,"Москва, Рудневка ул, д.35"
6862,"Москва, Рудневка ул, д.37"
6863,"Москва, Рудневка ул, д.39"
6864,"Москва, Рудневка ул, д.4"
6865,"Москва, Рудневка ул, д.41"
6866,"Москва, Рудневка ул, д.43"
6867,"Москва, Рудневка ул, д.5"
6868,"Москва, Рудневка ул, д.7"
6869,"Москва, Рудневка ул, д.9"
6870,"Москва, Святоозерская ул, д.11"
6871,"Москва, Святоозерская ул, д.13"
6872,"Москва, Святоозерская ул, д.14"
6873,"Москва, Святоозерская ул, д.14, стр.1"
6874,"Москва, Святоозерская ул, д.15"
6875,"Москва, Святоозерская ул, д.16"
6876,"Москва, Святоозерская ул, д.18"
6877,"Москва, Святоозерская ул, д.2"
6878,"Москва, Святоозерская ул, д.21"
6879,"Москва, Святоозерская ул, д.22"
6880,"Москва, Святоозерская ул, д.23"
6881,"Москва, Святоозерская ул, д.24"
6882,"Москва, Святоозерская ул, д.26"
6883,"Москва, Святоозерская ул, д.3"
6884,"Москва, Святоозерская ул, д.32"
6885,"Москва, Святоозерская ул, д.34"
6886,"Москва, Святоозерская ул, д.4"
6887,"Москва, Святоозерская ул, д.5"
6888,"Москва, Святоозерская ул, д.8"
6889,"Москва, Святоозерская ул, д.9"
6890,"Москва, Татьяны Макаровой ул, д.10"
6891,"Москва, Татьяны Макаровой ул, д.3"
6892,"Москва, Татьяны Макаровой ул, д.4"
6893,"Москва, Татьяны Макаровой ул, д.6"
6894,"Москва, Татьяны Макаровой ул, д.8"
6895,"Москва, 3-го Интернационала ул, д.10, стр.А"
6896,"Москва, 3-го Интернационала ул, д.10А"
6897,"Москва, 3-го Интернационала ул, д.10Б"
