ID,ADDRESS
1,"Москва, 2 Полевой переулок, д.4"
2,"Москва, улица Николая Химушина, дом 13"
3,"Москва, ул. Лухмановская, д.18А"
4,"Москва, ул. Байкальская, д. 46 А"
5,"Москва,улица Саянская, дом 13Б"
6,"Москва, ул. Перовская, д. 42А"
7,"Москва, ул. Ивантеевская, дом 1А"
8,"Москва, улица Щербаковская, д. 58А"
9,"Москва, ул. Металлургов, д.15, стр.1"
10,"Москва, проспект Буденного, дом 29 А"
11,"Москва, ул.Ибрагимова, д.5А"
12,Москва ул.1 Владимировская д.15а
13,"Москва, улица Стромынка, д. 5"
14,"Москва,проспект Буденного, д. 47"
15,"Москва, ул, Щербаковская, д. 22"
16,"Москва,ул.Реутовская ,12А"
17,"Москва, Щелковское ш., д. 44 А"
18,"Москва, Измайловский бульвар, д. 74"
19,"Москва, ул. Салтыковская, д.29"
20,
21,"Москва, Федеративный проспект, д. 5 А"
22,"Москва, улица Оренбургская, дом 10"
23,"Москва,пр-т Буденного, д.30/8"
24,"Москва, Союзный проспект, дом 3"
25,"Москва, улица Новокосинская, дом 25"
26,"Москва, 8-я ул.Соколиной горы, д.11А"
27,"Москва, 3-я Парковая улица, д.54а"
28,"Москва, Открытое шоссе,д.1, корп.17"
29,"Москва Федеративный просп., д. 21 корп.2"
30,"Москва, улица Медведева, дом 2, дом 4"
31,"Москва, улица Челябинская дом 26"
32,"Москва, ул. Челябинская, д. 5а"
33,"Москва, ул. Медведева, дом 14"
34,"Москва, 3-я Богатырская ул., д.5"
35,"Москва , улица Алексея Дикого, дом 7А"
36,"Москва, Щелковское шоссе, дом 91, стр 2"
37,"Москва, ул. Лухмановская, дом 13Г"
38,"Москва, ул. Алтайская, д. 13А"
39,"Москва, ул. Первомайская, д.17 А"
40,"Москва, ул. Медведева, д. 6А"
41,
42,"Москва, 3-й проезд Подбельского, дом 20"
43,"Москва, ул.1-я Владимирская, д. 14А"
44,"Москва, Открытое шоссе, дом 23 Б"
45,"Москва,ул. 1-я Гражданская д.105"
46,"Москва, ул.Большая Черкизовская, д.5,корп.7"
47,
48,"Москва, ул. Бойцовая, д. 24, корп. 5"
49,"Москва, ул. Сахалинская, д. 6"
50,"Москва, улица Перовская, дом 52А"
51,"Москва, 3-я Владимирская ул. д. 14"
52,"Москва, Измайловский бульвар, дом 20А"
53,"Москва,Открытое шоссе, дом 6"
54,"Москва, Вешняковская улица дом 6А"
55,"Москва, Вешняковская улица , д. 3А"
56,"Москва, улица Новогиреевская, дом 6"
57,"Москва, проспект Буденного д.20А"
58,"Москва, Открытое шоссе, дом 23"
59,"Москва, Алтайская ул., д.6А"
60,"Москва, ул. Перовская, дом 47,стр.1"
61,"Москва, ул. Реутовская, дом 2Б"
62,"Москва, ул.Амурская, д. 21"
63,"Москва, ул. Камчатская,дом 23"
64,"Москва, ул. Лухмановская, д.30А"
65,"Москва, ул.Первомайская, д.4"
66,"Москва, 5-я Парковая улица, д.57а"
67,"Москва, ул.Большая Косинская,дом 18, корпус 1"
68,"Москва, ул.Кетчерская, д.8 Б"
69,"Москва, Погонный проезд, д.27"
70,Москва ул. Чусовская д.6
71,"Москва,ул.Красный Казанец, д,19 А, строение 1"
72,"Москва, ул.Алтайская, д.34 а"
73,"Москва, ул.Русаковская, д.18/20"
74,"Москва, Щелковское шоссе, д. 91"
75,"Москва, Открытое шоссе, д.3"
76,"Москва, улица Ивантеевская, дом 32 Б"
77,"Москва, ул. Первомайская, дом 104"
78,"Москва, 2-я Владимирская улица, дом 24"
79,"Москва, улица Союзный проспект, д.7"
80,"Москва, ул. Охотничья, д.8"
81,"Москва, улица Молостовых, д.9 Б"
82,"Москва, Байкальская ул., д.49 А"
83,"Москва, ул. Салтыковская, д. 21 А"
84,"Москва, ул.Уссурийская, д.8 А"
85,"Москва, Зельев переулок, д.3 А"
86,"Москва, улица Открытое шоссе дом 27"
87,"Москва, ул. Перовская 26 А"
88,"Москва, ул. Старый гай, д. 12 А"
89,"Москва, Открытое шоссе, д. 31 А"
90,"Москва, улица Металлургов, д.28 А"
91,
92,"Москва, ул.Суздальская д.22А"
93,"Москва, улица Саянская, д.13 А"
94,"Москва, Сиреневый бул., д.69А"
95,"Москва, Щелковское шоссе,д.14А"
96,"Москва, 13-я Парковая ул.,д.30"
97,"Москва, ул. 3-я Гражданская, д.64 А"
98,"Москва, Напольный проезд, дом 3"
99,"Москва, ул. Вешняковская ,д. 25А"
100,"Москва, ул. Кетчерская, д.6А"
101,"Москва, ул. Реутовская, д. 24 А"
102,"Москва, ул. Вешняковская, д. 4Б"
103,"Москва, 11-я Парковая ул., д. 5 а."
104,"Москва, Б.Купавенский пр. д.4 А."
105,"Москва, улица Фрязевская, д.11 а"
106,"Москва, Щелковское шоссе, д. 82 А"
107,"Москва, ул. Лухмановская,д. 13А"
108,"Москва, бул. Маршала Рокоссовского, д. 26"
109,"Москва, ул. Молдагуловой, дом 20"
110,"Москва, Олений вал ул., д. 22 Б"
111,"Москва, ул. Саянская, д. 15Г"
