ID	NAME	ADDRESS	TYPE	OKRUG
1	Государственное бюджетное образовательное учреждение города Москвы детский сад компенсирующего вида № 109	Москва, 2 Полевой переулок, д.4	Государственные учреждения	Восточный административный округ
2	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2669	Москва, улица Николая Химушина, дом 13	Государственные учреждения	Восточный административный округ
3	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2615	Москва, ул. Лухмановская, д.18А	Государственные учреждения	Восточный административный округ
4	Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 1289	Москва, ул. Байкальская, д. 46 А	Государственные учреждения	Восточный административный округ
5	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1008	Москва,улица Саянская, дом 13Б	Государственные учреждения	Восточный административный округ
6	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1031	Москва, ул. Перовская, д. 42А	Государственные учреждения	Восточный административный округ
7	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1040	Москва, ул. Ивантеевская, дом 1А	Государственные учреждения	Восточный административный округ
8	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1107	Москва, улица Щербаковская, д. 58А	Государственные учреждения	Восточный административный округ
9	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1174	Москва, ул. Металлургов, д.15, стр.1	Государственные учреждения	Восточный административный округ
10	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1176	Москва, проспект Буденного, дом 29 А	Государственные учреждения	Восточный административный округ
11	Государственное бюджетное образовательное учреждение города Москвы детский сад № 118	Москва, ул.Ибрагимова, д.5А	Государственные учреждения	Восточный административный округ
12	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1216	Москва ул.1 Владимировская д.15а	Государственные учреждения	Восточный административный округ
13	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1340	Москва, улица Стромынка, д. 5	Государственные учреждения	Восточный административный округ
14	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1422	Москва,проспект Буденного, д. 47	Государственные учреждения	Восточный административный округ
15	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1517	Москва, ул, Щербаковская, д. 22	Государственные учреждения	Восточный административный округ
16	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1528	Москва,ул.Реутовская ,12А	Государственные учреждения	Восточный административный округ
17	Государственное бюджетное образовательное учреждение города Москвы детский сад № 158	Москва, Щелковское ш., д. 44 А	Государственные учреждения	Восточный административный округ
18	Государственное бюджетное образовательное учреждение города Москвы детский сад № 161	Москва, Измайловский бульвар, д. 74	Государственные учреждения	Восточный административный округ
19	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1693	Москва, ул. Салтыковская, д.29	Государственные учреждения	Восточный административный округ
20	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1899		Государственные учреждения	Восточный административный округ
21	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1900	Москва, Федеративный проспект, д. 5 А	Государственные учреждения	Восточный административный округ
22	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1904	Москва, улица Оренбургская, дом 10	Государственные учреждения	Восточный административный округ
23	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1905	Москва,пр-т Буденного, д.30/8	Государственные учреждения	Восточный административный округ
24	Государственное бюджетное образовательное учреждение города Москвы детский сад № 1909	Москва, Союзный проспект, дом 3	Государственные учреждения	Восточный административный округ
25	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2053	Москва, улица Новокосинская, дом 25	Государственные учреждения	Восточный административный округ
26	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2090	Москва, 8-я ул.Соколиной горы, д.11А	Государственные учреждения	Восточный административный округ
27	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2385	Москва, 3-я Парковая улица, д.54а	Государственные учреждения	Восточный административный округ
28	Государственное бюджетное образовательное учреждение города Москвы детский сад № 24	Москва, Открытое шоссе,д.1, корп.17	Государственные учреждения	Восточный административный округ
29	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2419	Москва Федеративный просп., д. 21 корп.2	Государственные учреждения	Восточный административный округ
30	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2479	Москва, улица Медведева, дом 2, дом 4	Государственные учреждения	Восточный административный округ
31	Государственное бюджетное образовательное учреждение города Москвы детский сад № 2505	Москва, улица Челябинская дом 26	Государственные учреждения	Восточный административный округ
