ID	COMPLEX_ID	ADDRESS
1	1	Москва, ул. Машкова, д. 3А
2	1	Москва, ул. Машкова, д. 20, стр.1
3	2	Москва, Пуговишников пер., д. 7
4	2	Москва, ул. Россолимо, д. 10
5	3	Москва, Глубокий пер., д. 3, стр. 1
6	3	Москва, Верхний Предтеченский, пер., д. 10
7	4	Москва, Нововоротниковский пер., д.6
8	4	Москва, Чернышевского пер., д. 4А, стр. 1
9	5	Москва, ул. Подвойского, д. 2, стр. 1
10	5	Москва, ул. 2-я Черногрязская, д. 7, стр.1
11	6	Москва, ул. Садовая-Сухаревская, д. 12-14
12	6	Москва, Пушкарев пер., д. 4, стр. 1
13	6	Москва, ул. Трубная, д. 36, стр.1
14	7	Москва, Большой Тишинский, д.39
15	7	Москва, ул. Климашкина, д.13Б, стр.1
16	8	Москва, Малый Знаменский пер., д. 7/10, стр.5
17	8	Москва, Малый Знаменский пер., д. 7/10, стр.2
18	8	Москва, Хользунова пер., д.8
19	8	Москва, ул. Хамовнический вал, д.26
20	9	Москва, ул. Дубининская, д. 42
21	9	Москва, ул. Бахрушина, д. 24, стр.1
22	9	Москва, ул. Щипок, д. 12, стр.1
23	10	Москва, ул. Большая Полянка, д. 45
24	10	Москва, ул. Александра Невского, д. 4, стр. 1
25	10	Москва, 2-й Щемиловский пер., д.4, стр.5
26	11	Москва, ул. Дружинниковская, д. 9, стр. 2
27	11	Москва, Глубокий пер., д. 7
28	12	Москва, ул. Ольховская, д. 43
29	12	Москва, 2-ой Новый пер., д. 4
30	13	Москва, ул. Госпитальный Вал, д. 5, стр. 20
31	13	Москва, ул. Госпитальный Вал, д. 5, стр. 8
32	14	Москва, Спартаковская пл., д. 5/7
33	14	Москва, ул. Бакунинская, д. 45, стр. 3
34	15	Москва, Богословский пер., д. 10, стр. 1
35	15	Москва, ул. Б. Бронная, д. 8
36	15	Москва, ул. Б. Бронная, д. 12
37	16	Москва, ул. 1-я Дубровская, д.5А
38	16	Москва, ул. Нижняя Красносельская, д.45/17
39	16	Москва, Фрунзенская наб., д.36/2
40	16	Москва, Космодамианская наб., д.40-42, стр.3
41	16	Москва, ул. Долгоруковская, д.5
42	16	Москва, ул. 1905 Года, д.5
43	16	Москва, Орликов пер. д. 8
44	17	Москва, ул. Трубная, д.36
45	17	Москва, Пушкарев пер., д.4, стр.1
46	17	Москва, ул. Садовая-Сухаревская, д.12-14, стр.1
47	17	Москва, ул. Трубная, д.31, стр.1
48	18	Москва, ул. Дубининская, д.42
49	18	Москва, ул. Бахрушина, д.24, стр.1
50	18	Москва, ул. Щипок, д.12, стр.1
51	18	Москва, ул. Большая Серпуховская, д.31
52	18	Москва, ул. Садовническая, д.73, стр.24
53	19	Москва, Переведенский пер., д.11
54	19	Москва, Переведенский пер., д.14
55	19	Москва, Спартаковская пл., д.5/7
56	19	Москва, ул. Бакунинская, д.45
57	19	Москва, ул. Большая Почтовая, д.18/20, корп.9
