"ID","OKRUG","TYPE","NAME","SHORT_NAME"
1,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 275",
2,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад № 2164",
3,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы центр развития ребенка-детский сад № 255",
4,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 1921",
5,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2055",
6,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2054",
7,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 96",
8,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы центр образования № 57 «Пятьдесят седьмая школа»",
9,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение ",
10,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы Московский центральный дворец творчества детей и молодежи",
11,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы Детский оздоровительно-образовательный центр «Парк Пресненский»",
12,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад комбинированного вида № 284",
13,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад № 1979",
14,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад № 1734",
15,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы детский сад общеразвивающего вида № 3",
16,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы окружной центр психолого-медико-социального сопровождения",
17,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2054","Сокращенное наименование: ГБОУ СОШ № 2054"
18,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 627","Сокращенное наименование: ГБОУ СОШ №627"
19,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1429 имени Героя Советского Союза Н.А. Боброва","Сокращенное наименование: ГБОУ СОШ №1429 "
20,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка №1231 имени В.Д. Поленова ","Сокращенное наименование: ГБОУ СОШ №1231"
21,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1513 «Московская городская лингвистическая гимназия»","Сокращенное наименование: ГБОУ гимназия №1513"
22,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка №1297 ","Сокращенное наименование: ГБОУ СОШ №1297"
23,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков №1259 ","Сокращенное наименование: ГБОУ СОШ №1259"
24,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2104 «Школа на Таганке»","Сокращенное наименование: ГБОУ СОШ № 2104 «Школа на Таганке»"
25,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1529 имени А.С. Грибоедова","Сокращенное наименование: ГБОУ Гимназия № 1529"
26,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного языка № 1253","Сокращенное наименование: ГБОУ СОШ № 1253"
27,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2055","Сокращенное наименование: ГБОУ СОШ № 2055"
28,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1950","Сокращенное наименование: ГБОУ СОШ № 1950"
29,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 34","Сокращенное наименование: ГБОУ СОШ № 34"
30,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1270","Сокращенное наименование: ГБОУ СОШ № 1270"
31,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2105","Сокращенное наименование: ГБОУ СОШ № 2105"
32,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 354 имени Д.М. Карбышева ","Сокращенное наименование: ГБОУ СОШ № 354 им. Д.М.Карбышева"
33,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 498","Сокращенное наименование: ГБОУ СОШ № 498"
34,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 171","Сокращенное наименование: ГБОУ СОШ № 171"
35,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2107 ","Сокращенное наименование: ГБОУ СОШ № 2107 "
36,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка № 1262 ","Сокращенное наименование: ГБОУ СОШ №1262 "
37,"Центральный административный округ","присоединение ","Государственное бюджетное образовательное учреждение города Москвы Гимназия № 1540","Сокращенное наименование: ГБОУ Гимназия №1540"
38,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1060","Сокращенное наименование: ГБОУ СОШ № 1060"
39,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением отдельных предметов № 1234","Сокращенное наименование: ГБОУ СОШ № 1234"
40,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 1621 «Школа лидерства Лаудер Эц Хайм»","Сокращенное наименование: ГБОУ СОШ № 1621 "
41,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2095","Сокращенное наименование: ГБОУ СОШ № 2095"
42,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 19 ","Сокращенное наименование: ГБОУ СОШ № 19"
43,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия № 1521","Сокращенное наименование: ГБОУ гимназия № 1521"
44,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы Пушкинский лицей № 1500","Сокращенное наименование: ГБОУ Пушкинский лицей № 1500"
45,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей № 1574","Сокращенное наименование: ГБОУ лицей № 1574"
46,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 480 им. В.В. Талалихина ","Сокращенное наименование: ГБОУ СОШ № 480 "
47,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранных языков № 1240 «Мультипрофильный образовательный комплекс «Пресненский»","Сокращенное наименование: ГБОУ СОШ № 1240"
48,"Центральный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 345 имени А.С. Пушкина","Сокращенное наименование: ГБОУ СОШ № 354"
49,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением иностранного (английского) языка № 1241","Сокращенное наименование: ГБОУ СОШ № 1241"
50,"Центральный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 2030 ","Сокращенное наименование: ГБОУ СОШ № 2030"
51,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углублённым изучением английского языка №1285",
52,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №69 имени Б.Ш. Окуджавы",
53,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1010",
54,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы лицей №1571",
55,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы гимназия №1517",
56,"Северо-Западный административный округ","слияние","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1605",
57,"Северо-Западный административный округ","присоединение","Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1155",
