ID,ADDRESS
1,"Москва, Щелковское шоссе, дом 26А"
2,"Москва, ул. Гастелло, дом 3"
3,"Москва, ул. 5-я Парковая, д.49"
4,"Москва, ул. Косинская, д. 10А"
5,"Москва, ул. Кетчерская, д.8А"
6,"Москва, ул. Салтыковская, д.13Б"
7,"Москва, ул. Первомайская, д.59, строение 1"
8,"Москва, ул. Большая Оленья, д. 3"
9,"Москва, ул. 1-я Гражданская, д.96"
10,"Москва, ул. Челябинская, д. 20"
11,"Москва, улица Сталеваров, дом 10 А"
12,"Москва, улица 2-я Пугачевская, дом 6А"
13,"Москва, ул. Косинская, д.24А"
14,"Москва, ул. Хабаровская, д. 4а"
15,"Москва, ул. Егерская, д. 4"
16,"Москва, ул. 13-я Парковая, д. 33"
17,"Москва, ул.Новокосинская, д. 40 А"
18,"Москва, Сиреневый бульвар, д. 73, корп. 3"
19,
20,"Москва, ул. Новокосинская, д.13 А"
21,"Москва, ул. Салтыковская, д. 5А"
22,"Москва, ул.Утренняя, д.12"
23,"Москва, ул. Косинская, д. 10А"
24,"Москва, Первомайская улица, 65"
25,"Москва, ул. Лосиноостровская, д.22а"
26,"Москва, ул. Молостовых, д. 10А"
27,"Москва, ул. Хабаровская, д. 18А"
28,"Москва, Открытое шоссе, д. 23А"
29,"Москва, пр-т Буденного, д.15А"
30,"Москва, 3-я Владимирская улица дом 5"
31,"Москва, ул. Буракова, дом 1, корпус 2"
32,"Москва, ул. Большая Остроумовская, дом 7"
33,"Москва, ул. Суздальская, д. 12В, стр. 1."
34,"Москва, ул. Девятая Рота, д.14А"
35,"Москва, ул. Новокосинская, д. 42А"
36,"Москва, Открытое ш., д.6, стр.12"
37,"Москва, ул. Челябинская, д. 9, стр. 1"
38,"Москва, ул. Реутовская, д. 16 А"
39,"Москва, Измайловский проспект, дом 115"
40,"Москва, ул. Перовская, дом 24, строение 1"
41,"Москва, ул. Реутовская, д. 2 а"
42,"Москва, ул. 7-я Парковая, д.33, кор.5"
