"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"ID_1";"OBJECTID_12";"ID_12";"NAME_12";"TYPE";"NUMB_1";"OKRUG_1";"FOUNDATION_TYPE"
1;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» № 1138";"129329, город Москва, Тенистый проезд, д. 8, строение 1";"Северо-Восточный административный округ";"район Свиблово";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа Здоровья""";"(499) 180-23-98";"schz1138.svao.mskobr.ru";"sch1138@yandex.ru";19;672;266,00;1138,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1138";19,00;336;266,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1138";"школа";1138,00;"Северо-Восточный административный округ";"слияние"
2;"Государственное  бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа № 398";"109542, Москва, ул. Хлобыстова, д. 14, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"371-09-81";"sch398uv.mskobr.ru";"SH_398@mail.ru";20;233;431,00;398,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №398";20,00;110;431,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №398";"школа";398,00;"Юго-Восточный административный округ";"присоединение"
3;"Государственное бюджетное  образовательное учреждение города Москвы гимназия № 1554";"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Государственное";"Северо-Восточное окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(499) 203-17-90";"gum1554sv.mskobr.ru";"Gymn-1554@yandex.ru";23;982;291,00;1554,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554";23,00;511;291,00;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554";"гимназия";1554,00;"Северо-Восточный административный округ";"присоединение"
4;"Государственное бюджетное  образовательное учреждение города Москвы средняя общеобразовательная школа № 2033";"105425,Москва,Щелковское шоссе, дом 26А";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495)652-02-31,(495) 652-02-31";"schv2033.mskobr.ru";"school-2033@yandex.ru";24;1175;692,00;2033,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2033";24,00;624;692,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с углубленным изучением английского языка №2033";"школа";2033,00;"Восточный административный округ";"слияние"
5;"Государственное бюджетное образовательное учреждение города Москвы  прогимназия № 1893";"109388, г. Москва, ул. Гурьянова, д. 59";"Юго-Восточный административный округ";"район Печатники";"Государственное";"Юго-Восточное окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"354-90-06";"http://pgymuv1893.mskobr.ru/";"progimnaz1893@mail.ru";29;1099;421,00;1893,00;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1893";29,00;148;421,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №519";"школа";519,00;"Юго-Восточный административный округ";"присоединение"
6;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1018";"119634 г.Москва, ул. Шолохова, д.20";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 733-52-10; (495) 733-52-11; (495) 732-61-33";"sch1018.mskzapad.ru";"sch1018@mail.ru";32;608;758,00;1018,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1018";32,00;304;758,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1018";"школа";1018,00;"Западный административный округ";"присоединение"
7;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 1127";"121609 г.Москва, ул. Крылатские холмы, д. 13";"Западный административный округ";"район Крылатское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"413-77-55";"sch1127.mskzapad.ru";"sch1127@mail.ru";33;667;761,00;1127,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1127";33,00;334;761,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1133";"школа";1133,00;"Западный административный округ";"присоединение"
8;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 55";"119501 г.Москва, ул Веерная, д. 38, к.2";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 441-74-11; (495) 442-90-58; (495) 441-71-22";"sch55.mskzapad.ru";"school55@bk.ru";34;32;721,00;55,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №55";34,00;19;721,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №55";"школа";55,00;"Западный административный округ";"присоединение"
9;"Государственное бюджетное образовательное учреждение города Москвы  средняя общеобразовательная школа № 814";"119501 г.Москва, ул. Веерная, д. 5, корпус 3";"Западный административный округ";"район Очаково-Матвеевское";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа";"(495) 442-04-84";"sch814.mskzapad.ru";"sch0814@mail.ru";36;483;730,00;814,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №814";36,00;230;730,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №814";"школа";814,00;"Западный административный округ";"присоединение"
10;"Государственное бюджетное образовательное учреждение города Москвы  центр образования № 1989";"109451, г. Москва, ул. Белореченская, д. 45, к. 2";"Юго-Восточный административный округ";"район Марьино";"Государственное";"Юго-Восточное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"(495) 654-96-27; (495) 654-96-25";"couv1989.mskobr.ru";"co1989@yandex.ru";38;1148;429,00;1989,00;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1989";38,00;606;429,00;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1989 «Центр образования»";"школа";1989,00;"Юго-Восточный административный округ";"слияние"
