"OBJECTID";"name";"adress";"okrug";"rayon";"form_of_incorporation";"submission";"tip_uchrezhdeniya";"vid_uchrezhdeniya";"telephone";"web_site";"e_mail";"ID";"OBJECTID_1";"COMPLEX_ID";"NUMB";"name_1";"adress_1";"ID_1"
22;"Государственное автономное образовательное учреждение города Москвы центр образования № 548 ""Царицыно""";"115582 г.Москва, ул. Домодедовская д35, к.2";"Южный административный округ";"район Орехово-Борисово Северное";"Государственное";"Южное окружное управление образования";"Общеобразовательное учреждение";"Центр образования";"393-43-81";"cou548.mskobr.ru";"sch548@sinergi.ru";22;0;0,000000;0,000000;"";"";0,000000
39;"Государственное бюджетное образовательное учреждение города Москвы ""Московский центр технологической модернизации образования""";"107076 г. Москва, 1-й Зборовский переулок, д. 3";"Восточный административный округ";"район Соколиная Гора";"Государственное";"Городское подчинение ДОгМ (для гор центров)";"Образовательное учреждение дополнительного профессионального образования";"Центр образования";"369-05-95";"rezerv.dop.mskobr.ru";"mduc_rezerv@bk.ru";39;0;0,000000;0,000000;"";"";0,000000
40;"Государственное бюджетное образовательное учреждение города Москвы ""Московское среднее специальное училище олимпийского резерва №4 им. А.Я. Гомельского (техникум)"" Департамента физической культуры и спорта города Москвы";"";"Северо-Восточный административный округ";"район Бибирево";"Государственное";"Департамент физической культуры и спорта";"Образовательное учреждение среднего профессионального образования";"Средняя общеобразовательная школа";"(495) 707-05-51";"";"uorgomelski@mail.ru";40;0;0,000000;0,000000;"";"";0,000000
42;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 112";"109316, г.Москва, Волгоградский проспект, д.27";"Юго-Восточный административный округ";"Нижегородский район";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"676-03-11";"schuvv112.mskobr.ru";"vssh112@mail.ru";42;0;0,000000;0,000000;"";"";0,000000
43;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 115";"117485, г. Москва, улица Бутлерова, дом 5Б, строение 1";"Юго-Западный административный округ";"район Коньково";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"334-99-10";"";"dir115@bk.ru";43;0;0,000000;0,000000;"";"";0,000000
44;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 148";"107564, г. Москва, ул. 2-я Гражданская, дом 8.";"Восточный административный округ";"район Богородское";"Государственное";"Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 169-42-70";"schsv148.mskobr.ru";"bcow148@mail.ru";44;0;0,000000;0,000000;"";"";0,000000
45;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 166";"117152 г. Москва,Севастопольский проспект ,д. 5А";"Южный административный округ";"Нагорный район";"Государственное";"Южное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(499) 123-15-96; (499) 127-66-53";"schvu166.mskobr.ru";"sch166@sinergi.ru";45;0;0,000000;0,000000;"";"";0,000000
46;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 182";"117449, г.Москва, ул. Гримау, дом 11а";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"126-06-73";"";"sch182@mosuzedu.ru";46;0;0,000000;0,000000;"";"";0,000000
47;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 185";"""111033, г.Москва, Танковый пр-д, д.6";"Юго-Восточный административный округ";"район Лефортово";"Государственное";"Юго-Восточное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(495) 362-32-21";"schuvv185.mskobr.ru";"school185@mail.ru";47;0;0,000000;0,000000;"";"";0,000000
48;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа № 90";"125130, г. Москва, 4-й Новоподмосковный пер., д. 2а";"Северный административный округ";"Войковский район";"Государственное";"Северное окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"450-95-10";"schsv90.mskobr.ru";"vschool_90@mail.ru";48;0;0,000000;0,000000;"";"";0,000000
49;"Государственное бюджетное образовательное учреждение города Москвы вечерняя (сменная) общеобразовательная школа №2081";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Вечернее (сменное) общеобразовательное учреждение";"Вечерняя (сменная) общеобразовательная школа";"(495) 867-83-61";"sch2081tn.mskobr.ru";"";49;0;0,000000;0,000000;"";"";0,000000
110;"Государственное бюджетное образовательное учреждение города Москвы гимназия № 1788";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Гимназия";"(495)436-25-57";"gym1788tn.mskobr.ru";"";110;0;0,000000;0,000000;"";"";0,000000
154;"Государственное бюджетное образовательное учреждение города Москвы лицей № 1791";"142770, г. Москва, поселение Сосенское, пос. Коммунарка";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Общеобразовательное учреждение";"Лицей";"(498)617-81-46";"lyc1791tn.mskobr.ru";"";154;0;0,000000;0,000000;"";"";0,000000
178;"Государственное бюджетное образовательное учреждение города Москвы прогимназия № 1792 ""Остафьево""";"105318, Москва Город, Семеновская Площадь, 4";"";"";"Государственное";"Троицкое и новомосковское окружное управление образования";"Образовательное учреждение для детей дошкольного и младшего школьного возраста";"Прогимназия";"(495)867-91-40";"";"";178;0;0,000000;0,000000;"";"";0,000000
247;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1673 ""Поддержка""";"123458, г. Москва, ул. Таллинская, д. 3, корп. 2";"Северо-Западный административный округ";"район Строгино";"Государственное";"Северо-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"758-67-02";"sch1673.mskobr.ru";"sch1673@szouo.ru";247;0;0,000000;0,000000;"";"";0,000000
248;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 1975";"119634 г.Москва, ул. Шолохова, д.9, корп.3";"Западный административный округ";"район Ново-Переделкино";"Государственное";"Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"732-96-80";"http://shnd1975.mskzapad.ru/";"sch1975@bk.ru";248;0;0,000000;0,000000;"";"";0,000000
249;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 334";"105425, г. Москва, ул. 7-я Парковая, д.33, кор.5";"Восточный административный округ";"район Северное Измайлово";"Государственное";"Восточное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 164-57-59";"schv334.mskobr.ru";"nadom334@yandex.ru";249;0;0,000000;0,000000;"";"";0,000000
250;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 367";"124527, г. Москва, Зеленоград, корп. 864";"Зеленоградский административный округ";"район Старое Крюково";"Государственное";"Зеленоградское окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 729-81-82";"schzg367.mskobr.ru";"s367@zou.ru";250;0;0,000000;0,000000;"";"";0,000000
251;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа ""Школа надомного обучения"" № 370";"119449, г. Москва, улица Винокурова, дом 3Б";"Юго-Западный административный округ";"Академический район";"Государственное";"Юго-Западное окружное управление образования";"Общеобразовательное учреждение";"Средняя общеобразовательная школа ""Школа надомного обучения""";"(499) 126-75-23";"http://schnuz370.mskobr.ru";"sch370@mosuzedu.ru";251;0;0,000000;0,000000;"";"";0,000000
