"OBJECTID";"ID_1";"NAME";"NUMB";"ADDRESS";"OKRUG";"RAYON";"VID";"COMPLEX_ID"
1;19,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1138 (средняя школа)";1138,000000;"129329, город Москва, Тенистый проезд, д. 8, строение 1";"Северо-Восточный административный округ";"район Свиблово";"Средняя общеобразовательная школа ""Школа Здоровья""";293,000000
2;20,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №398";398,000000;"109542, Москва, ул. Хлобыстова, д. 14, корп. 3";"Юго-Восточный административный округ";"район Выхино-Жулебино";"Средняя общеобразовательная школа";431,000000
3;23,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1709 (начальная школа)";1709,000000;"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Гимназия";291,000000
4;23,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1627 (начальная школа)";1627,000000;"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Гимназия";291,000000
5;23,000000;"Государственное бюджетное образовательное учреждение города Москвы гимназия №1554 (средняя школа)";1554,000000;"127490, г. Москва, ул. Пестеля, д.5,9А";"Северо-Восточный административный округ";"район Отрадное";"Гимназия";291,000000
6;24,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №2033";2033,000000;"105425,Москва,Щелковское шоссе, дом 26А";"Восточный административный округ";"район Северное Измайлово";"Средняя общеобразовательная школа";692,000000
7;29,000000;"Государственное бюджетное образовательное учреждение города Москвы прогимназия №1893 (начальная школа)";1893,000000;"109388, г. Москва, ул. Гурьянова, д. 59";"Юго-Восточный административный округ";"район Печатники";"Прогимназия";421,000000
8;32,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1018";1018,000000;"119634 г.Москва, ул. Шолохова, д.20";"Западный административный округ";"район Ново-Переделкино";"Средняя общеобразовательная школа";758,000000
9;33,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №1127";1127,000000;"121609 г.Москва, ул. Крылатские холмы, д. 13";"Западный административный округ";"район Крылатское";"Средняя общеобразовательная школа";761,000000
10;34,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №55";55,000000;"119501 г.Москва, ул Веерная, д. 38, к.2";"Западный административный округ";"район Очаково-Матвеевское";"Средняя общеобразовательная школа";730,000000
11;36,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №814";814,000000;"119501 г.Москва, ул. Веерная, д. 5, корпус 3";"Западный административный округ";"район Очаково-Матвеевское";"Средняя общеобразовательная школа";730,000000
12;38,000000;"Государственное бюджетное образовательное учреждение города Москвы центр образования №1989";1989,000000;"109451, г. Москва, ул. Белореченская, д. 45, к. 2";"Юго-Восточный административный округ";"район Марьино";"Центр образования";429,000000
14;41,000000;"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №402";402,000000;"111538, г. Москва, ул. Косинская, д. 10А";"Восточный административный округ";"район Вешняки";"Средняя общеобразовательная школа";681,000000
