"","SCHOOL_OBJECTID","SCHOOL_ID","SCHOOL_NAME","SCHOOL_NUMB","ASSIGHED_OBJECTID","ASSIGNED_SCHOOL_ID","ASSIGHED_NAME","ASSIGHED_NUMB","COMPLEX_ID","HOUSE_ID_COUNT","SELF","ZERO_ASSIGNED"
"1",1936,10019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,1936,10019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,845,0,TRUE,TRUE
"2",1937,10025,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,1936,10019,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа «Школа здоровья» №1858",1858,845,0,FALSE,TRUE
"3",1950,10023,"Государственное бюджетное образовательное учреждение города Москвы киноколледж №40 «Московская международная киношкола»",40,1950,10023,"Государственное бюджетное образовательное учреждение города Москвы киноколледж №40 «Московская международная киношкола»",40,963,0,TRUE,TRUE
"4",1946,10027,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат №95",95,1947,10026,"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат №69 «Второй московский кадетский корпус»",69,856,0,FALSE,TRUE
"5",1947,10026,"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат №69 «Второй московский кадетский корпус»",69,1947,10026,"Государственное бюджетное образовательное учреждение города Москвы кадетская школа-интернат №69 «Второй московский кадетский корпус»",69,856,0,TRUE,TRUE
"6",1920,10036,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №271",271,1920,10036,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №271",271,825,0,TRUE,TRUE
"7",1921,10049,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №287 имени С.К.Годовикова",287,1920,10036,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №271",271,825,0,FALSE,TRUE
"8",1985,10043,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа с этнокультурным (русским) компонентом образования №514",514,1986,10038,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №496",496,887,0,FALSE,TRUE
"9",1986,10038,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №496",496,1986,10038,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №496",496,887,0,TRUE,TRUE
"10",2004,10039,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №564",564,2004,10039,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа №564",564,965,0,TRUE,TRUE
"11",1977,10046,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением отдельных предметов №16 «ШИК 16»",16,1977,10046,"Государственное бюджетное образовательное учреждение города Москвы средняя общеобразовательная школа-интернат с углубленным изучением отдельных предметов №16 «ШИК 16»",16,964,0,TRUE,TRUE
"12",189,10241,"Государственное бюджетное образовательное учреждение города Москвы лицей №1537 информационных технологий",1537,1919,10047,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1099",1099,263,0,FALSE,TRUE
"13",1919,10047,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1099",1099,1919,10047,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1099",1099,263,0,TRUE,TRUE
"14",1984,10048,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1317",1317,1984,10048,"Государственное бюджетное образовательное учреждение города Москвы центр образования «Школа здоровья» №1317",1317,886,0,TRUE,TRUE
